,class_cat,Unnamed: 0,A1_cat,A2_num,A3_num,A4_cat,A5_cat,A6_cat,A7_cat,A8_num,A9_cat,A10_cat,A11_num,A12_cat,A13_cat,A14_num,A15_num
0,+,0,b,30.83,0.0,u,g,w,v,1.25,t,t,1.0,f,g,202.0,0.0
1,+,1,a,58.67,4.46,u,g,q,h,3.04,t,t,6.0,f,g,43.0,560.0
2,+,2,a,24.5,0.5,u,g,q,h,1.5,t,f,0.0,f,g,280.0,824.0
3,+,3,b,27.83,1.54,u,g,w,v,3.75,t,t,5.0,t,g,100.0,3.0
4,+,4,b,20.17,5.625,u,g,w,v,1.71,t,f,0.0,f,s,120.0,0.0
5,+,5,b,32.08,4.0,u,g,m,v,2.5,t,f,0.0,t,g,360.0,0.0
6,+,6,b,33.17,1.04,u,g,r,h,6.5,t,f,0.0,t,g,164.0,31285.0
7,+,7,a,22.92,11.585,u,g,cc,v,0.04,t,f,0.0,f,g,80.0,1349.0
8,+,8,b,54.42,0.5,y,p,k,h,3.96,t,f,0.0,f,g,180.0,314.0
9,+,9,b,42.5,4.915,y,p,w,v,3.165,t,f,0.0,t,g,52.0,1442.0
10,+,10,b,22.08,0.83,u,g,c,h,2.165,f,f,0.0,t,g,128.0,0.0
11,+,11,b,29.92,1.835,u,g,c,h,4.335,t,f,0.0,f,g,260.0,200.0
12,+,12,a,38.25,6.0,u,g,k,v,1.0,t,f,0.0,t,g,0.0,0.0
13,+,13,b,48.08,6.04,u,g,k,v,0.04,f,f,0.0,f,g,0.0,2690.0
14,+,14,a,45.83,10.5,u,g,q,v,5.0,t,t,7.0,t,g,0.0,0.0
15,+,15,b,36.67,4.415,y,p,k,v,0.25,t,t,10.0,t,g,320.0,0.0
16,+,16,b,28.25,0.875,u,g,m,v,0.96,t,t,3.0,t,g,396.0,0.0
17,+,17,a,23.25,5.875,u,g,q,v,3.17,t,t,10.0,f,g,120.0,245.0
18,+,18,b,21.83,0.25,u,g,d,h,0.665,t,f,0.0,t,g,0.0,0.0
19,+,19,a,19.17,8.585,u,g,cc,h,0.75,t,t,7.0,f,g,96.0,0.0
