,Sex_cat,Age_cat,Race_cat,AIDS_num,Total_num
0,Male,15-24,White_not_Hispanic,2555,14443382
1,Male,25-34,White_not_Hispanic,55300,14704293
2,Male,35-44,White_not_Hispanic,82334,16641977
3,Male,45-54,White_not_Hispanic,38006,13888285
4,Male,55_&_older,White_not_Hispanic,16068,21845911
5,Male,15-24,Black_not_Hispanic,2489,2367256
6,Male,25-34,Black_not_Hispanic,34204,2410019
7,Male,35-44,Black_not_Hispanic,51776,2727604
8,Male,45-54,Black_not_Hispanic,23896,2276276
9,Male,55_&_older,Black_not_Hispanic,10169,3580523
10,Male,15-24,Hispanic,1363,1542563
11,Male,25-34,Hispanic,20712,1570428
12,Male,35-44,Hispanic,27200,1777374
13,Male,45-54,Hispanic,11251,1483278
14,Male,55_&_older,Hispanic,4674,2333158
15,Male,15-24,Asian_&_Pacific_Islander,38,699627
16,Male,25-34,Asian_&_Pacific_Islander,731,712265
17,Male,35-44,Asian_&_Pacific_Islander,1162,806125
18,Male,45-54,Asian_&_Pacific_Islander,560,672738
19,Male,55_&_older,Asian_&_Pacific_Islander,258,1058200
20,Male,15-24,American_Indian_&_Alaska_Native,26,169115
21,Male,25-34,American_Indian_&_Alaska_Native,390,172170
22,Male,35-44,American_Indian_&_Alaska_Native,417,194858
23,Male,45-54,American_Indian_&_Alaska_Native,140,162616
24,Male,55_&_older,American_Indian_&_Alaska_Native,48,255790
25,Female,15-24,White_not_Hispanic,490,14999423
26,Female,25-34,White_not_Hispanic,4788,15270378
27,Female,35-44,White_not_Hispanic,5377,17282659
28,Female,45-54,White_not_Hispanic,2152,14422956
29,Female,55_&_older,White_not_Hispanic,1790,22686934
30,Female,15-24,Black_not_Hispanic,1490,2458391
31,Female,25-34,Black_not_Hispanic,12280,2502800
32,Female,35-44,Black_not_Hispanic,15713,2832611
33,Female,45-54,Black_not_Hispanic,5788,2363908
34,Female,55_&_older,Black_not_Hispanic,2534,3718366
35,Female,15-24,Hispanic,493,1601948
36,Female,25-34,Hispanic,4660,1630887
37,Female,35-44,Hispanic,5153,1845800
38,Female,45-54,Hispanic,1944,1540381
39,Female,55_&_older,Hispanic,910,2422980
40,Female,15-24,Asian_&_Pacific_Islander,6,726561
41,Female,25-34,Asian_&_Pacific_Islander,83,739686
42,Female,35-44,Asian_&_Pacific_Islander,106,837159
43,Female,45-54,Asian_&_Pacific_Islander,69,698637
44,Female,55_&_older,Asian_&_Pacific_Islander,55,1098938
45,Female,15-24,American_Indian_&_Alaska_Native,3,175626
46,Female,25-34,American_Indian_&_Alaska_Native,78,178798
47,Female,35-44,American_Indian_&_Alaska_Native,77,202360
48,Female,45-54,American_Indian_&_Alaska_Native,31,168876
49,Female,55_&_older,American_Indian_&_Alaska_Native,14,265637
