,Exposure_cat,Task_cat,Ventilation_cat,Duration_num
0,(1)_Low_exposure,Tile,Negative_pressure,184
1,(3)_Above_legal_limit,Insulation,Negative_pressure,30
2,(3)_Above_legal_limit,Insulation,Negative_pressure,116
3,(1)_Low_exposure,Tile,Negative_pressure,133
4,(3)_Above_legal_limit,Insulation,General,184
5,(3)_Above_legal_limit,Insulation,General,57
6,(3)_Above_legal_limit,Insulation,General,111
7,(1)_Low_exposure,Insulation,Negative_pressure,98
8,(1)_Low_exposure,Insulation,Negative_pressure,138
9,(1)_Low_exposure,Tile,Negative_pressure,265
10,(1)_Low_exposure,Tile,Negative_pressure,135
11,(3)_Above_legal_limit,Insulation,General,217
12,(1)_Low_exposure,Tile,Negative_pressure,245
13,(1)_Low_exposure,Insulation,Negative_pressure,95
14,(3)_Above_legal_limit,Insulation,General,236
15,(2)_Action_level,Insulation,General,226
16,(3)_Above_legal_limit,Insulation,General,145
17,(3)_Above_legal_limit,Insulation,General,194
18,(3)_Above_legal_limit,Insulation,General,103
19,(3)_Above_legal_limit,Insulation,General,101
20,(3)_Above_legal_limit,Insulation,General,105
21,(3)_Above_legal_limit,Insulation,General,187
22,(3)_Above_legal_limit,Insulation,General,30
23,(3)_Above_legal_limit,Insulation,General,117
24,(3)_Above_legal_limit,Insulation,General,244
25,(3)_Above_legal_limit,Insulation,General,30
26,(1)_Low_exposure,Insulation,General,59
27,(3)_Above_legal_limit,Insulation,General,78
28,(3)_Above_legal_limit,Insulation,Negative_pressure,139
29,(3)_Above_legal_limit,Insulation,Negative_pressure,193
30,(1)_Low_exposure,Insulation,Negative_pressure,30
31,(2)_Action_level,Tile,Negative_pressure,214
32,(1)_Low_exposure,Insulation,Negative_pressure,235
33,(1)_Low_exposure,Tile,Negative_pressure,137
34,(1)_Low_exposure,Tile,Negative_pressure,123
35,(1)_Low_exposure,Tile,Negative_pressure,75
36,(1)_Low_exposure,Tile,Negative_pressure,185
37,(1)_Low_exposure,Insulation,Negative_pressure,30
38,(3)_Above_legal_limit,Insulation,Negative_pressure,91
39,(1)_Low_exposure,Tile,Negative_pressure,138
40,(1)_Low_exposure,Tile,Negative_pressure,205
41,(3)_Above_legal_limit,Insulation,General,47
42,(3)_Above_legal_limit,Insulation,General,80
43,(3)_Above_legal_limit,Insulation,General,105
44,(3)_Above_legal_limit,Insulation,General,246
45,(3)_Above_legal_limit,Insulation,General,30
46,(1)_Low_exposure,Insulation,General,103
47,(3)_Above_legal_limit,Insulation,General,58
48,(1)_Low_exposure,Insulation,Negative_pressure,141
49,(3)_Above_legal_limit,Insulation,Negative_pressure,89
50,(2)_Action_level,Insulation,General,92
51,(1)_Low_exposure,Tile,Negative_pressure,210
52,(1)_Low_exposure,Tile,Negative_pressure,210
53,(1)_Low_exposure,Tile,Negative_pressure,155
54,(1)_Low_exposure,Insulation,Negative_pressure,100
55,(1)_Low_exposure,Tile,General,253
56,(3)_Above_legal_limit,Tile,General,42
57,(1)_Low_exposure,Tile,Negative_pressure,174
58,(1)_Low_exposure,Tile,Negative_pressure,81
59,(1)_Low_exposure,Tile,Negative_pressure,269
60,(3)_Above_legal_limit,Tile,Negative_pressure,240
61,(1)_Low_exposure,Tile,Negative_pressure,245
62,(1)_Low_exposure,Insulation,Negative_pressure,300
63,(1)_Low_exposure,Tile,Negative_pressure,230
64,(1)_Low_exposure,Tile,Negative_pressure,78
65,(1)_Low_exposure,Tile,Negative_pressure,42
66,(2)_Action_level,Tile,General,258
67,(1)_Low_exposure,Tile,General,207
68,(3)_Above_legal_limit,Insulation,Negative_pressure,188
69,(1)_Low_exposure,Tile,General,30
70,(1)_Low_exposure,Tile,Negative_pressure,230
71,(1)_Low_exposure,Tile,Negative_pressure,235
72,(1)_Low_exposure,Insulation,Negative_pressure,30
73,(1)_Low_exposure,Tile,Negative_pressure,211
74,(1)_Low_exposure,Tile,Negative_pressure,210
75,(1)_Low_exposure,Tile,Negative_pressure,155
76,(2)_Action_level,Insulation,Negative_pressure,130
77,(1)_Low_exposure,Tile,Negative_pressure,215
78,(1)_Low_exposure,Tile,Negative_pressure,260
79,(1)_Low_exposure,Insulation,General,184
80,(3)_Above_legal_limit,Tile,General,60
81,(2)_Action_level,Insulation,General,79
82,(1)_Low_exposure,Tile,Negative_pressure,247
