,Rating_cat,Population_num,Per_capita_income_num,Household_income_num,Discretionary_income_num,Publics_in_top_10_cat,Nonprofits_in_top_10_cat,For_profits_in_top_10_cat,Utilities_in_top_10_cat,Region_cat,State_capital_cat
0,(2)_AA,686688.0,16851,56800,44173,1,3,5,1,Northeast,No
1,(2)_AA,2833511.0,17688,56098,47557,4,1,4,1,South,Yes
2,(2)_AA,781572.0,17182,46426,44274,7,0,3,0,South,Yes
3,(3)_A,543477.0,12675,49696,38850,0,3,7,0,West,No
4,(3)_A,2382172.0,17116,61695,46170,2,3,4,1,South,No
5,(2)_AA,907810.0,15600,49945,40852,5,1,3,1,South,No
6,(3)_A,3783817.0,19974,68411,53703,4,3,3,0,Northeast,Yes
7,(4)_BBB,1189288.0,15094,50659,38545,6,0,4,0,Northeast,No
8,(2)_AA,506875.0,13546,46195,38545,5,2,3,0,South,No
9,(3)_A,8065633.0,19408,66300,54128,5,0,5,0,Midwest,No
10,(2)_AA,1744124.0,16801,54870,44464,4,1,4,1,Midwest,No
11,(3)_A,2759823.0,16116,56848,41841,5,3,2,0,Midwest,No
12,(1)_AAA,1377419.0,16697,43811,43830,5,1,4,0,Midwest,Yes
13,(1)_AAA,3885415.0,18900,57704,50727,3,1,6,0,South,No
14,(2)_AA,951270.0,15973,51551,41611,3,2,5,0,Midwest,No
15,(2)_AA,1848319.0,18600,58114,46059,1,0,7,1,West,Yes
16,(4)_BBB,4665236.0,17256,58890,46466,4,3,3,0,Midwest,No
17,(1)_AAA,,17642,49546,44655,3,2,5,0,South,No
18,(2)_AA,591610.0,10697,42225,35842,0,1,7,2,South,No
19,(3)_A,688399.0,15502,52007,43447,2,4,4,0,Midwest,No
20,(1)_AAA,942091.0,15697,48929,39458,2,1,7,0,South,No
21,(2)_AA,1123678.0,20853,69989,55108,1,1,7,1,Northeast,Yes
22,(2)_AA,836231.0,18705,74744,58222,2,2,5,1,West,Yes
23,(2)_AA,3711043.0,18045,56795,50509,2,0,7,1,South,No
24,(2)_AA,906727.0,15351,50836,40630,6,1,3,0,South,No
25,(2)_AA,1566280.0,17487,56286,45301,5,1,4,0,Midwest,No
26,(2)_AA,604816.0,15616,44052,39198,5,2,3,0,South,No
27,(2)_AA,14531529.0,16271,71029,49481,4,1,5,0,West,No
28,(3)_A,741459.0,15986,49228,41338,0,1,9,0,West,No
29,(2)_AA,513117.0,15580,47622,40803,6,3,1,0,South,Yes
30,(2)_AA,952662.0,15874,50905,40893,4,2,4,0,South,No
31,(2)_AA,981747.0,15337,52543,42057,6,2,2,0,South,No
32,(3)_A,3192582.0,14294,55316,40424,4,2,3,1,South,No
33,(2)_AA,1607183.0,17447,55757,46247,0,2,7,1,Midwest,No
34,(4)_BBB,804219.0,19634,65474,51639,0,5,5,0,Northeast,No
35,(3)_A,17953372.0,18906,67201,50414,3,2,4,1,Northeast,No
36,(2)_AA,1396107.0,14825,51376,41696,8,0,2,0,South,No
37,(2)_AA,958839.0,14151,46056,36899,6,2,2,0,South,Yes
38,(5)_BB,5899345.0,18837,63701,51337,0,3,7,0,Northeast,No
39,(2)_AA,2122101.0,15166,50740,39385,4,1,5,0,West,Yes
40,(3)_A,2242798.0,16024,52108,40047,3,2,5,0,Northeast,No
41,(4)_BBB,916270.0,15043,52340,39932,0,5,5,0,Northeast,Yes
42,(1)_AAA,735480.0,17642,49546,44655,4,1,4,1,South,Yes
43,(2)_AA,865640.0,17040,60197,44093,0,1,8,1,South,Yes
44,(2)_AA,1002410.0,16471,61594,44022,4,1,5,0,Northeast,No
45,(2)_AA,1481102.0,16663,54026,44394,0,3,7,0,West,Yes
46,(2)_AA,1302099.0,13605,46632,39251,9,0,1,0,South,No
47,(2)_AA,2498016.0,16485,56542,47163,7,2,1,0,West,No
48,(2)_AA,6253311.0,22003,80087,55590,4,1,5,0,West,No
49,(2)_AA,2559164.0,20387,57884,51147,0,3,7,0,West,No
50,(4)_BBB,2444099.0,16999,58697,44785,0,2,7,0,Midwest,No
51,(2)_AA,659864.0,15077,51716,40823,1,4,4,1,Northeast,No
52,(3)_A,614128.0,14770,51398,39206,3,4,3,0,Midwest,No
53,(2)_AA,666880.0,13514,42998,34133,6,2,2,0,West,No
54,(2)_AA,708954.0,14253,49050,36318,3,2,5,0,South,No
55,(1)_AAA,2464124.0,18113,61029,47792,4,2,4,0,Midwest,Yes
56,(3)_A,709705.0,17018,56517,46317,3,3,3,1,Northeast,No
