,Winner_cat,Judge_cat,Official_cat,Round_cat
0,Lewis,E._Williams,Yes,1
1,Lewis,E._Williams,Yes,2
2,Holyfield,E._Williams,Yes,3
3,Holyfield,E._Williams,Yes,4
4,Holyfield,E._Williams,Yes,5
5,Lewis,E._Williams,Yes,6
6,Lewis,E._Williams,Yes,7
7,Holyfield,E._Williams,Yes,8
8,Holyfield,E._Williams,Yes,9
9,Holyfield,E._Williams,Yes,10
10,Holyfield,E._Williams,Yes,11
11,Lewis,E._Williams,Yes,12
12,Lewis,L._OConnell,Yes,1
13,Lewis,L._OConnell,Yes,2
14,Holyfield,L._OConnell,Yes,3
15,Lewis,L._OConnell,Yes,4
16,Lewis,L._OConnell,Yes,5
17,Holyfield,L._OConnell,Yes,6
18,Holyfield,L._OConnell,Yes,7
19,Holyfield,L._OConnell,Yes,8
20,Holyfield,L._OConnell,Yes,9
21,Holyfield,L._OConnell,Yes,10
22,Holyfield,L._OConnell,Yes,11
23,Lewis,L._OConnell,Yes,12
24,Lewis,S._Christodoulu,Yes,1
25,Lewis,S._Christodoulu,Yes,2
26,Holyfield,S._Christodoulu,Yes,3
27,Lewis,S._Christodoulu,Yes,4
28,Lewis,S._Christodoulu,Yes,5
29,Lewis,S._Christodoulu,Yes,6
30,Lewis,S._Christodoulu,Yes,7
31,Holyfield,S._Christodoulu,Yes,8
32,Holyfield,S._Christodoulu,Yes,9
33,Holyfield,S._Christodoulu,Yes,10
34,Holyfield,S._Christodoulu,Yes,11
35,Lewis,S._Christodoulu,Yes,12
36,Lewis,HBO-Lederman,No,1
37,Lewis,HBO-Lederman,No,2
38,Holyfield,HBO-Lederman,No,3
39,Lewis,HBO-Lederman,No,4
40,Lewis,HBO-Lederman,No,5
41,Lewis,HBO-Lederman,No,6
42,Lewis,HBO-Lederman,No,7
43,Lewis,HBO-Lederman,No,8
44,Holyfield,HBO-Lederman,No,9
45,Holyfield,HBO-Lederman,No,10
46,Lewis,HBO-Lederman,No,11
47,Lewis,HBO-Lederman,No,12
48,Lewis,Sportsticker,No,1
49,Lewis,Sportsticker,No,2
50,Holyfield,Sportsticker,No,3
51,Lewis,Sportsticker,No,4
52,Lewis,Sportsticker,No,5
53,Lewis,Sportsticker,No,6
54,Lewis,Sportsticker,No,7
55,Lewis,Sportsticker,No,8
56,Holyfield,Sportsticker,No,9
57,Holyfield,Sportsticker,No,10
58,Lewis,Sportsticker,No,11
59,Lewis,Sportsticker,No,12
60,Lewis,Boxing_Times,No,1
61,Lewis,Boxing_Times,No,2
62,Holyfield,Boxing_Times,No,3
63,Lewis,Boxing_Times,No,4
64,Lewis,Boxing_Times,No,5
65,Lewis,Boxing_Times,No,6
66,Lewis,Boxing_Times,No,7
67,Lewis,Boxing_Times,No,8
68,Holyfield,Boxing_Times,No,9
69,Holyfield,Boxing_Times,No,10
70,Lewis,Boxing_Times,No,11
71,Lewis,Boxing_Times,No,12
72,Lewis,Sportsline,No,1
73,Lewis,Sportsline,No,2
74,Holyfield,Sportsline,No,3
75,Lewis,Sportsline,No,4
76,Lewis,Sportsline,No,5
77,Holyfield,Sportsline,No,6
78,Lewis,Sportsline,No,7
79,Lewis,Sportsline,No,8
80,Lewis,Sportsline,No,9
81,Holyfield,Sportsline,No,10
82,Lewis,Sportsline,No,11
83,Lewis,Sportsline,No,12
84,Lewis,Associated_Press,No,1
85,Lewis,Associated_Press,No,2
86,Holyfield,Associated_Press,No,3
87,Holyfield,Associated_Press,No,4
88,Lewis,Associated_Press,No,5
89,Lewis,Associated_Press,No,6
90,Lewis,Associated_Press,No,7
91,Lewis,Associated_Press,No,8
92,Lewis,Associated_Press,No,9
93,Holyfield,Associated_Press,No,10
94,Lewis,Associated_Press,No,11
95,Lewis,Associated_Press,No,12
96,Lewis,ESPN,No,1
97,Lewis,ESPN,No,2
98,Lewis,ESPN,No,3
99,Lewis,ESPN,No,4
100,Lewis,ESPN,No,5
101,Lewis,ESPN,No,6
102,Lewis,ESPN,No,7
103,Lewis,ESPN,No,8
104,Lewis,ESPN,No,9
105,Holyfield,ESPN,No,10
106,Lewis,ESPN,No,11
107,Lewis,ESPN,No,12
108,Lewis,Boxing_Monthly-Leach,No,1
109,Lewis,Boxing_Monthly-Leach,No,2
110,Holyfield,Boxing_Monthly-Leach,No,3
111,Holyfield,Boxing_Monthly-Leach,No,4
112,Lewis,Boxing_Monthly-Leach,No,5
113,Holyfield,Boxing_Monthly-Leach,No,6
114,Lewis,Boxing_Monthly-Leach,No,7
115,Holyfield,Boxing_Monthly-Leach,No,8
116,Holyfield,Boxing_Monthly-Leach,No,9
117,Holyfield,Boxing_Monthly-Leach,No,10
118,Holyfield,Boxing_Monthly-Leach,No,11
119,Lewis,Boxing_Monthly-Leach,No,12
