,Count_cat,Show_cat,Type_cat,Revival_cat,NYT_rating_num,DN_rating_num,Week_1_attendance_num,Award_cat
0,2,A_Dolls_House,Play,Yes,5.0,2.66667,87.13,No_nomination
1,0,A_Dolls_House,Play,Yes,5.0,2.66667,87.13,Losing_nomination
2,4,A_Dolls_House,Play,Yes,5.0,2.66667,87.13,Win
3,6,A_Thousand_Clowns,Play,Yes,1.66667,2.0,100.0,No_nomination
4,0,A_Thousand_Clowns,Play,Yes,1.66667,2.0,100.0,Losing_nomination
5,0,A_Thousand_Clowns,Play,Yes,1.66667,2.0,100.0,Win
6,2,A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,No_nomination
7,2,A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Losing_nomination
8,2,A_View_From_the_Bridge,Play,Yes,4.66667,2.33333,88.44,Win
9,4,Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,No_nomination
10,2,Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Losing_nomination
11,0,Ah_Wilderness!,Play,Yes,3.66667,4.66667,68.14,Win
12,4,Amys_View,Play,No,3.66667,4.66667,90.72,No_nomination
13,1,Amys_View,Play,No,3.66667,4.66667,90.72,Losing_nomination
14,1,Amys_View,Play,No,3.66667,4.66667,90.72,Win
15,5,An_American_Daughter,Play,No,2.33333,2.33333,77.09,No_nomination
16,0,An_American_Daughter,Play,No,2.33333,2.33333,77.09,Losing_nomination
17,1,An_American_Daughter,Play,No,2.33333,2.33333,77.09,Win
18,5,Annie,Musical,Yes,1.66667,3.0,84.8,No_nomination
19,1,Annie,Musical,Yes,1.66667,3.0,84.8,Losing_nomination
20,0,Annie,Musical,Yes,1.66667,3.0,84.8,Win
21,3,Annie_Get_Your_Gun,Musical,Yes,2.0,4.33333,89.2,No_nomination
22,1,Annie_Get_Your_Gun,Musical,Yes,2.0,4.33333,89.2,Losing_nomination
23,2,Annie_Get_Your_Gun,Musical,Yes,2.0,4.33333,89.2,Win
24,3,Art,Play,No,4.66667,4.66667,90.35,No_nomination
25,2,Art,Play,No,4.66667,4.66667,90.35,Losing_nomination
26,1,Art,Play,No,4.66667,4.66667,90.35,Win
27,6,Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,No_nomination
28,0,Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Losing_nomination
29,0,Band_in_Berlin,Musical,No,1.66667,3.33333,48.38,Win
30,5,Barrymore,Play,No,4.33333,3.66667,53.69,No_nomination
31,0,Barrymore,Play,No,4.33333,3.66667,53.69,Losing_nomination
32,1,Barrymore,Play,No,4.33333,3.66667,53.69,Win
33,0,Cabaret,Musical,Yes,3.66667,5.0,92.19,No_nomination
34,2,Cabaret,Musical,Yes,3.66667,5.0,92.19,Losing_nomination
35,4,Cabaret,Musical,Yes,3.66667,5.0,92.19,Win
36,3,Candide,Musical,Yes,3.0,1.33333,82.61,No_nomination
37,3,Candide,Musical,Yes,3.0,1.33333,82.61,Losing_nomination
38,0,Candide,Musical,Yes,3.0,1.33333,82.61,Win
39,1,Chicago,Musical,Yes,5.0,5.0,97.02,No_nomination
40,1,Chicago,Musical,Yes,5.0,5.0,97.02,Losing_nomination
41,4,Chicago,Musical,Yes,5.0,5.0,97.02,Win
42,5,Closer,Play,No,1.66667,2.66667,88.91,No_nomination
43,1,Closer,Play,No,1.66667,2.66667,88.91,Losing_nomination
44,0,Closer,Play,No,1.66667,2.66667,88.91,Win
45,0,Death_of_a_Salesman,Play,Yes,5.0,5.0,86.67,No_nomination
46,2,Death_of_a_Salesman,Play,Yes,5.0,5.0,86.67,Losing_nomination
47,4,Death_of_a_Salesman,Play,Yes,5.0,5.0,86.67,Win
48,6,Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2.0,72.53,No_nomination
49,0,Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2.0,72.53,Losing_nomination
50,0,Dream_-_The_Johnny_Mercer_Musical,Musical_revue,No,1.66667,2.0,72.53,Win
51,3,Electra,Play,Yes,4.66667,4.33333,92.97,No_nomination
52,3,Electra,Play,Yes,4.66667,4.33333,92.97,Losing_nomination
53,0,Electra,Play,Yes,4.66667,4.33333,92.97,Win
54,6,Eugene_Onegin,Musical,Yes,,,40.66,No_nomination
55,0,Eugene_Onegin,Musical,Yes,,,40.66,Losing_nomination
56,0,Eugene_Onegin,Musical,Yes,,,40.66,Win
57,5,Footloose,Musical,No,1.33333,1.33333,70.07,No_nomination
58,1,Footloose,Musical,No,1.33333,1.33333,70.07,Losing_nomination
59,0,Footloose,Musical,No,1.33333,1.33333,70.07,Win
60,6,Forever_Tango,Musical_revue,No,2.66667,4.0,76.97,No_nomination
61,0,Forever_Tango,Musical_revue,No,2.66667,4.0,76.97,Losing_nomination
62,0,Forever_Tango,Musical_revue,No,2.66667,4.0,76.97,Win
63,1,Fosse!,Musical_revue,No,3.0,4.0,97.24,No_nomination
64,4,Fosse!,Musical_revue,No,3.0,4.0,97.24,Losing_nomination
65,1,Fosse!,Musical_revue,No,3.0,4.0,97.24,Win
66,6,Getting_and_Spending,Play,No,1.66667,1.66667,30.83,No_nomination
67,0,Getting_and_Spending,Play,No,1.66667,1.66667,30.83,Losing_nomination
68,0,Getting_and_Spending,Play,No,1.66667,1.66667,30.83,Win
69,6,God_Said_Ha!,Play,No,4.66667,2.33333,50.1,No_nomination
70,0,God_Said_Ha!,Play,No,4.66667,2.33333,50.1,Losing_nomination
71,0,God_Said_Ha!,Play,No,4.66667,2.33333,50.1,Win
72,4,Golden_Child,Play,No,2.0,1.66667,40.04,No_nomination
73,2,Golden_Child,Play,No,2.0,1.66667,40.04,Losing_nomination
74,0,Golden_Child,Play,No,2.0,1.66667,40.04,Win
75,4,High_Society,Musical,No,1.66667,2.0,64.87,No_nomination
76,2,High_Society,Musical,No,1.66667,2.0,64.87,Losing_nomination
77,0,High_Society,Musical,No,1.66667,2.0,64.87,Win
78,4,Honour,Play,No,3.33333,3.33333,46.75,No_nomination
79,2,Honour,Play,No,3.33333,3.33333,46.75,Losing_nomination
80,0,Honour,Play,No,3.33333,3.33333,46.75,Win
