,Count_num,Political_system_cat,Age_cat,Time_of_survey_cat,Schooling_cat,Region_cat
0,1,Very_poorly,19-29,1991,Basic_incomplete,West_Germany
1,5,Very_poorly,19-29,1991,Basic,West_Germany
2,10,Very_poorly,19-29,1991,Medium,West_Germany
3,3,Very_poorly,19-29,1991,Upper_medium,West_Germany
4,8,Very_poorly,19-29,1991,Intensive,West_Germany
5,0,Very_poorly,19-29,1991,Basic_incomplete,East_Germany
6,0,Very_poorly,19-29,1991,Basic,East_Germany
7,2,Very_poorly,19-29,1991,Medium,East_Germany
8,0,Very_poorly,19-29,1991,Upper_medium,East_Germany
9,2,Very_poorly,19-29,1991,Intensive,East_Germany
10,3,Poorly,19-29,1991,Basic_incomplete,West_Germany
11,63,Poorly,19-29,1991,Basic,West_Germany
12,88,Poorly,19-29,1991,Medium,West_Germany
13,22,Poorly,19-29,1991,Upper_medium,West_Germany
14,78,Poorly,19-29,1991,Intensive,West_Germany
15,2,Poorly,19-29,1991,Basic_incomplete,East_Germany
16,13,Poorly,19-29,1991,Basic,East_Germany
17,103,Poorly,19-29,1991,Medium,East_Germany
18,6,Poorly,19-29,1991,Upper_medium,East_Germany
19,29,Poorly,19-29,1991,Intensive,East_Germany
20,1,Well,19-29,1991,Basic_incomplete,West_Germany
21,25,Well,19-29,1991,Basic,West_Germany
22,18,Well,19-29,1991,Medium,West_Germany
23,5,Well,19-29,1991,Upper_medium,West_Germany
24,9,Well,19-29,1991,Intensive,West_Germany
25,1,Well,19-29,1991,Basic_incomplete,East_Germany
26,5,Well,19-29,1991,Basic,East_Germany
27,53,Well,19-29,1991,Medium,East_Germany
28,1,Well,19-29,1991,Upper_medium,East_Germany
29,12,Well,19-29,1991,Intensive,East_Germany
30,2,Very_well,19-29,1991,Basic_incomplete,West_Germany
31,2,Very_well,19-29,1991,Basic,West_Germany
32,0,Very_well,19-29,1991,Medium,West_Germany
33,0,Very_well,19-29,1991,Upper_medium,West_Germany
34,1,Very_well,19-29,1991,Intensive,West_Germany
35,0,Very_well,19-29,1991,Basic_incomplete,East_Germany
36,0,Very_well,19-29,1991,Basic,East_Germany
37,4,Very_well,19-29,1991,Medium,East_Germany
38,0,Very_well,19-29,1991,Upper_medium,East_Germany
39,3,Very_well,19-29,1991,Intensive,East_Germany
40,0,Very_poorly,30-44,1991,Basic_incomplete,West_Germany
41,24,Very_poorly,30-44,1991,Basic,West_Germany
42,17,Very_poorly,30-44,1991,Medium,West_Germany
43,3,Very_poorly,30-44,1991,Upper_medium,West_Germany
44,11,Very_poorly,30-44,1991,Intensive,West_Germany
45,0,Very_poorly,30-44,1991,Basic_incomplete,East_Germany
46,3,Very_poorly,30-44,1991,Basic,East_Germany
47,7,Very_poorly,30-44,1991,Medium,East_Germany
48,0,Very_poorly,30-44,1991,Upper_medium,East_Germany
49,1,Very_poorly,30-44,1991,Intensive,East_Germany
50,1,Poorly,30-44,1991,Basic_incomplete,West_Germany
51,135,Poorly,30-44,1991,Basic,West_Germany
52,89,Poorly,30-44,1991,Medium,West_Germany
53,26,Poorly,30-44,1991,Upper_medium,West_Germany
54,68,Poorly,30-44,1991,Intensive,West_Germany
55,3,Poorly,30-44,1991,Basic_incomplete,East_Germany
56,39,Poorly,30-44,1991,Basic,East_Germany
57,198,Poorly,30-44,1991,Medium,East_Germany
58,7,Poorly,30-44,1991,Upper_medium,East_Germany
59,52,Poorly,30-44,1991,Intensive,East_Germany
60,1,Well,30-44,1991,Basic_incomplete,West_Germany
61,34,Well,30-44,1991,Basic,West_Germany
62,14,Well,30-44,1991,Medium,West_Germany
63,1,Well,30-44,1991,Upper_medium,West_Germany
64,10,Well,30-44,1991,Intensive,West_Germany
65,4,Well,30-44,1991,Basic_incomplete,East_Germany
66,27,Well,30-44,1991,Basic,East_Germany
67,86,Well,30-44,1991,Medium,East_Germany
68,7,Well,30-44,1991,Upper_medium,East_Germany
69,17,Well,30-44,1991,Intensive,East_Germany
70,0,Very_well,30-44,1991,Basic_incomplete,West_Germany
71,2,Very_well,30-44,1991,Basic,West_Germany
72,1,Very_well,30-44,1991,Medium,West_Germany
73,0,Very_well,30-44,1991,Upper_medium,West_Germany
74,1,Very_well,30-44,1991,Intensive,West_Germany
75,1,Very_well,30-44,1991,Basic_incomplete,East_Germany
