,binaryClass_cat,Married_cat,Age_num,Years_of_education_num,Male_cat,Religious_cat,Sex_partners_num,Income_num,Drug_use_cat,Same_sex_relations_cat
0,P,1,52.0,14.0,0,1,1.0,32500.0,0,0
1,N,0,58.0,16.0,0,1,0.0,21250.0,0,0
2,P,0,22.0,14.0,1,1,15.0,2000.0,0,0
3,P,1,35.0,14.0,1,1,5.0,21250.0,0,0
4,P,0,43.0,20.0,1,1,1.0,67500.0,0,0
5,P,1,49.0,13.0,1,1,1.0,85000.0,0,0
6,P,1,34.0,12.0,0,1,1.0,32500.0,0,0
7,P,1,34.0,12.0,1,1,10.0,23750.0,1,0
8,P,1,31.0,16.0,0,1,3.0,32500.0,0,0
9,P,1,49.0,4.0,1,1,1.0,27500.0,0,0
10,P,0,61.0,12.0,0,1,3.0,32500.0,0,0
11,N,0,28.0,16.0,0,1,1.0,4500.0,0,0
12,N,0,59.0,16.0,1,0,20.0,27500.0,0,1
13,P,0,36.0,12.0,0,1,4.0,500.0,0,1
14,N,1,35.0,12.0,0,1,1.0,3500.0,0,0
15,P,1,24.0,12.0,0,1,1.0,23750.0,0,0
16,N,0,30.0,16.0,1,1,3.0,32500.0,0,0
17,P,0,56.0,16.0,0,1,1.0,37500.0,0,0
18,N,0,34.0,12.0,0,1,2.0,32500.0,0,0
19,P,1,40.0,13.0,1,1,1.0,27500.0,0,0
20,P,1,43.0,15.0,1,1,2.0,4500.0,0,0
21,P,1,27.0,12.0,1,1,2.0,,0,0
22,P,0,53.0,10.0,0,1,1.0,6500.0,0,0
23,P,1,58.0,14.0,1,1,1.0,55000.0,0,0
24,N,0,31.0,16.0,0,0,5.0,9000.0,0,1
25,N,0,48.0,17.0,0,1,1.0,32500.0,0,0
26,P,0,39.0,18.0,1,1,1.0,85000.0,0,0
27,P,0,32.0,20.0,0,1,1.0,32500.0,0,0
28,P,0,49.0,12.0,0,1,4.0,,0,0
29,N,0,33.0,19.0,1,1,3.0,37500.0,0,0
30,N,0,29.0,18.0,0,1,5.0,27500.0,0,0
31,P,0,36.0,12.0,0,1,10.0,,0,0
32,P,1,49.0,12.0,1,1,1.0,16250.0,0,0
33,P,1,36.0,18.0,1,1,1.0,32500.0,0,0
34,N,0,39.0,16.0,0,1,1.0,45000.0,0,0
35,P,1,40.0,16.0,0,1,1.0,6500.0,0,0
36,P,1,40.0,10.0,0,1,1.0,16250.0,0,0
37,P,1,35.0,17.0,0,1,1.0,11250.0,0,0
38,N,1,48.0,12.0,1,1,1.0,55000.0,0,0
39,P,0,29.0,16.0,1,1,10.0,23750.0,0,0
40,P,1,30.0,14.0,0,1,3.0,18750.0,0,0
41,P,1,36.0,19.0,0,1,1.0,18750.0,0,0
42,P,1,27.0,14.0,1,1,1.0,18750.0,0,0
