,binaryClass_cat,Year_num,Length_num,Violence_time_num,Injuries_num,Fatal_injuries_num,Good/neutral_injuries_num,Good/neutral_fatalities_num,Bad_injuries_num
0,N,1937.0,5040.0,474.0,2.0,1.0,1.0,0.0,1.0
1,P,1940.0,7200.0,307.0,1.0,1.0,1.0,1.0,0.0
2,P,1940.0,5280.0,432.0,1.0,0.0,1.0,0.0,0.0
3,P,1941.0,3780.0,75.0,0.0,0.0,0.0,0.0,0.0
4,P,1942.0,4140.0,252.0,2.0,1.0,2.0,1.0,0.0
5,P,1945.0,4260.0,210.0,0.0,0.0,0.0,0.0,0.0
6,P,1947.0,4380.0,552.0,0.0,0.0,0.0,0.0,0.0
7,P,1949.0,4080.0,527.0,0.0,0.0,0.0,0.0,0.0
8,N,1950.0,4560.0,273.0,1.0,1.0,0.0,0.0,1.0
9,P,1951.0,4440.0,316.0,0.0,0.0,0.0,0.0,0.0
10,N,1953.0,4560.0,863.0,2.0,1.0,1.0,0.0,1.0
11,N,1955.0,4560.0,351.0,3.0,1.0,2.0,0.0,1.0
12,N,1959.0,4500.0,599.0,1.0,1.0,0.0,0.0,1.0
13,P,1961.0,4740.0,492.0,0.0,0.0,0.0,0.0,0.0
14,P,1963.0,4740.0,1012.0,0.0,0.0,0.0,0.0,0.0
15,P,1967.0,4680.0,676.0,3.0,0.0,3.0,0.0,0.0
16,P,1969.0,5100.0,109.0,0.0,0.0,0.0,0.0,0.0
17,P,1970.0,4740.0,354.0,0.0,0.0,0.0,0.0,0.0
18,P,1972.0,4800.0,500.0,1.0,0.0,1.0,0.0,0.0
19,P,1973.0,5640.0,164.0,0.0,0.0,0.0,0.0,0.0
20,P,1973.0,4980.0,814.0,0.0,0.0,0.0,0.0,0.0
21,P,1977.0,4980.0,65.0,0.0,0.0,0.0,0.0,0.0
22,P,1977.0,4560.0,675.0,0.0,0.0,0.0,0.0,0.0
23,P,1981.0,4980.0,717.0,3.0,1.0,2.0,1.0,1.0
24,N,1982.0,5100.0,743.0,5.0,3.0,3.0,1.0,2.0
25,N,1982.0,5200.0,522.0,4.0,3.0,3.0,2.0,1.0
26,P,1985.0,4680.0,471.0,0.0,0.0,0.0,0.0,0.0
27,P,1986.0,4860.0,701.0,0.0,0.0,0.0,0.0,0.0
28,N,1986.0,4380.0,798.0,2.0,2.0,0.0,0.0,2.0
29,N,1988.0,4140.0,484.0,3.0,2.0,1.0,1.0,2.0
30,N,1988.0,4440.0,293.0,6.0,3.0,2.0,0.0,4.0
31,N,1989.0,5340.0,554.0,5.0,3.0,3.0,2.0,2.0
32,P,1989.0,6180.0,35.0,0.0,0.0,0.0,0.0,0.0
33,N,1989.0,4980.0,517.0,2.0,1.0,1.0,0.0,1.0
34,N,1990.0,4440.0,494.0,1.0,1.0,0.0,0.0,1.0
35,N,1990.0,4440.0,1071.0,5.0,3.0,2.0,0.0,3.0
36,P,1990.0,4920.0,221.0,3.0,0.0,3.0,0.0,0.0
37,N,1990.0,4440.0,428.0,5.0,2.0,2.0,0.0,3.0
38,N,1990.0,4620.0,673.0,1.0,1.0,0.0,0.0,1.0
39,P,1991.0,4500.0,873.0,0.0,0.0,0.0,0.0,0.0
40,N,1991.0,5040.0,786.0,3.0,1.0,2.0,0.0,1.0
41,N,1991.0,4920.0,659.0,3.0,2.0,1.0,0.0,2.0
42,P,1992.0,5400.0,968.0,1.0,1.0,1.0,1.0,0.0
43,P,1992.0,4560.0,475.0,0.0,0.0,0.0,0.0,0.0
44,N,1992.0,5100.0,578.0,3.0,2.0,1.0,0.0,2.0
45,P,1992.0,5040.0,501.0,1.0,0.0,1.0,0.0,0.0
46,P,1993.0,5160.0,6.0,0.0,0.0,0.0,0.0,0.0
47,P,1993.0,4260.0,300.0,2.0,2.0,2.0,2.0,0.0
48,P,1993.0,4260.0,479.0,0.0,0.0,0.0,0.0,0.0
49,N,1994.0,5280.0,838.0,2.0,2.0,1.0,1.0,1.0
50,P,1994.0,4560.0,836.0,0.0,0.0,0.0,0.0,0.0
51,N,1994.0,5400.0,788.0,9.0,2.0,8.0,1.0,1.0
52,P,1994.0,5160.0,410.0,1.0,0.0,1.0,0.0,0.0
53,P,1994.0,4560.0,900.0,0.0,0.0,0.0,0.0,0.0
54,N,1995.0,4380.0,542.0,2.0,2.0,1.0,1.0,1.0
55,P,1995.0,4680.0,338.0,1.0,0.0,0.0,0.0,1.0
56,P,1995.0,4680.0,127.0,0.0,0.0,0.0,0.0,0.0
57,P,1995.0,5400.0,990.0,1.0,0.0,1.0,0.0,0.0
58,N,1995.0,4440.0,1026.0,1.0,1.0,0.0,0.0,1.0
59,P,1995.0,4860.0,323.0,3.0,1.0,3.0,1.0,0.0
60,P,1995.0,4860.0,246.0,0.0,0.0,0.0,0.0,0.0
61,P,1996.0,4920.0,800.0,0.0,0.0,0.0,0.0,0.0
62,N,1996.0,5400.0,1006.0,5.0,2.0,4.0,1.0,1.0
63,N,1997.0,5640.0,630.0,3.0,2.0,1.0,0.0,2.0
64,N,1997.0,4440.0,704.0,3.0,1.0,2.0,0.0,1.0
65,P,1997.0,4620.0,311.0,0.0,0.0,0.0,0.0,0.0
66,N,1997.0,5520.0,974.0,3.0,2.0,1.0,0.0,2.0
67,P,1997.0,4680.0,172.0,0.0,0.0,0.0,0.0,0.0
68,N,1997.0,4320.0,932.0,3.0,2.0,1.0,0.0,2.0
69,N,1998.0,5700.0,1098.0,3.0,1.0,2.0,0.0,1.0
70,N,1998.0,5280.0,986.0,5.0,2.0,3.0,0.0,2.0
71,N,1998.0,5160.0,1447.0,3.0,2.0,2.0,1.0,1.0
72,P,1998.0,4860.0,492.0,0.0,0.0,0.0,0.0,0.0
73,P,1999.0,5340.0,855.0,2.0,0.0,2.0,0.0,0.0
