,Laid.off_cat,Length.of.service_num,CAP_num,PA.normalized_num,Minority_cat
0,1,3.17,7,3.33,1
1,1,4.47,8,3.33,1
2,1,0.69,11,4.44,1
3,1,1.52,16,1.11,1
4,1,7.43,6,13.32,1
5,1,10.95,7,14.44,1
6,1,9.53,7,16.68,1
7,1,6.41,16,9.99,1
8,1,7.41,15,13.32,0
9,1,7.0,13,15.56,1
10,1,1.82,27,3.33,1
11,1,7.78,11,17.79,0
12,1,8.76,12,16.68,1
13,1,7.0,16,13.32,1
14,1,7.39,13,16.68,0
15,1,15.52,15,12.23,1
16,1,6.84,16,14.44,1
17,1,6.84,13,17.79,0
18,1,21.91,8,17.79,1
19,0,8.64,14,16.68,1
20,0,1.52,32,1.11,0
21,0,7.33,18,13.32,1
22,0,3.32,30,3.33,1
23,0,10.28,19,12.23,0
24,0,5.1,21,12.21,1
25,0,1.82,31,3.33,1
26,0,3.17,25,9.99,1
27,0,23.18,10,18.9,1
28,0,7.82,19,16.68,0
29,0,8.23,20,15.56,1
30,0,8.81,19,16.68,1
31,0,8.05,18,18.9,1
32,0,21.53,13,20.01,0
33,0,23.01,13,20.01,1
34,0,6.67,8,20.01,0
35,0,7.43,20,18.9,1
36,0,7.1,21,18.9,0
37,0,7.06,24,16.68,1
38,0,3.4,32,9.99,1
39,0,29.32,16,17.79,0
40,0,1.06,40,3.33,0
41,0,4.87,30,12.21,0
42,0,7.33,27,14.45,0
43,0,3.17,33,9.99,1
44,0,6.82,24,17.79,0
45,0,4.53,30,13.33,1
46,0,6.49,24,18.9,1
47,0,17.37,16,23.34,0
48,0,9.73,22,20.01,1
49,0,7.19,24,18.9,1
50,0,3.75,32,12.21,1
51,0,13.5,21,20.01,0
52,0,7.52,27,16.68,1
53,0,20.83,13,26.67,1
54,0,8.5,25,18.9,0
55,0,22.71,16,23.34,0
56,0,7.21,29,15.56,1
57,0,3.11,36,9.99,1
58,0,10.41,28,15.56,1
59,0,42.89,13,20.01,0
60,0,6.96,25,20.01,1
61,0,11.28,25,18.9,0
62,0,8.19,25,20.01,0
63,0,4.75,33,13.33,0
64,0,1.82,43,4.44,0
65,0,1.84,43,4.44,0
66,0,6.84,27,18.9,1
67,0,7.69,27,18.9,1
68,0,23.06,23,17.79,0
69,0,12.74,21,20.01,0
70,0,1.82,45,3.33,0
71,0,8.5,28,18.9,1
72,0,3.94,32,16.67,0
73,0,1.78,45,4.44,0
74,0,7.04,33,15.56,1
75,0,13.76,23,23.34,1
76,0,13.83,23,23.34,0
77,0,6.71,31,17.79,0
78,0,7.33,30,18.9,0
79,0,22.02,24,25.56,1
80,0,6.86,34,15.56,1
81,0,7.76,36,13.33,1
82,0,13.76,33,14.44,1
83,0,11.26,30,18.9,0
84,0,13.06,25,23.34,0
85,0,36.07,21,20.01,0
86,0,11.12,26,23.34,1
87,0,3.29,41,11.1,0
88,0,7.07,32,18.9,0
89,0,21.55,23,23.34,0
90,0,10.68,30,20.01,0
91,0,4.85,41,11.1,0
92,0,13.52,26,23.34,0
93,0,21.49,27,20.01,0
94,0,21.49,27,20.01,0
95,0,7.18,32,20.01,1
96,0,30.79,22,22.23,1
97,0,15.48,26,23.34,0
98,0,10.68,31,20.01,1
99,0,14.05,30,20.01,0
100,0,14.01,29,21.12,1
101,0,8.68,30,22.23,0
102,0,25.01,29,17.79,0
103,0,25.98,20,26.67,1
104,0,20.99,29,20.01,1
105,0,7.82,36,17.79,1
106,0,10.14,32,21.12,0
107,0,23.12,29,20.01,0
108,0,8.5,35,18.9,1
109,0,6.65,39,15.56,1
110,0,13.36,29,23.34,0
111,0,7.76,32,22.23,0
112,0,13.54,29,23.34,0
113,0,19.64,27,23.34,0
114,0,13.72,29,23.34,0
115,0,13.76,29,23.34,0
116,0,7.0,38,16.68,1
117,0,7.04,38,16.68,1
118,0,17.92,28,23.34,0
119,0,12.51,30,23.34,0
120,0,21.71,27,23.34,0
121,0,8.68,36,18.9,0
122,0,18.56,25,26.67,0
123,0,10.69,31,23.34,0
124,0,6.98,39,16.68,1
125,0,21.55,27,24.45,0
126,0,8.03,36,20.01,1
127,0,4.38,44,13.33,0
128,0,3.42,39,18.9,0
129,0,14.51,31,23.34,0
130,0,6.65,37,20.01,0
131,0,7.0,37,20.01,1
132,0,7.7,39,17.79,1
133,0,15.66,31,23.34,1
134,0,22.14,29,23.34,1
135,0,8.23,37,20.01,0
136,0,10.55,30,26.67,0
137,0,7.21,40,17.79,1
138,0,8.5,38,20.01,1
139,0,8.54,38,20.01,0
140,0,21.73,27,26.67,1
141,0,22.77,27,26.67,0
142,0,7.37,40,18.9,1
143,0,7.33,38,21.12,0
144,0,23.14,32,22.23,0
145,0,17.29,33,23.34,0
146,0,21.38,45,10.0,1
147,0,6.75,40,20.01,0
148,0,6.92,41,20.01,0
149,0,18.47,33,23.34,0
150,0,8.46,42,17.79,1
151,0,7.12,47,13.34,1
152,0,13.76,35,23.34,1
153,0,22.51,29,26.67,0
154,0,18.69,35,22.23,0
155,0,4.87,49,13.33,0
156,0,6.9,44,17.79,0
157,0,14.35,33,26.67,0
158,0,5.0,45,17.79,0
159,0,9.73,38,23.34,0
160,0,8.29,41,21.12,1
161,0,3.68,51,14.44,1
162,0,9.42,38,25.56,1
163,0,34.41,32,23.34,0
164,0,8.5,44,20.01,1
165,0,13.54,39,23.34,1
166,0,19.19,36,24.45,1
167,0,10.52,40,23.34,0
168,0,6.94,46,18.9,0
169,0,18.51,38,23.34,0
170,0,7.86,46,18.9,0
171,0,22.24,37,23.34,0
172,0,17.33,40,22.23,1
173,0,14.35,40,23.34,0
174,0,7.02,46,20.01,0
175,0,12.23,40,24.45,0
176,0,32.65,31,26.67,0
177,0,11.41,42,23.34,0
178,0,7.54,47,20.01,1
179,0,7.58,45,22.23,0
180,0,10.44,43,23.34,0
181,0,10.59,43,23.34,0
182,0,8.23,45,22.23,0
183,0,16.55,40,24.45,0
184,0,14.05,42,23.34,0
185,0,17.9,40,24.45,0
186,0,17.86,39,23.34,0
