,Accidents_num,Season_cat,Month_cat,Unemployment_rate_num
0,40,Winter,January,8.0
1,39,Winter,February,8.2
2,32,Spring,March,8.0
3,27,Spring,April,8.75
4,31,Spring,May,7.25
5,30,Summer,June,7.25
6,23,Summer,July,7.75
7,25,Summer,August,7.5
8,24,Autumn,September,7.25
9,35,Autumn,October,7.25
10,38,Autumn,November,8.0
11,37,Winter,December,8.5
12,22,Winter,January,10.25
13,28,Winter,February,11.25
14,22,Spring,March,11.0
15,28,Spring,April,12.5
16,20,Spring,May,14.0
17,25,Summer,June,14.0
18,24,Summer,July,14.25
19,22,Summer,August,12.75
20,20,Autumn,September,12.0
21,28,Autumn,October,12.25
22,24,Autumn,November,12.5
23,43,Winter,December,12.25
24,29,Winter,January,14.0
25,28,Winter,February,14.25
26,19,Spring,March,13.25
27,25,Spring,April,12.25
28,21,Spring,May,11.5
29,30,Summer,June,11.0
30,23,Summer,July,12.0
31,24,Summer,August,11.0
32,28,Autumn,September,10.75
33,26,Autumn,October,11.75
34,23,Autumn,November,12.0
35,32,Winter,December,14.5
36,29,Winter,January,16.0
37,29,Winter,February,16.25
38,20,Spring,March,17.0
39,28,Spring,April,15.5
40,25,Spring,May,14.25
41,21,Summer,June,14.25
42,16,Summer,July,14.75
43,19,Summer,August,14.5
44,19,Autumn,September,14.5
45,27,Autumn,October,15.0
46,29,Autumn,November,16.5
47,26,Winter,December,17.25
48,24,Winter,January,17.0
49,20,Winter,February,16.5
50,22,Spring,March,17.0
51,21,Spring,April,15.5
52,25,Spring,May,14.75
53,24,Summer,June,14.5
54,25,Summer,July,13.25
55,26,Summer,August,13.5
56,26,Autumn,September,12.5
57,31,Autumn,October,12.75
58,27,Autumn,November,11.75
59,39,Winter,December,12.0
60,27,Winter,January,13.0
61,22,Winter,February,12.75
62,24,Spring,March,12.5
63,27,Spring,April,11.25
64,24,Spring,May,11.25
65,33,Summer,June,11.25
66,27,Summer,July,11.25
67,30,Summer,August,10.5
68,23,Autumn,September,10.0
69,29,Autumn,October,10.25
70,33,Autumn,November,11.0
71,40,Winter,December,10.75
72,34,Winter,January,12.5
73,31,Winter,February,10.5
74,22,Spring,March,10.75
75,24,Spring,April,10.5
76,35,Spring,May,10.0
77,24,Summer,June,10.5
78,29,Summer,July,11.0
79,25,Summer,August,10.0
80,28,Autumn,September,10.0
81,34,Autumn,October,9.75
82,46,Autumn,November,9.0
83,40,Winter,December,7.75
84,32,Winter,January,9.5
85,34,Winter,February,9.5
86,35,Spring,March,10.0
87,37,Spring,April,9.25
88,36,Spring,May,9.5
89,27,Summer,June,9.5
90,26,Summer,July,9.25
91,31,Summer,August,8.0
92,39,Autumn,September,8.5
93,35,Autumn,October,8.25
94,45,Autumn,November,8.25
95,35,Winter,December,7.75
96,46,Winter,January,8.0
97,26,Winter,February,9.0
98,32,Spring,March,8.5
99,27,Spring,April,8.75
100,30,Spring,May,8.25
101,36,Summer,June,9.0
102,26,Summer,July,8.75
103,33,Summer,August,8.5
104,34,Autumn,September,7.5
105,39,Autumn,October,7.0
106,36,Autumn,November,7.5
107,39,Winter,December,8.5
