,Future_business_num,Role_cat,Status_num,Trust_num,Outcome_favorability_num,Procedural_fairness_num
0,6,Recruiter,66.66666667,64.28571429,38.0952381,57.14285714
1,6,Recruiter,71.2962963,57.14285714,47.61904762,80.95238095
2,6,Candidate,,,71.42857143,71.42857143
3,6,Candidate,67.59259259,45.23809524,57.14285714,71.42857143
4,7,Recruiter,32.40740741,52.38095238,71.42857143,85.71428571
5,7,Recruiter,58.7962963,52.38095238,71.42857143,80.95238095
6,7,Candidate,55.55555556,69.04761905,76.19047619,85.71428571
7,7,Candidate,60.18518519,71.42857143,66.66666667,80.95238095
8,4,Candidate,55.55555556,59.52380952,52.38095238,42.85714286
9,7,Candidate,57.40740741,64.28571429,47.61904762,76.19047619
10,6,Candidate,54.62962963,64.28571429,61.9047619,66.66666667
11,5,Recruiter,,50.0,19.04761905,42.85714286
12,7,Recruiter,71.2962963,50.0,85.71428571,85.71428571
13,4,Recruiter,,,28.57142857,52.38095238
14,5,Recruiter,56.48148148,,42.85714286,47.61904762
15,4,Candidate,45.37037037,30.95238095,66.66666667,47.61904762
16,6,Candidate,75.0,76.19047619,80.95238095,76.19047619
17,7,Candidate,75.0,57.14285714,61.9047619,85.71428571
18,7,Recruiter,66.66666667,14.28571429,71.42857143,85.71428571
19,3,Recruiter,50.0,21.42857143,14.28571429,33.33333333
20,6,Candidate,,59.52380952,80.95238095,66.66666667
21,7,Candidate,39.81481481,26.19047619,57.14285714,76.19047619
22,5,Candidate,56.48148148,42.85714286,42.85714286,71.42857143
23,6,Recruiter,71.2962963,71.42857143,52.38095238,66.66666667
24,7,Recruiter,49.07407407,30.95238095,76.19047619,85.71428571
25,7,Recruiter,64.81481481,57.14285714,42.85714286,
26,5,Candidate,61.11111111,38.0952381,52.38095238,57.14285714
27,5,Candidate,37.96296296,33.33333333,38.0952381,52.38095238
28,7,Recruiter,70.37037037,59.52380952,47.61904762,80.95238095
29,6,Recruiter,,,61.9047619,61.9047619
30,7,Candidate,59.25925926,21.42857143,61.9047619,76.19047619
31,2,Candidate,57.40740741,66.66666667,23.80952381,28.57142857
32,6,Candidate,55.55555556,57.14285714,57.14285714,61.9047619
33,6,Candidate,41.66666667,52.38095238,47.61904762,71.42857143
34,5,Recruiter,50.92592593,33.33333333,33.33333333,52.38095238
35,6,Recruiter,69.44444444,54.76190476,47.61904762,47.61904762
36,7,Recruiter,58.33333333,42.85714286,76.19047619,80.95238095
