,Peter_Travers_cat,Roger_Ebert_cat,Jeffrey_Lyons_cat,Michael_Medved_cat,Rex_Reed_cat,Gene_Shalit_cat,Joel_Siegel_cat,Gene_Siskel_cat
0,Mixed,,Pro,Mixed,Pro,,Pro,
1,,Pro,Con,Con,Con,,Pro,Mixed
2,Mixed,,Pro,Con,Con,,,
3,Mixed,Pro,Mixed,Mixed,Pro,Pro,,Pro
4,,Pro,,,,,,Pro
5,Mixed,Pro,Pro,,,,,Pro
6,Mixed,Pro,Pro,,Pro,,,
7,Con,,,,Pro,,,
8,Con,Mixed,Con,,Con,,,
9,Mixed,,Pro,Mixed,Mixed,,,Mixed
10,Mixed,Mixed,,Con,,,,Pro
11,Pro,Pro,Pro,Con,Con,Mixed,Pro,Mixed
12,Con,Con,,,,,Con,Con
13,,Pro,Pro,Mixed,Pro,,Con,Con
14,Mixed,Mixed,Con,Pro,,,,
15,Mixed,Mixed,,,,,Pro,
16,,,Mixed,,Pro,,,
17,Pro,Pro,Mixed,Pro,Pro,,,
18,Mixed,Pro,,,,,,Mixed
19,Pro,,Pro,,,,,
20,Con,Con,Con,Pro,,,Mixed,Con
21,Mixed,,Mixed,,,,,
22,Mixed,Con,,,,,,Con
23,,Pro,Pro,Pro,,,Mixed,Con
24,Con,,Con,,,,,
25,Pro,,Pro,,Con,,Pro,
26,Mixed,Pro,Mixed,Pro,Con,,,
27,Pro,,Mixed,,Pro,,,
28,Mixed,,,,,,Con,
29,,Mixed,Con,Con,Pro,,,
30,Con,Mixed,Mixed,,Con,Con,Con,Con
31,Pro,,,Pro,Pro,,Pro,
32,Con,,Con,,,,Con,
33,Mixed,,Pro,Con,Con,,Pro,
34,Con,Mixed,Mixed,,Con,,Pro,
35,Con,Pro,Mixed,,Con,,Con,Mixed
36,Con,,Con,,,,,
37,Pro,,,,,Pro,,
38,Mixed,,Con,,,,,
39,Con,,Con,,Con,,,
40,Pro,,,,,,,
41,,,,,Pro,,Pro,
42,Con,,Mixed,,Con,,,
43,Pro,Mixed,Mixed,Mixed,Mixed,Mixed,,Mixed
44,Con,,Con,,Con,,Pro,
45,Pro,Con,,,Pro,,,Mixed
46,Mixed,Pro,,,,,,
47,Con,,,Con,Con,,,
48,Mixed,,,Con,,,,
49,Mixed,,Con,,Pro,Pro,Con,
50,Mixed,Pro,Mixed,Con,Con,Pro,Pro,
51,Pro,,Pro,,Pro,,,
52,Mixed,,Pro,,,,,
53,Con,Mixed,,Con,,,,Mixed
54,Con,Mixed,Con,Con,,,,Mixed
55,Pro,,Pro,Con,,,,
56,Pro,Mixed,Mixed,Con,Mixed,Pro,,Mixed
57,Mixed,Con,Con,,,,Con,Mixed
58,Mixed,Pro,Pro,,,,,
59,Pro,Pro,,Pro,Con,,Pro,Pro
60,Pro,Pro,Pro,,Pro,Pro,Pro,Pro
61,Con,Pro,Pro,,Pro,,Pro,Con
62,Pro,,Pro,Mixed,Pro,Pro,Pro,
63,Pro,,Con,,Con,,Con,Mixed
64,Mixed,,,Pro,Pro,,,
65,Con,Pro,Con,Mixed,Con,,Con,Con
66,Con,,Con,,Con,,,
67,Con,Mixed,Pro,Pro,,Con,Con,Mixed
68,Con,Mixed,,Mixed,,,Mixed,Mixed
69,Con,Con,,,,,,
70,,Pro,Pro,,Pro,,Pro,Pro
71,Mixed,Mixed,Mixed,,Con,,Con,Con
72,Con,Con,,Con,Mixed,,,Con
73,,Pro,,Pro,Pro,,Pro,Pro
74,Con,Mixed,Con,,,,Con,Pro
75,Mixed,Con,Pro,,,Mixed,Pro,Pro
76,Pro,Pro,Pro,,Pro,Pro,Pro,Pro
77,,Pro,,,,,,Con
78,Con,Con,Mixed,Con,,,Pro,Con
79,Con,Pro,Pro,Mixed,Mixed,Pro,Con,
80,,,,Con,,,,
81,Mixed,,Pro,Pro,Con,,,
82,,,Con,Con,,,,
83,Con,Con,,,,,,Pro
84,Pro,,Mixed,,,,,
85,Pro,Pro,Pro,Pro,,,Pro,Pro
86,Mixed,Pro,Con,,Con,Pro,Pro,Pro
87,Mixed,Pro,Pro,Con,,,Con,Mixed
88,Pro,Pro,,Pro,Con,,Pro,Mixed
89,Mixed,,Pro,Mixed,Pro,Con,Pro,
90,Mixed,Pro,,Mixed,,,Mixed,Pro
91,Con,,Pro,,Mixed,,Con,
92,Con,Con,Pro,Mixed,Mixed,,,
93,Con,Con,,,,,,Con
94,Con,Mixed,Mixed,,Con,,,
95,Pro,Pro,Pro,,Pro,Pro,Pro,
96,Mixed,Mixed,Mixed,Mixed,,,,Pro
97,Con,,Con,,Mixed,,Con,
98,Con,Con,Pro,Pro,,,,
99,Con,Pro,,Con,Con,,,
100,Mixed,Mixed,Pro,Pro,Mixed,,Con,Pro
101,Con,Mixed,Con,,,,Mixed,Con
102,Mixed,,Pro,Pro,Con,,,
103,Con,,,,,,,
104,Mixed,Pro,Pro,,,,,Pro
105,Pro,Pro,Pro,Mixed,Pro,,Pro,Pro
106,,,Pro,,,,,
107,Con,,Pro,Pro,Pro,,,
108,Con,,Con,,,,,
109,,Pro,Pro,,Pro,,,
