,Shoes_num,Male_cat,Married_cat,Runs.per.week_num,Age_num,Income_num,College_cat,Distance_cat,Treadmill_cat,Miles.per.week_num,Type.of.running_cat
0,4,1,0,6,29.5,57.5,1,1,0,42.5,1Marathon
1,4,1,1,5,43.5,57.5,1,0,0,37.5,5Other
2,2,1,0,5,29.5,42.5,1,0,0,22.5,5Other
3,4,0,1,6,36.5,57.5,1,1,0,37.5,2Half_marathon
4,5,1,1,6,36.5,,1,1,0,47.5,1Marathon
5,3,1,1,5,43.5,112.5,0,0,0,32.5,5Other
6,1,1,1,3,29.5,42.5,1,0,0,5.0,4Just_for_fun
7,1,0,0,6,22.5,30.0,1,0,0,5.0,5Other
8,8,1,0,6,29.5,112.5,1,1,0,47.5,1Marathon
9,3,0,0,4,29.5,30.0,1,0,0,12.5,5Other
10,2,0,0,6,22.5,,0,1,0,32.5,1Marathon
11,3,1,0,7,16.5,112.5,0,0,0,32.5,5Other
12,1,1,1,3,43.5,87.5,0,0,0,12.5,4Just_for_fun
13,4,1,0,6,16.5,112.5,0,0,0,42.5,5Other
14,3,0,0,6,22.5,42.5,1,1,0,32.5,1Marathon
15,4,1,1,6,36.5,42.5,1,0,0,27.5,5Other
16,3,1,1,5,36.5,57.5,1,0,0,27.5,5Other
17,1,1,0,5,16.5,,0,0,0,27.5,4Just_for_fun
18,2,1,1,4,43.5,42.5,0,0,0,37.5,5Other
19,2,1,0,3,22.5,20.0,0,0,0,12.5,5Other
20,2,1,0,4,16.5,,0,0,0,12.5,5Other
21,1,1,0,4,22.5,30.0,1,0,0,12.5,4Just_for_fun
22,2,0,1,3,36.5,,1,0,0,17.5,5Other
23,2,1,0,5,22.5,20.0,1,0,0,47.5,5Other
24,2,1,1,6,36.5,87.5,1,0,0,22.5,5Other
25,3,0,1,6,29.5,42.5,1,0,0,32.5,5Other
26,2,0,0,4,36.5,42.5,1,0,0,12.5,5Other
27,3,1,0,6,16.5,57.5,0,0,0,57.5,5Other
28,2,1,0,7,29.5,30.0,1,0,0,32.5,5Other
29,1,0,0,5,22.5,,0,0,0,27.5,5Other
30,1,1,1,6,29.5,,1,0,0,5.0,5Other
31,2,0,0,5,36.5,,1,0,0,22.5,5Other
32,5,1,1,6,53.5,57.5,1,0,0,27.5,5Other
33,2,1,0,4,29.5,42.5,1,0,0,27.5,5Other
34,3,1,0,7,16.5,,0,0,0,42.5,5Other
35,3,1,0,6,36.5,30.0,1,0,0,47.5,5Other
36,2,1,1,5,29.5,57.5,0,0,0,5.0,5Other
37,2,1,0,3,22.5,42.5,1,0,0,5.0,4Just_for_fun
38,1,1,1,5,29.5,30.0,1,0,0,22.5,5Other
39,2,1,0,5,29.5,42.5,1,1,0,32.5,1Marathon
40,4,1,1,7,43.5,42.5,0,0,0,32.5,5Other
41,1,1,1,4,48.5,57.5,1,0,1,5.0,3Treadmill
42,1,1,0,6,29.5,42.5,0,0,0,17.5,5Other
43,1,0,0,3,22.5,,1,0,1,5.0,3Treadmill
44,1,1,0,2,29.5,112.5,1,0,0,5.0,5Other
45,3,1,0,6,16.5,20.0,0,0,0,5.0,5Other
46,1,1,0,5,16.5,20.0,0,0,0,27.5,5Other
47,6,1,0,4,22.5,57.5,1,1,0,22.5,2Half_marathon
48,4,1,1,5,22.5,57.5,1,0,0,12.5,5Other
49,5,1,1,6,48.5,,1,0,0,27.5,5Other
50,1,1,1,3,29.5,,1,0,1,5.0,3Treadmill
51,1,0,1,2,22.5,87.5,1,0,1,5.0,3Treadmill
52,3,0,1,5,29.5,57.5,1,0,0,22.5,5Other
53,1,1,1,4,36.5,87.5,1,0,0,17.7,5Other
54,3,0,0,7,22.5,,0,0,0,47.5,5Other
55,2,0,0,4,29.5,,1,0,0,27.5,5Other
56,2,0,0,4,29.5,42.5,1,0,0,12.5,5Other
57,1,1,1,5,43.5,87.5,1,0,0,12.5,5Other
58,1,1,1,7,29.5,57.5,1,0,0,47.5,5Other
59,2,1,1,5,48.5,42.5,1,1,0,37.5,1Marathon
