,Total_num,Age_num,Disease_cat,Positive_num
0,407,1,Mumps,56
1,292,2,Mumps,48
2,332,3,Mumps,137
3,368,4,Mumps,195
4,421,5,Mumps,290
5,330,6,Mumps,255
6,294,7,Mumps,236
7,258,8,Mumps,211
8,312,9,Mumps,271
9,304,10,Mumps,276
10,282,11,Mumps,259
11,321,12,Mumps,301
12,313,13,Mumps,296
13,366,14,Mumps,345
14,116,15,Mumps,112
15,121,16,Mumps,112
16,148,17,Mumps,142
17,196,18,Mumps,186
18,211,19,Mumps,202
19,159,20,Mumps,156
20,160,21,Mumps,155
21,204,22,Mumps,200
22,170,23,Mumps,166
23,170,24,Mumps,165
24,180,25,Mumps,179
25,178,26,Mumps,171
26,179,27,Mumps,175
27,150,28,Mumps,147
28,147,29,Mumps,137
29,120,30,Mumps,114
30,122,31,Mumps,117
31,104,32,Mumps,99
32,95,33,Mumps,95
33,82,34,Mumps,80
34,78,35,Mumps,77
35,67,36,Mumps,65
36,65,37,Mumps,63
37,72,38,Mumps,69
38,47,39,Mumps,46
39,62,40,Mumps,61
40,56,41,Mumps,55
41,43,42,Mumps,42
42,37,43,Mumps,37
43,40,44,Mumps,39
44,206,1,Rubella,31
45,146,2,Rubella,30
46,168,3,Rubella,34
47,189,4,Rubella,57
48,219,5,Rubella,95
49,195,6,Rubella,104
50,164,7,Rubella,90
51,145,8,Rubella,96
52,180,9,Rubella,134
53,160,10,Rubella,110
54,148,11,Rubella,111
55,178,12,Rubella,147
56,177,13,Rubella,138
57,165,14,Rubella,141
58,67,15,Rubella,53
59,58,16,Rubella,49
60,81,17,Rubella,73
61,79,18,Rubella,69
62,111,19,Rubella,97
63,76,20,Rubella,65
64,82,21,Rubella,74
65,101,22,Rubella,84
66,88,23,Rubella,82
67,85,24,Rubella,79
68,94,25,Rubella,90
69,91,26,Rubella,84
70,89,27,Rubella,81
71,76,28,Rubella,72
72,79,29,Rubella,71
73,56,30,Rubella,51
74,52,31,Rubella,45
75,48,32,Rubella,45
76,37,33,Rubella,35
77,41,34,Rubella,39
78,40,35,Rubella,36
79,38,36,Rubella,37
80,39,37,Rubella,37
81,41,38,Rubella,37
82,30,39,Rubella,28
83,27,40,Rubella,26
84,25,41,Rubella,25
85,22,42,Rubella,21
86,19,43,Rubella,18
87,18,44,Rubella,18
88,72,1,Parvovirus,9
89,71,2,Parvovirus,12
90,85,3,Parvovirus,12
91,104,4,Parvovirus,18
92,102,5,Parvovirus,23
93,91,6,Parvovirus,27
94,87,7,Parvovirus,28
95,79,8,Parvovirus,27
96,104,9,Parvovirus,44
97,81,10,Parvovirus,39
98,81,11,Parvovirus,34
99,97,12,Parvovirus,52
100,69,13,Parvovirus,32
101,88,14,Parvovirus,58
102,53,15,Parvovirus,27
103,64,16,Parvovirus,37
104,93,17,Parvovirus,53
105,100,18,Parvovirus,49
106,88,19,Parvovirus,51
107,103,20,Parvovirus,61
108,97,21,Parvovirus,51
109,110,22,Parvovirus,62
110,131,23,Parvovirus,69
111,124,24,Parvovirus,62
112,92,25,Parvovirus,57
113,82,26,Parvovirus,40
114,106,27,Parvovirus,47
115,69,28,Parvovirus,37
116,102,29,Parvovirus,63
117,67,30,Parvovirus,38
118,56,31,Parvovirus,23
119,61,32,Parvovirus,36
120,53,33,Parvovirus,33
121,56,34,Parvovirus,38
122,40,35,Parvovirus,21
123,46,36,Parvovirus,24
124,44,37,Parvovirus,28
125,27,38,Parvovirus,18
126,44,39,Parvovirus,25
127,29,40,Parvovirus,22
128,16,41,Parvovirus,9
129,16,42,Parvovirus,12
130,17,43,Parvovirus,14
131,23,44,Parvovirus,16
