,binaryClass_cat,Alcohol-related_cat,Gender_cat,Type_cat,Age_cat
0,N,No,Male,Passenger,0-2
1,P,Yes,Male,Passenger,0-2
2,N,No,Female,Passenger,0-2
3,P,Yes,Female,Passenger,0-2
4,P,No,Male,Pedestrian/bicyclist,0-2
5,P,Yes,Male,Pedestrian/bicyclist,0-2
6,P,No,Female,Pedestrian/bicyclist,0-2
7,P,Yes,Female,Pedestrian/bicyclist,0-2
8,N,No,Male,Passenger,3-5
9,P,Yes,Male,Passenger,3-5
10,N,No,Female,Passenger,3-5
11,P,Yes,Female,Passenger,3-5
12,N,No,Male,Pedestrian/bicyclist,3-5
13,P,Yes,Male,Pedestrian/bicyclist,3-5
14,N,No,Female,Pedestrian/bicyclist,3-5
15,P,Yes,Female,Pedestrian/bicyclist,3-5
16,N,No,Male,Passenger,6-8
17,P,Yes,Male,Passenger,6-8
18,N,No,Female,Passenger,6-8
19,P,Yes,Female,Passenger,6-8
20,N,No,Male,Pedestrian/bicyclist,6-8
21,P,Yes,Male,Pedestrian/bicyclist,6-8
22,N,No,Female,Pedestrian/bicyclist,6-8
23,P,Yes,Female,Pedestrian/bicyclist,6-8
24,N,No,Male,Passenger,9-11
25,P,Yes,Male,Passenger,9-11
26,N,No,Female,Passenger,9-11
27,P,Yes,Female,Passenger,9-11
28,N,No,Male,Pedestrian/bicyclist,9-11
29,P,Yes,Male,Pedestrian/bicyclist,9-11
30,P,No,Female,Pedestrian/bicyclist,9-11
31,P,Yes,Female,Pedestrian/bicyclist,9-11
32,N,No,Male,Passenger,12-13
33,P,Yes,Male,Passenger,12-13
34,N,No,Female,Passenger,12-13
35,P,Yes,Female,Passenger,12-13
36,N,No,Male,Pedestrian/bicyclist,12-13
37,P,Yes,Male,Pedestrian/bicyclist,12-13
38,P,No,Female,Pedestrian/bicyclist,12-13
39,P,Yes,Female,Pedestrian/bicyclist,12-13
40,N,No,Male,Passenger,14-15
41,N,Yes,Male,Passenger,14-15
42,N,No,Female,Passenger,14-15
43,N,Yes,Female,Passenger,14-15
44,N,No,Male,Pedestrian/bicyclist,14-15
45,P,Yes,Male,Pedestrian/bicyclist,14-15
46,P,No,Female,Pedestrian/bicyclist,14-15
47,P,Yes,Female,Pedestrian/bicyclist,14-15
