,Count_num,Alcohol-related_cat,Gender_cat,Type_cat,Age_cat
0,747,No,Male,Passenger,0-2
1,276,Yes,Male,Passenger,0-2
2,765,No,Female,Passenger,0-2
3,231,Yes,Female,Passenger,0-2
4,321,No,Male,Pedestrian/bicyclist,0-2
5,47,Yes,Male,Pedestrian/bicyclist,0-2
6,216,No,Female,Pedestrian/bicyclist,0-2
7,26,Yes,Female,Pedestrian/bicyclist,0-2
8,629,No,Male,Passenger,3-5
9,243,Yes,Male,Passenger,3-5
10,652,No,Female,Passenger,3-5
11,190,Yes,Female,Passenger,3-5
12,805,No,Male,Pedestrian/bicyclist,3-5
13,62,Yes,Male,Pedestrian/bicyclist,3-5
14,350,No,Female,Pedestrian/bicyclist,3-5
15,66,Yes,Female,Pedestrian/bicyclist,3-5
16,512,No,Male,Passenger,6-8
17,178,Yes,Male,Passenger,6-8
18,483,No,Female,Passenger,6-8
19,176,Yes,Female,Passenger,6-8
20,944,No,Male,Pedestrian/bicyclist,6-8
21,62,Yes,Male,Pedestrian/bicyclist,6-8
22,384,No,Female,Pedestrian/bicyclist,6-8
23,28,Yes,Female,Pedestrian/bicyclist,6-8
24,453,No,Male,Passenger,9-11
25,163,Yes,Male,Passenger,9-11
26,449,No,Female,Passenger,9-11
27,119,Yes,Female,Passenger,9-11
28,797,No,Male,Pedestrian/bicyclist,9-11
29,70,Yes,Male,Pedestrian/bicyclist,9-11
30,340,No,Female,Pedestrian/bicyclist,9-11
31,36,Yes,Female,Pedestrian/bicyclist,9-11
32,464,No,Male,Passenger,12-13
33,138,Yes,Male,Passenger,12-13
34,399,No,Female,Passenger,12-13
35,142,Yes,Female,Passenger,12-13
36,577,No,Male,Pedestrian/bicyclist,12-13
37,72,Yes,Male,Pedestrian/bicyclist,12-13
38,218,No,Female,Pedestrian/bicyclist,12-13
39,32,Yes,Female,Pedestrian/bicyclist,12-13
40,1112,No,Male,Passenger,14-15
41,369,Yes,Male,Passenger,14-15
42,986,No,Female,Passenger,14-15
43,389,Yes,Female,Passenger,14-15
44,541,No,Male,Pedestrian/bicyclist,14-15
45,121,Yes,Male,Pedestrian/bicyclist,14-15
46,220,No,Female,Pedestrian/bicyclist,14-15
47,59,Yes,Female,Pedestrian/bicyclist,14-15
