,binaryClass_cat,Grievances_num,Rotate_cat,Union_cat,Workforce_num,Log_workforce_num
0,P,5.0,1,1,174.0,5.15906
1,P,18.0,1,1,208.0,5.33754
2,P,4.0,1,1,238.0,5.47227
3,P,5.0,1,1,297.0,5.69373
4,P,6.0,1,1,126.0,4.83628
5,P,8.0,1,1,161.0,5.0814
6,P,0.0,1,0,91.0,4.51086
7,P,0.0,1,0,147.0,4.99043
8,P,2.0,1,1,97.0,4.57471
9,P,2.0,1,1,77.0,4.34381
10,P,2.0,1,1,130.0,4.86753
11,P,2.0,1,1,140.0,4.94164
12,P,0.0,0,0,7.0,1.94591
13,P,0.0,0,0,6.0,1.79176
14,P,0.0,0,0,8.0,2.07944
15,P,0.0,0,0,9.0,2.19722
16,P,0.0,0,0,10.0,2.30259
17,P,0.0,0,0,10.0,2.30259
18,P,0.0,0,0,11.0,2.3979
19,P,0.0,0,0,10.0,2.30259
20,P,0.0,0,0,18.0,2.89037
21,P,0.0,0,0,21.0,3.04452
22,P,0.0,0,0,36.0,3.58352
23,P,0.0,0,0,67.0,4.20469
24,P,0.0,0,0,50.0,3.91202
25,P,0.0,0,0,75.0,4.31749
26,P,0.0,0,0,115.0,4.74493
27,P,0.0,0,0,48.0,3.8712
28,P,0.0,0,0,51.0,3.93183
29,P,0.0,0,0,53.0,3.97029
30,P,0.0,0,0,61.0,4.11087
31,P,0.0,0,0,69.0,4.23411
32,P,0.0,0,0,16.0,2.77259
33,P,0.0,0,0,16.0,2.77259
34,P,0.0,0,0,16.0,2.77259
35,P,0.0,0,0,16.0,2.77259
36,P,0.0,0,0,16.0,2.77259
37,P,0.0,0,0,16.0,2.77259
38,P,0.0,0,0,59.0,4.07754
39,P,0.0,0,0,63.0,4.14313
40,P,0.0,0,0,56.0,4.02535
41,P,9.0,0,1,372.0,5.91889
42,P,9.0,1,1,400.0,5.99146
43,P,0.0,1,0,64.0,4.15888
44,P,0.0,1,0,63.0,4.14313
45,P,0.0,1,0,41.0,3.71357
46,P,0.0,1,0,44.0,3.78419
47,P,0.0,1,0,44.0,3.78419
48,P,0.0,1,0,36.0,3.58352
49,P,0.0,1,0,47.0,3.85015
50,P,0.0,1,0,54.0,3.98898
51,P,45.0,1,1,406.0,6.00635
52,P,7.0,1,1,432.0,6.06843
53,P,12.0,1,1,209.0,5.34233
54,P,12.0,1,1,257.0,5.54908
55,P,15.0,1,1,266.0,5.5835
56,P,3.0,1,1,117.0,4.76217
57,P,0.0,1,0,143.0,4.96284
58,P,0.0,1,0,155.0,5.04343
59,P,0.0,1,0,212.0,5.35659
60,P,0.0,1,0,212.0,5.35659
61,P,26.0,0,1,415.0,6.02828
62,P,1.0,1,1,77.0,4.34381
63,P,6.0,0,1,78.0,4.35671
64,P,1.0,0,1,46.0,3.82864
65,P,2.0,0,1,37.0,3.61092
66,P,139.0,1,1,920.0,6.82437
67,P,8.0,0,1,468.0,6.14847
68,P,11.0,0,1,462.0,6.13556
69,P,27.0,0,1,479.0,6.1717
70,P,0.0,0,0,18.0,2.89037
71,P,13.0,0,1,45.0,3.80666
72,P,1.0,0,1,49.0,3.89182
73,P,0.0,0,1,49.0,3.89182
74,P,0.0,0,1,49.0,3.89182
75,P,0.0,0,1,34.0,3.52636
76,P,0.0,0,1,34.0,3.52636
77,P,12.0,1,1,168.0,5.12396
78,P,10.0,1,1,265.0,5.57973
79,P,0.0,1,0,156.0,5.04986
80,P,0.0,1,0,199.0,5.2933
81,P,0.0,1,0,346.0,5.84644
82,P,0.0,1,0,434.0,6.07304
83,P,0.0,0,0,25.0,3.21888
84,P,0.0,0,0,25.0,3.21888
85,P,0.0,0,0,69.0,4.23411
86,P,43.0,1,1,658.0,6.4892
87,P,6.0,1,1,407.0,6.00881
88,P,6.0,1,1,272.0,5.6058
89,P,30.0,1,1,268.0,5.59099
90,P,19.0,1,1,277.0,5.62402
91,P,4.0,1,1,178.0,5.18178
92,P,0.0,1,0,212.0,5.35659
93,P,0.0,1,0,212.0,5.35659
94,P,0.0,1,0,198.0,5.28827
95,P,0.0,1,0,189.0,5.24175
96,P,0.0,1,0,192.0,5.2575
97,P,14.0,1,1,246.0,5.50533
98,P,1.0,1,1,69.0,4.23411
99,P,84.0,1,1,520.0,6.25383
100,P,3.0,1,1,49.0,3.89182
101,P,25.0,0,1,536.0,6.28413
102,P,0.0,1,0,456.0,6.12249
103,P,41.0,0,1,401.0,5.99396
104,P,69.0,0,1,397.0,5.98394
105,P,6.0,1,1,414.0,6.02587
106,P,6.0,1,1,459.0,6.12905
107,P,22.0,1,1,472.0,6.15698
108,P,8.0,1,1,365.0,5.8999
