,events_num,group_cat,conc_num,age_num,at.risk_num
0,7,1,0,22.5,2595529
1,19,1,0,27.5,1846189
2,17,1,0,32.5,1402764
3,41,1,0,37.5,1215899
4,75,1,0,42.5,1191615
5,112,1,0,47.5,1111810
6,160,1,0,52.5,957985
7,200,1,0,57.5,774836
8,258,1,0,62.5,634758
9,230,1,0,67.5,492203
10,190,1,0,72.5,342767
11,108,1,0,77.5,199630
12,45,1,0,82.5,96293
13,0,2,10,22.5,934
14,0,2,10,27.5,489
15,0,2,10,32.5,276
16,0,2,10,37.5,317
17,0,2,10,42.5,374
18,0,2,10,47.5,435
19,0,2,10,52.5,342
20,0,2,10,57.5,277
21,2,2,10,62.5,203
22,3,2,10,67.5,175
23,0,2,10,72.5,105
24,0,2,10,77.5,78
25,0,2,10,82.5,38
26,0,3,11,22.5,666
27,0,3,11,27.5,267
28,0,3,11,32.5,310
29,0,3,11,37.5,221
30,1,3,11,42.5,311
31,0,3,11,47.5,292
32,0,3,11,52.5,295
33,0,3,11,57.5,265
34,0,3,11,62.5,203
35,0,3,11,67.5,143
36,0,3,11,72.5,93
37,0,3,11,77.5,69
38,0,3,11,82.5,59
39,1,4,30,22.5,1003
40,0,4,30,27.5,591
41,0,4,30,32.5,481
42,0,4,30,37.5,405
43,1,4,30,42.5,462
44,0,4,30,47.5,397
45,1,4,30,52.5,392
46,1,4,30,57.5,353
47,0,4,30,62.5,317
48,1,4,30,67.5,199
49,0,4,30,72.5,115
50,0,4,30,77.5,71
51,0,4,30,82.5,75
52,0,5,32,22.5,1545
53,0,5,32,27.5,865
54,0,5,32,32.5,673
55,0,5,32,37.5,709
56,0,5,32,42.5,744
57,0,5,32,47.5,644
58,2,5,32,52.5,563
59,0,5,32,57.5,439
60,0,5,32,62.5,318
61,0,5,32,67.5,238
62,0,5,32,72.5,167
63,0,5,32,77.5,92
64,0,5,32,82.5,36
65,0,6,32,22.5,469
66,0,6,32,27.5,260
67,0,6,32,32.5,198
68,0,6,32,37.5,199
69,0,6,32,42.5,183
70,0,6,32,47.5,227
71,0,6,32,52.5,162
72,0,6,32,57.5,219
73,0,6,32,62.5,194
74,0,6,32,67.5,126
75,0,6,32,72.5,77
76,1,6,32,77.5,35
77,0,6,32,82.5,43
78,0,7,42,22.5,2063
79,0,7,42,27.5,1267
80,0,7,42,32.5,1101
81,0,7,42,37.5,1038
82,0,7,42,42.5,984
83,0,7,42,47.5,932
84,0,7,42,52.5,738
85,0,7,42,57.5,567
86,0,7,42,62.5,497
87,0,7,42,67.5,427
88,0,7,42,72.5,321
89,0,7,42,77.5,178
90,0,7,42,82.5,114
91,0,8,45,22.5,1432
92,0,8,45,27.5,830
93,0,8,45,32.5,553
94,0,8,45,37.5,520
95,0,8,45,42.5,650
96,0,8,45,47.5,710
97,0,8,45,52.5,662
98,0,8,45,57.5,456
99,0,8,45,62.5,320
100,0,8,45,67.5,232
101,0,8,45,72.5,213
102,0,8,45,77.5,129
103,0,8,45,82.5,113
104,0,9,50,22.5,1100
105,0,9,50,27.5,603
106,0,9,50,32.5,436
107,0,9,50,37.5,525
108,0,9,50,42.5,624
109,0,9,50,47.5,636
110,0,9,50,52.5,466
111,0,9,50,57.5,366
112,0,9,50,62.5,370
113,0,9,50,67.5,309
114,0,9,50,72.5,214
115,0,9,50,77.5,111
116,0,9,50,82.5,128
117,0,10,56,22.5,1105
118,0,10,56,27.5,480
119,0,10,56,32.5,414
120,0,10,56,37.5,466
121,0,10,56,42.5,582
122,1,10,56,47.5,563
123,1,10,56,52.5,447
124,0,10,56,57.5,365
125,2,10,56,62.5,283
126,2,10,56,67.5,168
127,1,10,56,72.5,125
128,0,10,56,77.5,57
129,0,10,56,82.5,39
130,0,11,60,22.5,1893
131,0,11,60,27.5,1032
132,0,11,60,32.5,668
133,0,11,60,37.5,787
134,1,11,60,42.5,950
135,0,11,60,47.5,878
136,0,11,60,52.5,807
137,0,11,60,57.5,629
138,0,11,60,62.5,559
139,0,11,60,67.5,455
140,0,11,60,72.5,298
141,0,11,60,77.5,150
142,0,11,60,82.5,121
143,0,12,65,22.5,1199
144,0,12,65,27.5,587
145,0,12,65,32.5,451
146,0,12,65,37.5,491
147,1,12,65,42.5,521
148,0,12,65,47.5,553
149,0,12,65,52.5,537
150,0,12,65,57.5,487
