,binaryClass_cat,symboling_num,normalized-losses_num,make_cat,fuel-type_cat,aspiration_cat,num-of-doors_num,body-style_cat,drive-wheels_cat,engine-location_cat,wheel-base_num,length_num,width_num,height_num,curb-weight_num,engine-type_cat,num-of-cylinders_num,engine-size_num,fuel-system_cat,bore_num,stroke_num,compression-ratio_num,peak-rpm_num,city-mpg_num,highway-mpg_num,price_num
0,N,3.0,,alfa-romero,gas,std,2.0,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,4.0,130.0,mpfi,3.47,2.68,9.0,5000.0,21.0,27.0,13495.0
1,N,3.0,,alfa-romero,gas,std,2.0,convertible,rwd,front,88.6,168.8,64.1,48.8,2548.0,dohc,4.0,130.0,mpfi,3.47,2.68,9.0,5000.0,21.0,27.0,16500.0
2,N,1.0,,alfa-romero,gas,std,2.0,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823.0,ohcv,6.0,152.0,mpfi,2.68,3.47,9.0,5000.0,19.0,26.0,16500.0
3,P,2.0,164.0,audi,gas,std,4.0,sedan,fwd,front,99.8,176.6,66.2,54.3,2337.0,ohc,4.0,109.0,mpfi,3.19,3.4,10.0,5500.0,24.0,30.0,13950.0
4,N,2.0,164.0,audi,gas,std,4.0,sedan,4wd,front,99.4,176.6,66.4,54.3,2824.0,ohc,5.0,136.0,mpfi,3.19,3.4,8.0,5500.0,18.0,22.0,17450.0
5,N,2.0,,audi,gas,std,2.0,sedan,fwd,front,99.8,177.3,66.3,53.1,2507.0,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,5500.0,19.0,25.0,15250.0
6,N,1.0,158.0,audi,gas,std,4.0,sedan,fwd,front,105.8,192.7,71.4,55.7,2844.0,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,5500.0,19.0,25.0,17710.0
7,N,1.0,,audi,gas,std,4.0,wagon,fwd,front,105.8,192.7,71.4,55.7,2954.0,ohc,5.0,136.0,mpfi,3.19,3.4,8.5,5500.0,19.0,25.0,18920.0
8,N,1.0,158.0,audi,gas,turbo,4.0,sedan,fwd,front,105.8,192.7,71.4,55.9,3086.0,ohc,5.0,131.0,mpfi,3.13,3.4,8.3,5500.0,17.0,20.0,23875.0
9,N,0.0,,audi,gas,turbo,2.0,hatchback,4wd,front,99.5,178.2,67.9,52.0,3053.0,ohc,5.0,131.0,mpfi,3.13,3.4,7.0,5500.0,16.0,22.0,
10,P,2.0,192.0,bmw,gas,std,2.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,4.0,108.0,mpfi,3.5,2.8,8.8,5800.0,23.0,29.0,16430.0
11,P,0.0,192.0,bmw,gas,std,4.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2395.0,ohc,4.0,108.0,mpfi,3.5,2.8,8.8,5800.0,23.0,29.0,16925.0
12,N,0.0,188.0,bmw,gas,std,2.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2710.0,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,4250.0,21.0,28.0,20970.0
13,N,0.0,188.0,bmw,gas,std,4.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2765.0,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,4250.0,21.0,28.0,21105.0
14,N,1.0,,bmw,gas,std,4.0,sedan,rwd,front,103.5,189.0,66.9,55.7,3055.0,ohc,6.0,164.0,mpfi,3.31,3.19,9.0,4250.0,20.0,25.0,24565.0
