,assists_per_minute_num,height_num,time_played_num,age_num,points_per_minute_num
0,0.0888,201,36.02,28,0.5885
1,0.1399,198,39.32,30,0.8291
2,0.0747,198,38.8,26,0.4974
3,0.0983,191,40.71,30,0.5772
4,0.1276,196,38.4,28,0.5703
5,0.1671,201,34.1,31,0.5835
6,0.1906,193,36.2,30,0.5276
7,0.1061,191,36.75,27,0.5523
8,0.2446,185,38.43,29,0.4007
9,0.167,203,33.54,24,0.477
10,0.2485,188,35.01,27,0.4313
11,0.1227,198,36.67,29,0.4909
12,0.124,185,33.88,24,0.5668
13,0.1461,191,35.59,30,0.5113
14,0.2315,191,38.01,28,0.3788
15,0.0494,193,32.38,32,0.559
16,0.1107,196,35.22,25,0.4799
17,0.2521,183,31.73,29,0.5735
18,0.1007,193,28.81,34,0.6318
19,0.1067,196,35.6,23,0.4326
20,0.1956,188,35.28,32,0.428
21,0.1828,191,29.54,28,0.4401
22,0.1627,196,31.35,28,0.5581
23,0.1403,198,33.5,23,0.4866
24,0.1563,193,34.56,32,0.5267
25,0.2681,183,39.53,27,0.5439
26,0.1236,196,26.7,34,0.4419
27,0.13,188,30.77,26,0.3998
28,0.0896,198,25.67,30,0.4325
29,0.2071,178,36.22,30,0.4086
30,0.2244,185,36.55,23,0.4624
31,0.3437,185,34.91,31,0.4325
32,0.1058,191,28.35,28,0.4903
33,0.2326,185,33.53,27,0.4802
34,0.1577,193,31.07,25,0.4345
35,0.2327,185,36.52,32,0.4819
36,0.1256,196,27.87,29,0.6244
37,0.107,198,24.31,34,0.3991
38,0.1343,193,31.26,28,0.4414
39,0.0586,196,22.18,23,0.4013
40,0.2383,185,35.25,26,0.3801
41,0.1006,198,22.87,30,0.3498
42,0.2164,193,24.49,32,0.3185
43,0.1485,198,23.57,27,0.3097
44,0.227,191,31.72,27,0.4319
45,0.1649,188,27.9,25,0.3799
46,0.1188,191,22.74,24,0.4091
47,0.194,193,20.62,27,0.3588
48,0.2495,185,30.46,25,0.4727
49,0.2378,185,32.38,27,0.3212
50,0.1592,191,25.75,31,0.3418
51,0.2069,170,33.84,30,0.4285
52,0.2084,185,27.83,25,0.3917
53,0.0877,193,21.67,26,0.5769
54,0.101,193,21.79,24,0.4773
55,0.0942,201,20.17,26,0.4512
56,0.055,193,29.07,31,0.3096
57,0.1071,196,24.28,24,0.3089
58,0.0728,193,19.24,27,0.4573
59,0.2771,180,27.07,28,0.3214
60,0.0528,196,18.95,22,0.5437
61,0.213,188,21.59,30,0.4121
62,0.1356,193,13.27,31,0.2185
63,0.1043,196,16.3,23,0.3313
64,0.113,191,23.01,25,0.3302
65,0.1477,196,20.31,31,0.4677
66,0.1317,188,17.46,33,0.2406
67,0.2187,191,21.95,28,0.3007
68,0.2127,188,14.57,37,0.2471
69,0.2547,160,34.55,28,0.2894
70,0.1591,191,22.0,24,0.3682
71,0.0898,196,13.37,34,0.389
72,0.2146,188,20.51,24,0.512
73,0.1871,183,19.78,28,0.4449
74,0.1528,191,16.36,33,0.4035
75,0.156,191,16.03,23,0.2683
76,0.2348,188,24.27,26,0.2719
77,0.1623,180,18.49,28,0.3408
78,0.1239,180,17.76,26,0.4393
79,0.2178,185,13.31,25,0.3004
80,0.1608,185,17.41,26,0.3503
81,0.0805,193,13.67,25,0.4388
82,0.1776,193,17.46,27,0.2578
83,0.1668,185,14.38,35,0.2989
84,0.1072,188,12.12,31,0.4455
85,0.1821,185,12.63,25,0.3087
86,0.188,180,12.24,30,0.3678
87,0.1167,196,12.0,24,0.3667
88,0.2617,185,24.46,27,0.3189
89,0.1994,188,20.06,27,0.4187
90,0.1706,170,17.0,25,0.5059
91,0.1554,183,11.58,24,0.3195
92,0.2282,185,10.08,24,0.2381
93,0.1778,185,18.56,23,0.2802
94,0.1863,185,11.81,23,0.381
95,0.1014,193,13.81,32,0.1593
