,binaryClass_cat,OBS._num,TOWN_cat,TOWN_ID_num,TRACT_num,LON_num,LAT_num,MEDV_num,CMEDV_num,CRIM_num,ZN_num,INDUS_num,CHAS_cat,NOX_num,RM_num,AGE_num,DIS_num,RAD_cat,TAX_num,PTRATIO_num,B_num
0,P,1.0,Nahant,0.0,2011.0,-70.955,42.255,24.0,24.0,0.00632,18.0,2.31,0,0.538,6.575,65.2,4.09,1,296.0,15.3,396.9
1,P,2.0,Swampscott,1.0,2021.0,-70.95,42.2875,21.6,21.6,0.02731,0.0,7.07,0,0.469,6.421,78.9,4.9671,2,242.0,17.8,396.9
2,P,3.0,Swampscott,1.0,2022.0,-70.936,42.283,34.7,34.7,0.02729,0.0,7.07,0,0.469,7.185,61.1,4.9671,2,242.0,17.8,392.83
3,P,4.0,Marblehead,2.0,2031.0,-70.928,42.293,33.4,33.4,0.03237,0.0,2.18,0,0.458,6.998,45.8,6.0622,3,222.0,18.7,394.63
4,P,5.0,Marblehead,2.0,2032.0,-70.922,42.298,36.2,36.2,0.06905,0.0,2.18,0,0.458,7.147,54.2,6.0622,3,222.0,18.7,396.9
5,P,6.0,Marblehead,2.0,2033.0,-70.9165,42.304,28.7,28.7,0.02985,0.0,2.18,0,0.458,6.43,58.7,6.0622,3,222.0,18.7,394.12
6,P,7.0,Salem,3.0,2041.0,-70.936,42.297,22.9,22.9,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311.0,15.2,395.6
7,N,8.0,Salem,3.0,2042.0,-70.9375,42.31,27.1,22.1,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311.0,15.2,396.9
8,N,9.0,Salem,3.0,2043.0,-70.933,42.312,16.5,16.5,0.21124,12.5,7.87,0,0.524,5.631,100.0,6.0821,5,311.0,15.2,386.63
9,N,10.0,Salem,3.0,2044.0,-70.929,42.316,18.9,18.9,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311.0,15.2,386.71
10,N,11.0,Salem,3.0,2045.0,-70.935,42.316,15.0,15.0,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311.0,15.2,392.52
11,N,12.0,Salem,3.0,2046.0,-70.944,42.317,18.9,18.9,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311.0,15.2,396.9
12,N,13.0,Salem,3.0,2047.0,-70.951,42.306,21.7,21.7,0.09378,12.5,7.87,0,0.524,5.889,39.0,5.4509,5,311.0,15.2,390.5
13,P,14.0,Lynn,4.0,2051.0,-70.9645,42.292,20.4,20.4,0.62976,0.0,8.14,0,0.538,5.949,61.8,4.7075,4,307.0,21.0,396.9
14,P,15.0,Lynn,4.0,2052.0,-70.972,42.287,18.2,18.2,0.63796,0.0,8.14,0,0.538,6.096,84.5,4.4619,4,307.0,21.0,380.02
15,P,16.0,Lynn,4.0,2053.0,-70.9765,42.294,19.9,19.9,0.62739,0.0,8.14,0,0.538,5.834,56.5,4.4986,4,307.0,21.0,395.62
16,P,17.0,Lynn,4.0,2054.0,-70.987,42.2985,23.1,23.1,1.05393,0.0,8.14,0,0.538,5.935,29.3,4.4986,4,307.0,21.0,386.85
17,N,18.0,Lynn,4.0,2055.0,-70.978,42.285,17.5,17.5,0.7842,0.0,8.14,0,0.538,5.99,81.7,4.2579,4,307.0,21.0,386.75
18,P,19.0,Lynn,4.0,2056.0,-70.9925,42.2825,20.2,20.2,0.80271,0.0,8.14,0,0.538,5.456,36.6,3.7965,4,307.0,21.0,288.99
19,P,20.0,Lynn,4.0,2057.0,-70.988,42.2776,18.2,18.2,0.7258,0.0,8.14,0,0.538,5.727,69.5,3.7965,4,307.0,21.0,390.95
20,N,21.0,Lynn,4.0,2058.0,-70.9835,42.277,13.6,13.6,1.25179,0.0,8.14,0,0.538,5.57,98.1,3.7979,4,307.0,21.0,376.57
21,N,22.0,Lynn,4.0,2059.0,-70.982,42.281,19.6,19.6,0.85204,0.0,8.14,0,0.538,5.965,89.2,4.0123,4,307.0,21.0,392.53
22,N,23.0,Lynn,4.0,2060.0,-70.9775,42.279,15.2,15.2,1.23247,0.0,8.14,0,0.538,6.142,91.7,3.9769,4,307.0,21.0,396.9
23,N,24.0,Lynn,4.0,2061.0,-70.973,42.279,14.5,14.5,0.98843,0.0,8.14,0,0.538,5.813,100.0,4.0952,4,307.0,21.0,394.54
24,N,25.0,Lynn,4.0,2062.0,-70.9693,42.2816,15.6,15.6,0.75026,0.0,8.14,0,0.538,5.924,94.1,4.3996,4,307.0,21.0,394.33
25,N,26.0,Lynn,4.0,2063.0,-70.964,42.284,13.9,13.9,0.84054,0.0,8.14,0,0.538,5.599,85.7,4.4546,4,307.0,21.0,303.42
26,N,27.0,Lynn,4.0,2064.0,-70.9597,42.287,16.6,16.6,0.67191,0.0,8.14,0,0.538,5.813,90.3,4.682,4,307.0,21.0,376.88
