,RIVER_cat,LOCATION_cat,ERECTED_num,PURPOSE_cat,LENGTH_num,LANES_num,CLEAR-G_cat,T-OR-D_cat,MATERIAL_cat,SPAN_cat,REL-L_cat,TYPE_cat
0,M,3,1818.0,HIGHWAY,,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
1,A,25,1819.0,HIGHWAY,1037.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
2,A,39,1829.0,AQUEDUCT,,1.0,N,THROUGH,WOOD,,S,WOOD
3,A,29,1837.0,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,SHORT,S,WOOD
4,M,23,1838.0,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
5,A,27,1840.0,HIGHWAY,990.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
6,A,28,1844.0,AQUEDUCT,1000.0,1.0,N,THROUGH,IRON,SHORT,S,SUSPEN
7,M,3,1846.0,HIGHWAY,1500.0,2.0,N,THROUGH,IRON,SHORT,S,SUSPEN
8,A,39,1848.0,AQUEDUCT,,1.0,N,DECK,WOOD,,S,WOOD
9,A,29,1851.0,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
10,A,39,1853.0,RR,,2.0,N,DECK,WOOD,,S,WOOD
11,M,6,1856.0,HIGHWAY,1200.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
12,A,33,1856.0,HIGHWAY,,2.0,N,THROUGH,WOOD,,S,WOOD
13,A,28,1857.0,RR,,2.0,N,THROUGH,WOOD,,S,WOOD
14,A,25,1859.0,HIGHWAY,1030.0,2.0,N,THROUGH,IRON,MEDIUM,S-F,SUSPEN
15,M,4,1863.0,RR,1000.0,2.0,N,THROUGH,IRON,MEDIUM,,SIMPLE-T
16,A,28,1864.0,RR,1200.0,2.0,N,THROUGH,IRON,SHORT,S,SIMPLE-T
17,A,29,1866.0,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
18,A,32,1870.0,HIGHWAY,1000.0,2.0,N,THROUGH,WOOD,MEDIUM,S,WOOD
19,M,16,1874.0,RR,,2.0,,THROUGH,IRON,,,SIMPLE-T
20,M,1,1876.0,HIGHWAY,1245.0,,,THROUGH,STEEL,LONG,F,SUSPEN
21,A,24,1876.0,HIGHWAY,1200.0,4.0,G,THROUGH,WOOD,SHORT,S,WOOD
22,O,45,1878.0,RR,,2.0,G,,STEEL,,,SIMPLE-T
23,M,10,1882.0,RR,,2.0,G,,STEEL,,,SIMPLE-T
24,A,39,1883.0,RR,,2.0,G,THROUGH,STEEL,,F,SIMPLE-T
25,M,12,1883.0,RR,1150.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
26,A,31,1884.0,RR,,2.0,G,THROUGH,STEEL,MEDIUM,F,SIMPLE-T
27,A,26,1884.0,HIGHWAY,1080.0,2.0,G,THROUGH,STEEL,MEDIUM,,SUSPEN
28,M,3,1884.0,HIGHWAY,1000.0,2.0,G,THROUGH,STEEL,MEDIUM,S,ARCH
29,A,30,1887.0,HIGHWAY,,2.0,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
30,M,8,1887.0,RR,1161.0,2.0,G,THROUGH,STEEL,MEDIUM,S,SIMPLE-T
31,O,41,1888.0,RR,4558.0,2.0,G,THROUGH,STEEL,LONG,F,SIMPLE-T
32,M,19,1889.0,HIGHWAY,1120.0,,G,THROUGH,IRON,MEDIUM,F,SIMPLE-T
