,origin_cat,mpg_num,cylinders_cat,displacement_num,horsepower_num,weight_num,acceleration_num,model.year_num
0,1,18.0,8,307.0,130.0,3504,12.0,70
1,1,15.0,8,350.0,165.0,3693,11.5,70
2,1,18.0,8,318.0,150.0,3436,11.0,70
3,1,16.0,8,304.0,150.0,3433,12.0,70
4,1,17.0,8,302.0,140.0,3449,10.5,70
5,1,15.0,8,429.0,198.0,4341,10.0,70
6,1,14.0,8,454.0,220.0,4354,9.0,70
7,1,14.0,8,440.0,215.0,4312,8.5,70
8,1,14.0,8,455.0,225.0,4425,10.0,70
9,1,15.0,8,390.0,190.0,3850,8.5,70
10,2,,4,133.0,115.0,3090,17.5,70
11,1,,8,350.0,165.0,4142,11.5,70
12,1,,8,351.0,153.0,4034,11.0,70
13,1,,8,383.0,175.0,4166,10.5,70
14,1,,8,360.0,175.0,3850,11.0,70
15,1,15.0,8,383.0,170.0,3563,10.0,70
16,1,14.0,8,340.0,160.0,3609,8.0,70
17,1,,8,302.0,140.0,3353,8.0,70
18,1,15.0,8,400.0,150.0,3761,9.5,70
19,1,14.0,8,455.0,225.0,3086,10.0,70
20,3,24.0,4,113.0,95.0,2372,15.0,70
21,1,22.0,6,198.0,95.0,2833,15.5,70
22,1,18.0,6,199.0,97.0,2774,15.5,70
23,1,21.0,6,200.0,85.0,2587,16.0,70
24,3,27.0,4,97.0,88.0,2130,14.5,70
25,2,26.0,4,97.0,46.0,1835,20.5,70
26,2,25.0,4,110.0,87.0,2672,17.5,70
27,2,24.0,4,107.0,90.0,2430,14.5,70
28,2,25.0,4,104.0,95.0,2375,17.5,70
29,2,26.0,4,121.0,113.0,2234,12.5,70
30,1,21.0,6,199.0,90.0,2648,15.0,70
31,1,10.0,8,360.0,215.0,4615,14.0,70
32,1,10.0,8,307.0,200.0,4376,15.0,70
33,1,11.0,8,318.0,210.0,4382,13.5,70
34,1,9.0,8,304.0,193.0,4732,18.5,70
35,3,27.0,4,97.0,88.0,2130,14.5,71
36,1,28.0,4,140.0,90.0,2264,15.5,71
37,3,25.0,4,113.0,95.0,2228,14.0,71
38,1,25.0,4,98.0,,2046,19.0,71
39,2,,4,97.0,48.0,1978,20.0,71
40,1,19.0,6,232.0,100.0,2634,13.0,71
41,1,16.0,6,225.0,105.0,3439,15.5,71
42,1,17.0,6,250.0,100.0,3329,15.5,71
43,1,19.0,6,250.0,88.0,3302,15.5,71
44,1,18.0,6,232.0,100.0,3288,15.5,71
45,1,14.0,8,350.0,165.0,4209,12.0,71
46,1,14.0,8,400.0,175.0,4464,11.5,71
47,1,14.0,8,351.0,153.0,4154,13.5,71
48,1,14.0,8,318.0,150.0,4096,13.0,71
49,1,12.0,8,383.0,180.0,4955,11.5,71
50,1,13.0,8,400.0,170.0,4746,12.0,71
51,1,13.0,8,400.0,175.0,5140,12.0,71
52,1,18.0,6,258.0,110.0,2962,13.5,71
53,1,22.0,4,140.0,72.0,2408,19.0,71
54,1,19.0,6,250.0,100.0,3282,15.0,71
55,1,18.0,6,250.0,88.0,3139,14.5,71
56,1,23.0,4,122.0,86.0,2220,14.0,71
57,2,28.0,4,116.0,90.0,2123,14.0,71
58,2,30.0,4,79.0,70.0,2074,19.5,71
59,2,30.0,4,88.0,76.0,2065,14.5,71
60,3,31.0,4,71.0,65.0,1773,19.0,71
61,3,35.0,4,72.0,69.0,1613,18.0,71
