,binaryClass_cat,col_2_num,col_3_num
0,P,28.0,41.0
1,P,6.0,4.0
2,P,21.0,51.0
3,P,164.0,178.0
4,P,0.0,59.0
5,P,12.0,12.0
6,N,252.0,263.0
7,N,52.0,62.0
8,N,699.0,527.0
9,P,73.0,55.0
10,P,54.0,50.0
11,P,41.0,11.0
12,P,88.0,122.0
13,N,10.0,5.0
14,N,209.0,324.0
15,P,41.0,52.0
16,N,161.0,244.0
17,P,49.0,40.0
18,P,6.0,25.0
19,N,698.0,448.0
20,P,30.0,39.0
21,P,69.0,83.0
22,P,23.0,17.0
23,P,123.0,106.0
24,P,5.0,11.0
25,P,15.0,16.0
26,P,10.0,9.0
27,P,23.0,10.0
28,N,300.0,177.0
29,N,142.0,722.0
30,N,476.0,417.0
31,P,51.0,95.0
32,N,17.0,10.0
33,P,0.0,2552.0
34,N,4942.0,1817.0
35,P,56.0,55.0
36,P,75.0,127.0
37,P,11.0,6.0
38,P,1.0,17.0
