,col_6_num,col_1_cat,col_2_cat,col_3_num,col_4_num,col_5_num
0,89.0,BUF__MIA,-1,0.0,0.0,1.0
1,89.0,CHI__CIN,0,0.0,1.0,1.0
2,89.0,CLE__PIT,1,0.0,0.0,1.0
3,89.0,MIN__HOU,1,0.0,1.0,1.0
4,89.0,DEN__KC,1,0.0,1.0,1.0
5,89.0,LAN__ATL,1,0.0,0.0,1.0
6,89.0,NYJ__NE,-1,0.0,1.0,1.0
7,89.0,PHX__DET,1,0.0,0.0,1.0
8,89.0,LAA__SD,1,0.0,1.0,1.0
9,89.0,PHA__SEA,1,0.0,1.0,1.0
10,89.0,WAS__NYG,-1,2.0,1.0,1.0
11,89.0,ATL__DAL,1,0.0,1.0,2.0
12,89.0,NYG__DET,-1,0.0,1.0,2.0
13,89.0,HOU__SD,1,0.0,0.0,2.0
14,89.0,LAN__IND,1,0.0,1.0,2.0
15,89.0,CHI__MIN,1,0.0,1.0,2.0
16,89.0,CLE__NYJ,1,0.0,1.0,2.0
17,89.0,WAS__PHA,-1,0.0,1.0,2.0
18,89.0,SEA__PHX,-1,0.0,1.0,2.0
19,89.0,CIN__PIT,1,0.0,1.0,2.0
20,89.0,BUF__DEN,-1,2.0,1.0,2.0
21,89.0,IND__ATL,-1,0.0,1.0,3.0
22,89.0,HOU__BUF,-1,0.0,1.0,3.0
23,89.0,CHI__DET,1,0.0,0.0,3.0
24,89.0,LAN__GB,-1,0.0,1.0,3.0
25,89.0,DEN__LAA,1,0.0,1.0,3.0
26,89.0,MIN__PIT,-1,0.0,0.0,3.0
27,89.0,MIA__NYJ,-1,0.0,1.0,3.0
28,89.0,NYG__PHX,1,0.0,1.0,3.0
29,89.0,PHA__SF,-1,0.0,1.0,3.0
30,89.0,WAS__DAL,1,0.0,0.0,3.0
31,89.0,CIN__CLE,1,2.0,1.0,3.0
32,89.0,CIN__KC,-1,0.0,0.0,4.0
33,89.0,CLE__DEN,-1,0.0,1.0,4.0
34,89.0,NYJ__IND,-1,0.0,1.0,4.0
35,89.0,HOU__MIA,1,0.0,1.0,4.0
36,89.0,BUF__NE,1,0.0,1.0,4.0
37,89.0,NYG__DAL,1,0.0,0.0,4.0
38,89.0,DET__PIT,-1,0.0,1.0,4.0
39,89.0,PHX__SD,-1,0.0,1.0,4.0
40,89.0,LAA__SEA,-1,0.0,1.0,4.0
41,89.0,MIN__TB,1,0.0,1.0,4.0
