,col_3_num,col_1_num,col_2_num
0,78,1,4.4
1,74,1,3.9
2,68,1,4.0
3,76,1,4.0
4,80,1,3.5
5,84,1,4.1
6,50,1,2.3
7,93,1,4.7
8,55,1,1.7
9,76,1,4.9
10,58,1,1.7
11,74,1,4.6
12,75,1,3.4
13,80,2,4.3
14,56,2,1.7
15,80,2,3.9
16,69,2,3.7
17,57,2,3.1
18,90,2,4.0
19,42,2,1.8
20,91,2,4.1
21,51,2,1.8
22,79,2,3.2
23,53,2,1.9
24,82,2,4.6
25,51,2,2.0
26,76,3,4.5
27,82,3,3.9
28,84,3,4.3
29,53,3,2.3
30,86,3,3.8
31,51,3,1.9
32,85,3,4.6
33,45,3,1.8
34,88,3,4.7
35,51,3,1.8
36,80,3,4.6
37,49,3,1.9
38,82,3,3.5
39,75,4,4.0
40,73,4,3.7
41,67,4,3.7
42,68,4,4.3
43,86,4,3.6
44,72,4,3.8
45,75,4,3.8
46,75,4,3.8
47,66,4,2.5
48,84,4,4.5
49,70,4,4.1
50,79,4,3.7
51,60,4,3.8
52,86,4,3.4
53,71,5,4.0
54,67,5,2.3
55,81,5,4.4
56,76,5,4.1
57,83,5,4.3
58,76,5,3.3
59,55,5,2.0
60,73,5,4.3
61,56,5,2.9
62,83,5,4.6
63,57,5,1.9
64,71,5,3.6
65,72,5,3.7
66,77,5,3.7
67,55,6,1.8
68,75,6,4.6
69,73,6,3.5
70,70,6,4.0
71,83,6,3.7
72,50,6,1.7
73,95,6,4.6
74,51,6,1.7
75,82,6,4.0
76,54,6,1.8
77,83,6,4.4
78,51,6,1.9
79,80,6,4.6
80,78,6,2.9
81,81,7,3.5
82,53,7,2.0
83,89,7,4.3
84,44,7,1.8
85,78,7,4.1
86,61,7,1.8
87,73,7,4.7
88,75,7,4.2
89,73,7,3.9
90,76,7,4.3
91,55,7,1.8
92,86,7,4.5
93,48,7,2.0
94,77,8,4.2
95,73,8,4.4
96,70,8,4.1
97,88,8,4.1
98,75,8,4.0
99,83,8,4.1
100,61,8,2.7
101,78,8,4.6
102,61,8,1.9
103,81,8,4.5
104,51,8,2.0
105,80,8,4.8
106,79,8,4.1
107,82,16,4.1
108,80,16,4.2
109,76,16,4.5
110,56,16,1.9
111,82,16,4.7
112,47,16,2.0
113,76,16,4.7
114,61,16,2.5
115,75,16,4.3
116,72,16,4.4
117,74,16,4.4
118,69,16,4.3
119,78,16,4.6
120,52,16,2.1
121,91,17,4.8
122,66,17,4.1
123,71,17,4.0
124,75,17,4.0
125,81,17,4.4
126,77,17,4.1
127,74,17,4.3
128,70,17,4.0
129,83,17,3.9
130,53,17,3.2
131,82,17,4.5
132,62,17,2.2
133,73,17,4.7
134,84,17,4.6
135,58,18,2.2
136,82,18,4.8
137,77,18,4.3
138,75,18,3.8
139,77,18,4.0
140,77,18,4.1
141,53,18,1.8
142,75,18,4.4
143,78,18,4.0
144,51,18,2.2
145,81,18,5.1
146,52,18,1.9
147,76,18,5.0
148,73,18,4.4
149,84,19,4.5
150,72,19,3.8
151,89,19,4.3
152,75,19,4.4
153,57,19,2.2
154,81,19,4.8
155,49,19,1.9
156,87,19,4.7
157,43,19,1.8
158,94,19,4.8
159,45,19,2.0
160,81,19,4.4
161,59,19,2.5
162,82,19,4.3
163,80,20,4.4
164,54,20,1.9
165,75,20,4.7
166,73,20,4.3
167,57,20,2.2
168,80,20,4.7
169,51,20,2.3
170,77,20,4.6
171,66,20,3.3
172,77,20,4.2
173,60,20,2.9
174,86,20,4.6
175,62,20,3.3
176,75,20,4.2
177,67,20,2.6
178,69,20,4.6
179,84,21,3.7
180,58,21,1.8
181,90,21,4.7
182,82,21,4.5
183,71,21,4.5
184,80,21,4.8
185,51,21,2.0
186,80,21,4.8
187,62,21,1.9
188,84,21,4.7
189,51,21,2.0
190,81,21,5.1
191,83,21,4.3
192,84,21,4.8
193,72,22,3.0
194,54,22,2.1
195,75,22,4.6
196,74,22,4.0
197,51,22,2.2
198,91,22,5.1
199,60,22,2.9
200,80,22,4.3
201,54,22,2.1
202,80,22,4.7
203,70,22,4.5
204,60,22,1.7
205,86,22,4.2
206,78,22,4.3
207,51,23,1.7
208,83,23,4.4
209,76,23,4.2
210,51,23,2.2
211,90,23,4.7
212,71,23,4.0
213,49,23,1.8
214,88,23,4.7
215,52,23,1.8
216,79,23,4.5
217,61,23,2.1
218,81,23,4.2
219,48,23,2.1
220,84,23,5.2
221,63,23,2.0
