,col_4_num,col_2_cat,col_3_num
0,1833,_East_South_Central,5
1,1801,_Pacific,9
2,1712,_Mountain,8
3,1673,_West_South_Central,6
4,1914,_Pacific,9
5,1807,_Mountain,8
6,2080,_North_East,1
7,2028,_South_Atlantic,3
8,2037,_South_Atlantic,3
9,1884,_South_Atlantic,3
10,1889,_Pacific,9
11,1234,_Mountain,8
12,1840,_East_North_Central,4
13,1738,_East_North_Central,4
14,1657,_West_North_Central,7
15,1727,_West_North_Central,7
16,1713,_East_South_Central,5
17,1960,_West_South_Central,6
18,1592,_North_East,1
19,1918,_South_Atlantic,3
20,2402,_North_East,1
21,1856,_East_North_Central,4
22,1969,_West_North_Central,7
23,1983,_West_North_Central,7
24,1440,_East_South_Central,5
25,1440,_Mountain,8
26,1754,_West_North_Central,7
27,1771,_Mountain,8
28,1735,_North_East,1
29,1887,_Middle_Atlantic,2
30,1582,_Mountain,8
31,2134,_Middle_Atlantic,2
32,1631,_South_Atlantic,3
33,2083,_West_North_Central,7
34,1859,_East_North_Central,4
35,1553,_West_South_Central,6
36,1573,_Pacific,9
37,2105,_Middle_Atlantic,2
38,1916,_North_East,1
39,1558,_South_Atlantic,3
40,1736,_West_North_Central,7
41,2009,_East_South_Central,5
42,1742,_West_South_Central,6
43,1722,_South_Atlantic,3
44,1454,_North_East,1
45,1434,_Mountain,8
46,1691,_Pacific,9
47,1762,_East_North_Central,4
48,1832,_South_Atlantic,3
49,1301,_Mountain,8
