,col_3_num,col_1_num,col_2_num
0,158.672,1983,1
1,317.345,1983,2
2,349.079,1983,3
3,357.013,1983,4
4,349.079,1983,5
5,349.079,1983,6
6,285.61,1983,7
7,285.61,1983,8
8,285.61,1983,9
9,285.61,1983,10
10,190.407,1983,11
11,222.141,1983,12
12,158.672,1983,13
13,222.141,1983,14
14,317.345,1983,15
15,412.548,1983,16
16,174.539,1983,17
17,333.212,1983,18
18,285.61,1983,19
19,190.407,1983,20
20,253.876,1983,21
21,476.017,1983,22
22,412.548,1983,23
23,444.282,1983,24
24,476.017,1983,25
25,460.15,1983,26
26,444.282,1983,27
27,444.282,1983,28
28,476.017,1983,29
29,507.751,1983,30
30,412.548,1983,31
31,380.813,1983,32
32,285.61,1983,33
33,364.946,1983,34
34,301.477,1983,35
35,380.813,1983,36
36,412.548,1983,37
37,428.415,1983,38
38,476.017,1983,39
39,491.884,1983,40
40,444.282,1983,41
41,444.282,1983,42
42,317.345,1983,43
43,412.548,1983,44
44,349.079,1983,45
45,269.743,1983,46
46,238.008,1983,47
47,190.407,1983,48
48,158.672,1983,49
49,126.938,1983,50
50,95.203,1983,51
51,63.469,1983,52
52,154.597,1984,1
53,154.597,1984,2
54,340.114,1984,3
55,309.195,1984,4
56,216.436,1984,5
57,401.953,1984,6
58,324.654,1984,7
59,309.195,1984,8
60,401.953,1984,9
61,371.033,1984,10
62,309.195,1984,11
63,278.275,1984,12
64,340.114,1984,13
65,216.436,1984,14
66,247.356,1984,15
67,324.654,1984,16
68,309.195,1984,17
69,355.574,1984,18
70,278.275,1984,19
71,340.114,1984,20
72,401.953,1984,21
73,463.792,1984,22
74,432.872,1984,23
75,525.631,1984,24
76,494.711,1984,25
77,432.872,1984,26
78,340.114,1984,27
79,494.711,1984,28
80,371.033,1984,29
81,355.574,1984,30
82,340.114,1984,31
83,401.953,1984,32
84,371.033,1984,33
85,371.033,1984,34
86,401.953,1984,35
87,278.275,1984,36
88,463.792,1984,37
89,371.033,1984,38
90,216.436,1984,39
91,216.436,1984,40
92,309.195,1984,41
93,154.597,1984,42
94,108.218,1984,43
95,154.597,1984,44
96,432.872,1984,45
97,401.953,1984,46
98,587.47,1984,47
99,355.574,1984,48
100,309.195,1984,49
101,185.517,1984,50
102,200.976,1984,51
103,154.597,1984,52
104,60.187,1985,1
105,150.468,1985,2
106,120.374,1985,3
107,150.468,1985,4
108,120.374,1985,5
109,90.281,1985,6
110,75.234,1985,7
111,60.187,1985,8
112,60.187,1985,9
113,60.187,1985,10
114,90.281,1985,11
115,75.234,1985,12
116,60.187,1985,13
117,90.281,1985,14
118,90.281,1985,15
119,90.281,1985,16
120,120.374,1985,17
121,150.468,1985,18
122,180.561,1985,19
123,240.748,1985,20
124,210.655,1985,21
125,331.029,1985,22
126,270.842,1985,23
127,300.935,1985,24
128,300.935,1985,25
129,331.029,1985,26
130,421.309,1985,27
131,451.403,1985,28
132,361.122,1985,29
133,300.935,1985,30
134,361.122,1985,31
135,391.216,1985,32
136,285.888,1985,33
137,240.748,1985,34
138,240.748,1985,35
139,270.842,1985,36
140,331.029,1985,37
141,391.216,1985,38
142,481.496,1985,39
143,541.683,1985,40
144,361.122,1985,41
145,451.403,1985,42
146,421.309,1985,43
147,601.87,1985,44
148,421.309,1985,45
149,210.655,1985,46
150,225.701,1985,47
151,120.374,1985,48
152,150.468,1985,49
153,90.281,1985,50
154,45.14,1985,51
155,15.047,1985,52
156,144.118,1986,1
157,288.237,1986,2
158,288.237,1986,3
159,304.25,1986,4
160,320.263,1986,5
161,224.184,1986,6
162,240.197,1986,7
163,224.184,1986,8
164,256.21,1986,9
165,224.184,1986,10
166,224.184,1986,11
167,160.132,1986,12
168,160.132,1986,13
169,128.105,1986,14
170,96.079,1986,15
171,128.105,1986,16
172,128.105,1986,17
173,128.105,1986,18
174,144.118,1986,19
175,112.092,1986,20
176,192.158,1986,21
177,160.132,1986,22
178,192.158,1986,23
179,192.158,1986,24
180,160.132,1986,25
181,224.184,1986,26
182,192.158,1986,27
183,160.132,1986,28
184,96.079,1986,29
185,160.132,1986,30
186,128.105,1986,31
187,144.118,1986,32
188,128.105,1986,33
189,128.105,1986,34
190,128.105,1986,35
191,128.105,1986,36
192,192.158,1986,37
193,192.158,1986,38
194,128.105,1986,39
195,96.079,1986,40
196,112.092,1986,41
197,256.21,1986,42
198,192.158,1986,43
199,144.118,1986,44
200,192.158,1986,45
201,144.118,1986,46
202,128.105,1986,47
203,96.079,1986,48
204,96.079,1986,49
205,64.053,1986,50
206,32.026,1986,51
207,16.013,1986,52
208,46.436,1987,1
209,123.829,1987,2
210,185.743,1987,3
211,216.7,1987,4
212,216.7,1987,5
213,309.572,1987,6
214,216.7,1987,7
215,216.7,1987,8
216,309.572,1987,9
217,216.7,1987,10
218,185.743,1987,11
219,216.7,1987,12
220,278.615,1987,13
221,278.615,1987,14
222,247.658,1987,15
223,371.486,1987,16
224,402.444,1987,17
225,464.358,1987,18
226,526.272,1987,19
227,619.144,1987,20
228,495.315,1987,21
229,526.272,1987,22
230,464.358,1987,23
231,371.486,1987,24
232,402.444,1987,25
233,402.444,1987,26
234,557.23,1987,27
235,619.144,1987,28
236,495.315,1987,29
237,495.315,1987,30
238,495.315,1987,31
239,495.315,1987,32
240,464.358,1987,33
241,340.529,1987,34
242,340.529,1987,35
243,340.529,1987,36
244,263.136,1987,37
245,309.572,1987,38
246,185.743,1987,39
247,309.572,1987,40
248,247.658,1987,41
249,247.658,1987,42
250,185.743,1987,43
251,247.658,1987,44
252,185.743,1987,45
253,185.743,1987,46
254,216.7,1987,47
255,92.872,1987,48
256,92.872,1987,49
257,61.914,1987,50
258,61.914,1987,51
259,61.914,1987,52
260,41.75,1988,1
261,111.332,1988,2
262,166.999,1988,3
263,139.166,1988,4
264,166.999,1988,5
265,139.166,1988,6
266,139.166,1988,7
267,166.999,1988,8
268,222.665,1988,9
269,139.166,1988,10
270,222.665,1988,11
271,194.832,1988,12
272,278.331,1988,13
273,250.498,1988,14
274,250.498,1988,15
275,250.498,1988,16
276,194.832,1988,17
277,194.832,1988,18
278,194.832,1988,19
279,194.832,1988,20
280,222.665,1988,21
