,surgery_cat,Age_cat,rectal_temperature_num,pulse_num,respiratory_rate_num,temperature_of_extremities_cat,peripheral_pulse_cat,mucous_membranes_cat,capillary_refill_time_cat,pain_cat,peristalsis_cat,abdominal_distension_cat,nasogastric_tube_cat,nasogastric_reflux_cat,nasogastric_reflux_PH_num,rectal_examination_-_feces_cat,abdomen_cat,packed_cell_volume_num,total_protein_num,abdominocentesis_appearance_cat,abdomcentesis_total_protein_num,outcome_cat,surgical_lesion_cat,site_of_lesion_cat,type_of_lesion_cat,subtype_of_lesion_cat,pathology_cp_data_cat
0,2,1,38.5,66.0,28.0,3,3,,2,5,4,4,,,,3,5,45.0,8.4,,,2,2,11300,0,0,2
1,1,1,39.2,88.0,20.0,,,4,1,3,4,2,,,,4,2,50.0,85.0,2,2.0,3,2,2208,0,0,2
2,2,1,38.3,40.0,24.0,1,1,3,1,3,3,1,,,,1,1,33.0,6.7,,,1,2,0,0,0,1
3,1,9,39.1,164.0,84.0,4,1,6,2,2,4,4,1,2,5.0,3,,48.0,7.2,3,5.3,2,1,2208,0,0,1
4,2,1,37.3,104.0,35.0,,,6,2,,,,,,,,,74.0,7.4,,,2,2,4300,0,0,2
5,2,1,,,,2,1,3,1,2,3,2,2,1,,3,3,,,,,1,2,0,0,0,2
6,1,1,37.9,48.0,16.0,1,1,1,1,3,3,3,1,1,,3,5,37.0,7.0,,,1,1,3124,0,0,2
7,1,1,,60.0,,3,,,1,,4,2,2,1,,3,4,44.0,8.3,,,2,1,2208,0,0,2
8,2,1,,80.0,36.0,3,4,3,1,4,4,4,2,1,,3,5,38.0,6.2,,,3,1,3205,0,0,2
9,2,9,38.3,90.0,,1,,1,1,5,3,1,2,1,,3,,40.0,6.2,1,2.2,1,2,0,0,0,1
10,1,1,38.1,66.0,12.0,3,3,5,1,3,3,1,2,1,3.0,2,5,44.0,6.0,2,3.6,1,1,2124,0,0,1
11,2,1,39.1,72.0,52.0,2,,2,1,2,1,2,1,1,,4,4,50.0,7.8,,,1,1,2111,0,0,2
12,1,1,37.2,42.0,12.0,2,1,1,1,3,3,3,3,1,,4,5,,7.0,,,1,2,4124,0,0,2
13,2,9,38.0,92.0,28.0,1,1,2,1,1,3,2,3,,7.2,1,1,37.0,6.1,1,,2,2,0,0,0,1
14,1,1,38.2,76.0,28.0,3,1,1,1,3,4,1,2,2,,4,4,46.0,81.0,1,2.0,1,1,2112,0,0,2
15,1,1,37.6,96.0,48.0,3,1,4,1,5,3,3,2,3,4.5,4,,45.0,6.8,,,2,1,3207,0,0,2
16,1,9,,128.0,36.0,3,3,4,2,4,4,3,3,,,4,5,53.0,7.8,3,4.7,2,2,1400,0,0,1
17,2,1,37.5,48.0,24.0,,,,,,,,,,,,,,,,,1,2,0,0,0,2
18,1,1,37.6,64.0,21.0,1,1,2,1,2,3,1,1,1,,2,5,40.0,7.0,1,,1,1,4205,0,0,1
19,2,1,39.4,110.0,35.0,4,3,6,,,3,3,,,,,,55.0,8.7,,,1,2,0,0,0,2
20,1,1,39.9,72.0,60.0,1,1,5,2,5,4,4,3,1,,4,4,46.0,6.1,2,,1,1,2111,0,0,2
21,2,1,38.4,48.0,16.0,1,,1,1,1,3,1,2,3,5.5,4,3,49.0,6.8,,,1,2,0,0,0,2
22,1,1,38.6,42.0,34.0,2,1,4,,2,3,1,,,,1,,48.0,7.2,,,1,1,3111,0,0,2
23,1,9,38.3,130.0,60.0,,3,,1,2,4,,,,,,,50.0,70.0,,,1,1,3111,0,0,2
