,binaryClass_cat,FICE_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
0,P,1061.0,AK,IIB,454.0,382.0,362.0,382.0,567.0,485.0,471.0,487.0,6.0,11.0,9.0,4.0
1,N,1063.0,AK,I,686.0,560.0,432.0,508.0,914.0,753.0,572.0,677.0,74.0,125.0,118.0,40.0
2,P,1065.0,AK,IIA,533.0,494.0,329.0,415.0,716.0,663.0,442.0,559.0,9.0,26.0,20.0,9.0
3,N,11462.0,AK,IIA,612.0,507.0,414.0,498.0,825.0,681.0,557.0,670.0,115.0,124.0,101.0,21.0
4,N,1002.0,AL,IIA,442.0,369.0,310.0,350.0,530.0,444.0,376.0,423.0,59.0,77.0,102.0,24.0
5,P,1004.0,AL,IIA,441.0,385.0,310.0,388.0,542.0,473.0,383.0,477.0,57.0,33.0,35.0,2.0
6,P,1008.0,AL,IIB,466.0,394.0,351.0,396.0,558.0,476.0,427.0,478.0,20.0,18.0,30.0,0.0
7,N,1009.0,AL,I,580.0,437.0,374.0,455.0,692.0,527.0,451.0,546.0,366.0,354.0,301.0,66.0
8,P,1012.0,AL,IIB,498.0,379.0,322.0,401.0,655.0,501.0,404.0,523.0,34.0,25.0,27.0,3.0
9,P,1016.0,AL,IIB,506.0,412.0,359.0,411.0,607.0,508.0,445.0,503.0,67.0,40.0,66.0,27.0
10,P,1019.0,AL,IIB,339.0,303.0,287.0,301.0,421.0,371.0,347.0,366.0,8.0,15.0,19.0,2.0
11,N,1020.0,AL,IIA,461.0,389.0,338.0,386.0,585.0,496.0,436.0,493.0,106.0,42.0,66.0,58.0
12,P,1024.0,AL,IIB,360.0,304.0,258.0,300.0,433.0,369.0,313.0,363.0,27.0,25.0,33.0,4.0
13,P,1029.0,AL,IIB,354.0,321.0,277.0,291.0,436.0,401.0,346.0,363.0,17.0,19.0,31.0,19.0
14,P,1033.0,AL,IIB,301.0,290.0,283.0,290.0,375.0,363.0,355.0,362.0,18.0,28.0,28.0,3.0
15,P,1036.0,AL,IIA,565.0,425.0,363.0,449.0,710.0,556.0,476.0,578.0,83.0,46.0,77.0,9.0
16,P,1041.0,AL,IIB,431.0,352.0,311.0,373.0,518.0,425.0,374.0,449.0,23.0,17.0,14.0,1.0
17,P,1044.0,AL,IIB,321.0,288.0,251.0,272.0,388.0,354.0,312.0,335.0,13.0,18.0,18.0,10.0
18,P,1047.0,AL,IIA,462.0,385.0,322.0,350.0,560.0,467.0,392.0,426.0,25.0,59.0,100.0,19.0
19,P,1050.0,AL,IIA,410.0,352.0,306.0,327.0,487.0,415.0,362.0,387.0,57.0,65.0,85.0,45.0
20,N,1051.0,AL,I,605.0,447.0,382.0,463.0,746.0,563.0,483.0,580.0,267.0,206.0,206.0,76.0
21,N,1052.0,AL,I,633.0,445.0,366.0,461.0,786.0,569.0,475.0,587.0,106.0,163.0,107.0,19.0
22,N,1055.0,AL,IIA,636.0,443.0,375.0,451.0,771.0,540.0,455.0,548.0,72.0,87.0,98.0,7.0
23,N,1057.0,AL,IIA,542.0,426.0,370.0,418.0,645.0,514.0,450.0,504.0,119.0,103.0,142.0,64.0
24,P,8310.0,AL,IIA,519.0,422.0,343.0,403.0,621.0,507.0,411.0,483.0,56.0,54.0,63.0,28.0
