,Number_of_faculty-all_ranks_num,State_cat,Type_cat,Average_salary-full_professors_num,Average_salary-associate_professors_num,Average_salary-assistant_professors_num,Average_salary-all_ranks_num,Average_compensation-full_professors_num,Average_compensation-associate_professors_num,Average_compensation-assistant_professors_num,Average_compensation-all_ranks_num,Number_of_full_professors_num,Number_of_associate_professors_num,Number_of_assistant_professors_num,Number_of_instructors_num
0,32,AK,IIB,454.0,382.0,362.0,382,567.0,485.0,471.0,487,6,11,9,4
1,404,AK,I,686.0,560.0,432.0,508,914.0,753.0,572.0,677,74,125,118,40
2,70,AK,IIA,533.0,494.0,329.0,415,716.0,663.0,442.0,559,9,26,20,9
3,392,AK,IIA,612.0,507.0,414.0,498,825.0,681.0,557.0,670,115,124,101,21
4,262,AL,IIA,442.0,369.0,310.0,350,530.0,444.0,376.0,423,59,77,102,24
5,127,AL,IIA,441.0,385.0,310.0,388,542.0,473.0,383.0,477,57,33,35,2
6,68,AL,IIB,466.0,394.0,351.0,396,558.0,476.0,427.0,478,20,18,30,0
7,1109,AL,I,580.0,437.0,374.0,455,692.0,527.0,451.0,546,366,354,301,66
8,89,AL,IIB,498.0,379.0,322.0,401,655.0,501.0,404.0,523,34,25,27,3
9,200,AL,IIB,506.0,412.0,359.0,411,607.0,508.0,445.0,503,67,40,66,27
10,44,AL,IIB,339.0,303.0,287.0,301,421.0,371.0,347.0,366,8,15,19,2
11,272,AL,IIA,461.0,389.0,338.0,386,585.0,496.0,436.0,493,106,42,66,58
12,89,AL,IIB,360.0,304.0,258.0,300,433.0,369.0,313.0,363,27,25,33,4
13,86,AL,IIB,354.0,321.0,277.0,291,436.0,401.0,346.0,363,17,19,31,19
14,77,AL,IIB,301.0,290.0,283.0,290,375.0,363.0,355.0,362,18,28,28,3
15,215,AL,IIA,565.0,425.0,363.0,449,710.0,556.0,476.0,578,83,46,77,9
16,55,AL,IIB,431.0,352.0,311.0,373,518.0,425.0,374.0,449,23,17,14,1
17,59,AL,IIB,321.0,288.0,251.0,272,388.0,354.0,312.0,335,13,18,18,10
18,204,AL,IIA,462.0,385.0,322.0,350,560.0,467.0,392.0,426,25,59,100,19
19,254,AL,IIA,410.0,352.0,306.0,327,487.0,415.0,362.0,387,57,65,85,45
20,762,AL,I,605.0,447.0,382.0,463,746.0,563.0,483.0,580,267,206,206,76
21,406,AL,I,633.0,445.0,366.0,461,786.0,569.0,475.0,587,106,163,107,19
22,282,AL,IIA,636.0,443.0,375.0,451,771.0,540.0,455.0,548,72,87,98,7
23,434,AL,IIA,542.0,426.0,370.0,418,645.0,514.0,450.0,504,119,103,142,64
24,201,AL,IIA,519.0,422.0,343.0,403,621.0,507.0,411.0,483,56,54,63,28
25,117,AR,IIB,453.0,363.0,330.0,349,561.0,448.0,402.0,428,23,24,48,22
26,192,AR,IIB,406.0,366.0,332.0,335,505.0,457.0,415.0,419,40,33,71,46
27,42,AR,IIB,499.0,,330.0,399,618.0,,402.0,488,14,5,21,2
28,180,AR,IIB,439.0,381.0,337.0,374,550.0,479.0,427.0,471,44,71,52,13
29,394,AR,IIA,520.0,433.0,342.0,398,646.0,541.0,431.0,498,103,87,141,63
30,340,AR,IIA,521.0,416.0,339.0,395,632.0,507.0,416.0,482,93,89,82,76
31,40,AR,IIB,309.0,280.0,274.0,285,428.0,383.0,376.0,391,14,9,15,2
32,155,AR,IIB,447.0,375.0,341.0,375,561.0,480.0,435.0,477,55,42,33,25
33,65,AR,IIB,485.0,399.0,362.0,421,664.0,534.0,453.0,562,24,26,14,1
34,58,AR,IIB,372.0,338.0,304.0,341,478.0,414.0,375.0,426,23,22,10,3
35,398,AR,IIA,536.0,416.0,372.0,415,651.0,506.0,450.0,504,128,117,72,63
36,97,AR,IIB,422.0,355.0,289.0,342,529.0,445.0,375.0,435,36,14,28,19
37,24,AR,IIB,,,264.0,266,,,327.0,331,4,4,12,4
38,115,AR,IIA,461.0,389.0,321.0,362,575.0,484.0,402.0,453,27,31,34,23
39,806,AR,I,563.0,436.0,379.0,452,686.0,531.0,461.0,550,314,198,225,54
40,179,AR,IIB,424.0,374.0,335.0,380,512.0,461.0,401.0,460,80,46,41,8
41,74,AZ,IIB,358.0,328.0,274.0,299,439.0,395.0,332.0,363,20,18,24,12
42,1383,AZ,I,603.0,449.0,399.0,489,723.0,549.0,489.0,593,576,445,251,7
43,608,AZ,I,511.0,422.0,359.0,412,619.0,518.0,446.0,507,173,192,175,33
44,1349,AZ,I,648.0,462.0,411.0,537,771.0,561.0,498.0,645,647,377,272,2
45,156,CA,IIA,430.0,375.0,318.0,368,573.0,494.0,428.0,488,43,62,32,12
46,126,CA,IIA,455.0,369.0,303.0,370,582.0,462.0,371.0,464,32,57,31,6
47,257,CA,I,970.0,733.0,576.0,866,1204.0,909.0,717.0,1075,173,40,44,0
48,92,CA,IIB,477.0,392.0,335.0,398,600.0,501.0,433.0,507,32,21,33,6
49,623,CA,IIA,605.0,493.0,387.0,544,760.0,637.0,506.0,690,393,120,105,5
50,383,CA,IIA,606.0,491.0,384.0,552,762.0,629.0,503.0,699,258,69,49,7
51,780,CA,IIA,600.0,474.0,401.0,542,751.0,610.0,521.0,685,491,171,112,6
52,268,CA,IIA,605.0,472.0,392.0,548,759.0,606.0,593.0,705,178,52,37,1
53,670,CA,IIA,607.0,496.0,394.0,571,763.0,635.0,514.0,721,507,102,60,1
54,610,CA,IIA,610.0,492.0,408.0,559,766.0,630.0,531.0,707,411,116,79,4
55,574,CA,IIA,604.0,482.0,395.0,558,758.0,631.0,518.0,707,413,86,73,2
56,649,CA,IIA,603.0,476.0,382.0,553,757.0,612.0,500.0,699,459,109,67,14
57,301,CA,IIA,593.0,468.0,387.0,543,746.0,603.0,507.0,688,213,38,50,0
58,909,CA,IIA,602.0,479.0,403.0,547,756.0,615.0,524.0,693,576,223,100,10
59,819,CA,IIA,598.0,486.0,404.0,528,750.0,623.0,526.0,669,431,222,158,8
60,233,CA,IIA,602.0,459.0,380.0,553,755.0,592.0,497.0,699,170,34,29,0
61,111,CA,IIA,578.0,470.0,420.0,491,763.0,627.0,573.0,656,38,37,36,0
62,67,CA,IIB,716.0,516.0,411.0,601,892.0,661.0,510.0,751,36,16,12,2
63,68,CA,IIB,771.0,579.0,454.0,638,961.0,739.0,588.0,805,34,14,20,0
64,54,CA,IIB,652.0,439.0,381.0,547,824.0,572.0,482.0,695,31,10,13,0
65,161,CA,IIB,730.0,525.0,417.0,566,909.0,658.0,530.0,708,60,52,40,7
66,54,CA,IIB,611.0,458.0,372.0,511,776.0,588.0,495.0,658,28,10,15,1
67,59,CA,IIB,524.0,421.0,374.0,448,630.0,503.0,443.0,535,25,16,15,3
68,51,CA,IIB,484.0,394.0,275.0,368,542.0,443.0,311.0,413,10,22,18,1
69,110,CA,IIA,482.0,392.0,326.0,401,602.0,478.0,396.0,494,41,28,41,0
70,70,CA,IIA,593.0,461.0,407.0,492,737.0,571.0,507.0,612,28,16,23,2
71,139,CA,IIB,624.0,469.0,388.0,490,806.0,593.0,482.0,621,49,42,33,15
72,54,CA,IIB,,,,361,,,,447,0,0,0,0
73,102,CA,IIB,362.0,333.0,315.0,336,441.0,398.0,376.0,403,40,17,41,4
74,94,CA,IIB,507.0,393.0,358.0,429,637.0,523.0,468.0,549,43,21,23,7
75,231,CA,IIA,715.0,561.0,511.0,637,930.0,737.0,645.0,829,130,72,22,7
76,135,CA,IIA,614.0,494.0,404.0,500,754.0,616.0,497.0,618,38,55,42,0
77,834,CA,I,952.0,658.0,519.0,824,1144.0,814.0,653.0,1000,533,139,145,0
78,1346,CA,I,764.0,513.0,433.0,650,939.0,631.0,533.0,799,834,229,209,0
79,1072,CA,I,683.0,478.0,404.0,561,840.0,588.0,496.0,689,535,190,234,0
80,673,CA,I,708.0,488.0,423.0,574,870.0,599.0,520.0,705,319,161,138,0
81,1499,CA,I,741.0,497.0,421.0,609,910.0,611.0,517.0,748,817,267,298,0
82,441,CA,I,670.0,461.0,390.0,514,824.0,567.0,479.0,632,183,80,140,0
83,734,CA,I,723.0,487.0,401.0,595,888.0,598.0,493.0,732,405,147,130,0
84,314,CA,I,624.0,449.0,380.0,520,767.0,552.0,467.0,639,154,83,74,0
85,694,CA,I,712.0,473.0,401.0,578,875.0,581.0,493.0,711,371,125,145,0
86,413,CA,I,677.0,464.0,391.0,537,832.0,570.0,481.0,660,186,93,92,0
87,109,CA,IIA,566.0,468.0,406.0,488,716.0,592.0,495.0,610,49,19,39,0
88,287,CA,IIA,617.0,486.0,405.0,514,811.0,644.0,538.0,680,129,59,80,19
89,324,CA,IIA,763.0,555.0,487.0,578,938.0,704.0,624.0,729,85,117,90,0
90,1165,CA,I,802.0,574.0,484.0,641,1016.0,751.0,636.0,825,485,354,286,27
91,377,CA,IIA,542.0,420.0,372.0,459,666.0,528.0,468.0,570,172,92,100,10
92,74,CA,IIB,489.0,408.0,339.0,415,616.0,524.0,429.0,526,30,19,22,3
93,108,CA,IIA,666.0,499.0,347.0,531,808.0,601.0,416.0,642,48,27,24,9
94,22,CA,IIA,,373.0,365.0,381,,472.0,454.0,478,5,11,6,0
95,709,CA,IIA,599.0,483.0,397.0,541,751.0,619.0,518.0,684,451,133,117,8
96,206,CA,IIA,597.0,482.0,377.0,499,752.0,619.0,495.0,637,95,48,50,13
97,265,CA,IIA,719.0,533.0,452.0,575,904.0,678.0,569.0,725,105,72,76,12
98,310,CA,IIA,722.0,558.0,414.0,589,911.0,724.0,543.0,754,130,90,83,3
99,98,CO,IIA,436.0,356.0,321.0,360,527.0,444.0,400.0,444,29,21,40,8
100,134,CO,IIB,613.0,488.0,398.0,525,776.0,621.0,509.0,665,63,38,26,1
101,467,CO,I,480.0,390.0,333.0,385,565.0,463.0,399.0,458,151,111,129,35
102,926,CO,I,598.0,447.0,403.0,517,714.0,534.0,481.0,617,483,255,188,0
103,165,CO,IIB,439.0,385.0,342.0,392,516.0,452.0,402.0,460,73,35,52,5
104,145,CO,IIB,429.0,353.0,297.0,340,508.0,427.0,363.0,410,49,31,37,7
105,370,CO,IIB,480.0,406.0,351.0,418,568.0,485.0,424.0,498,159,90,111,8
106,56,CO,IIB,489.0,434.0,349.0,424,626.0,531.0,428.0,527,16,26,12,2
107,170,CO,IIA,474.0,422.0,360.0,397,559.0,498.0,425.0,468,47,45,63,15
108,1081,CO,I,652.0,494.0,421.0,528,797.0,615.0,519.0,649,457,301,227,93
109,378,CO,I,623.0,479.0,430.0,509,756.0,588.0,525.0,620,142,106,101,6
110,103,CO,IIB,452.0,381.0,324.0,402,546.0,460.0,406.0,490,52,25,26,0
111,161,CO,IIA,522.0,422.0,385.0,451,642.0,524.0,480.0,558,62,56,40,3
112,368,CO,IIA,596.0,453.0,408.0,467,726.0,561.0,508.0,576,106,108,119,35
113,32,CO,IIB,,284.0,251.0,255,,356.0,318.0,323,3,8,13,8
114,24,CT,IIB,391.0,343.0,,340,444.0,400.0,,393,9,7,5,3
115,390,CT,IIA,666.0,534.0,397.0,518,856.0,700.0,536.0,680,118,119,137,16
116,140,CT,IIB,619.0,461.0,366.0,499,810.0,613.0,477.0,654,63,35,30,11
117,178,CT,IIA,658.0,516.0,477.0,575,883.0,711.0,652.0,778,90,36,50,2
118,192,CT,IIA,685.0,545.0,452.0,545,894.0,733.0,603.0,721,62,43,81,6
119,152,CT,IIA,524.0,450.0,401.0,471,656.0,576.0,513.0,596,72,44,30,1
120,207,CT,IIA,697.0,540.0,412.0,553,877.0,686.0,531.0,701,82,51,64,10
121,111,CT,IIB,546.0,444.0,374.0,435,686.0,566.0,478.0,553,19,55,30,7
122,417,CT,IIA,644.0,514.0,385.0,522,819.0,673.0,516.0,678,160,125,120,12
123,65,CT,IIA,548.0,451.0,360.0,430,654.0,544.0,432.0,517,8,34,22,1
124,146,CT,IIB,706.0,501.0,394.0,550,901.0,650.0,494.0,704,57,49,32,0
125,90,CT,IIA,505.0,437.0,360.0,434,644.0,551.0,463.0,553,32,29,26,1
126,329,CT,IIA,529.0,445.0,380.0,439,660.0,566.0,492.0,558,76,131,111,3
127,254,CT,IIA,734.0,504.0,423.0,597,936.0,641.0,539.0,761,128,57,66,0
128,127,CT,IIA,650.0,515.0,400.0,535,856.0,689.0,547.0,714,47,47,33,0
129,767,CT,I,928.0,522.0,444.0,708,1127.0,643.0,548.0,863,404,118,191,6
130,446,DC,I,746.0,520.0,417.0,555,897.0,641.0,505.0,673,165,119,125,37
131,374,DC,I,611.0,449.0,385.0,482,718.0,533.0,459.0,570,123,141,104,6
