,binaryClass_cat,vendor_cat,MYCT_num,MMIN_num,MMAX_num,CACH_num,CHMIN_num,CHMAX_num
0,N,adviser,125.0,256.0,6000.0,256.0,16.0,128.0
1,N,amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0
2,N,amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0
3,N,amdahl,29.0,8000.0,32000.0,32.0,8.0,32.0
4,N,amdahl,29.0,8000.0,16000.0,32.0,8.0,16.0
5,N,amdahl,26.0,8000.0,32000.0,64.0,8.0,32.0
6,N,amdahl,23.0,16000.0,32000.0,64.0,16.0,32.0
7,N,amdahl,23.0,16000.0,32000.0,64.0,16.0,32.0
8,N,amdahl,23.0,16000.0,64000.0,64.0,16.0,32.0
9,N,amdahl,23.0,32000.0,64000.0,128.0,32.0,64.0
10,P,apollo,400.0,1000.0,3000.0,0.0,1.0,2.0
11,P,apollo,400.0,512.0,3500.0,4.0,1.0,6.0
12,P,basf,60.0,2000.0,8000.0,65.0,1.0,8.0
13,N,basf,50.0,4000.0,16000.0,65.0,1.0,8.0
14,P,bti,350.0,64.0,64.0,0.0,1.0,4.0
15,P,bti,200.0,512.0,16000.0,0.0,4.0,32.0
16,P,burroughs,167.0,524.0,2000.0,8.0,4.0,15.0
17,P,burroughs,143.0,512.0,5000.0,0.0,7.0,32.0
18,P,burroughs,143.0,1000.0,2000.0,0.0,5.0,16.0
19,N,burroughs,110.0,5000.0,5000.0,142.0,8.0,64.0
20,P,burroughs,143.0,1500.0,6300.0,0.0,5.0,32.0
21,P,burroughs,143.0,3100.0,6200.0,0.0,5.0,20.0
22,P,burroughs,143.0,2300.0,6200.0,0.0,6.0,64.0
23,P,burroughs,110.0,3100.0,6200.0,0.0,6.0,64.0
24,P,c.r.d,320.0,128.0,6000.0,0.0,1.0,12.0
25,P,c.r.d,320.0,512.0,2000.0,4.0,1.0,3.0
26,P,c.r.d,320.0,256.0,6000.0,0.0,1.0,6.0
27,P,c.r.d,320.0,256.0,3000.0,4.0,1.0,3.0
28,P,c.r.d,320.0,512.0,5000.0,4.0,1.0,5.0
29,P,c.r.d,320.0,256.0,5000.0,4.0,1.0,6.0
30,N,cdc,25.0,1310.0,2620.0,131.0,12.0,24.0
31,N,cdc,25.0,1310.0,2620.0,131.0,12.0,24.0
32,P,cdc,50.0,2620.0,10480.0,30.0,12.0,24.0
33,P,cdc,50.0,2620.0,10480.0,30.0,12.0,24.0
34,N,cdc,56.0,5240.0,20970.0,30.0,12.0,24.0
35,N,cdc,64.0,5240.0,20970.0,30.0,12.0,24.0
36,P,cdc,50.0,500.0,2000.0,8.0,1.0,4.0
