,binaryClass_cat,RollRate_num,PitchRate_num,currPitch_num,currRoll_num,diffRollRate_num
0,P,0.002,0.0025,0.015,0.01,-4e-05
1,N,-0.0023,0.0003,0.022,-0.011,5e-05
2,P,0.0059,-0.0006,0.014,-0.005,0.00017
3,P,0.0046,0.0001,0.011,0.015,-9e-05
4,N,-0.0076,0.0012,0.01,0.001,-0.0001
5,N,-0.0073,0.0013,0.01,-0.013,6e-05
6,P,0.0054,0.0027,0.017,-0.022,0.00014
7,P,0.0061,0.0018,0.019,-0.008,-1e-05
8,N,-0.0038,0.0008,0.015,-0.014,1e-05
9,N,0.0041,0.0012,0.013,-0.011,5e-05
10,P,0.0058,0.0012,0.014,0.002,4e-05
11,P,0.0056,0.0013,0.014,0.01,-4e-05
12,N,-0.0067,0.0001,0.012,0.004,-0.00011
13,P,0.0042,0.0027,0.008,-0.007,9e-05
14,N,-0.0033,0.0004,0.013,-0.013,0.0
15,P,0.0044,0.0015,0.009,-0.001,1e-05
16,P,0.0044,0.0004,0.008,0.01,8e-05
17,N,-0.0047,-0.0004,0.016,0.008,-8e-05
18,P,0.0047,-0.0002,0.003,0.005,0.00014
19,P,0.0059,0.0017,0.005,0.013,4e-05
20,N,-0.0054,0.0007,0.017,0.015,-0.00011
21,N,-0.0061,0.0008,0.017,0.005,-2e-05
22,P,0.0043,-0.0004,0.007,-0.006,0.00013
23,N,-0.0051,0.0014,0.011,-0.014,-3e-05
24,P,0.0067,0.0002,0.01,0.0,4e-05
25,N,0.0048,0.0012,0.011,0.011,-0.00017
26,N,-0.0038,0.0008,0.011,0.015,-0.0002
27,N,-0.0067,0.0001,0.009,0.006,-0.00014
28,P,0.0053,0.0007,0.005,-0.002,4e-05
29,P,0.0031,0.0019,0.008,0.01,-0.00011
30,N,-0.0065,0.0022,0.014,0.005,-0.00017
31,N,-0.0068,-0.0008,0.011,-0.01,0.0001
32,P,0.0067,0.002,0.003,-0.004,8e-05
33,P,0.0044,0.0023,0.007,0.011,-0.00013
34,N,-0.0088,0.0016,0.014,-0.009,-0.0001
35,N,-0.0047,-0.0001,0.012,-0.028,0.00024
36,P,0.0057,-0.0001,0.007,-0.026,0.00022
37,P,0.0088,0.0001,0.004,-0.004,3e-05
38,P,0.0068,0.0013,0.006,0.013,-0.00014
39,N,-0.0074,0.0014,0.011,0.006,-0.0001
40,P,0.005,0.001,0.012,-0.022,0.00016
41,N,-0.0045,0.0005,0.011,-0.011,-5e-05
42,N,-0.0058,0.0016,0.009,-0.014,-5e-05
43,P,0.008,0.0011,0.01,-0.005,8e-05
44,P,0.0054,0.0014,0.012,0.015,-0.00014
45,N,-0.0036,0.0015,0.015,0.019,-0.00017
46,N,-0.0061,0.0014,0.017,0.002,-3e-05
47,N,-0.0035,-0.0005,0.017,-0.012,0.00012
48,P,0.0065,-0.0001,0.012,-0.003,0.00014
49,P,0.0023,0.0012,0.012,0.027,-0.00015
50,N,-0.0052,0.0009,0.013,0.023,-0.00029
51,N,-0.0038,-0.0008,0.007,-0.01,0.00012
52,P,0.0045,0.0019,0.0,-0.006,0.00011
53,N,-0.004,0.0015,0.009,-0.01,-1e-05
54,P,0.0051,0.0011,0.008,-0.007,0.00011
55,P,0.0022,0.0014,0.01,0.01,-0.0001
56,N,-0.0034,0.0016,0.013,0.008,-0.00013
57,P,0.0039,0.0002,0.008,0.01,1e-05
58,N,-0.0059,0.0008,0.011,0.006,-0.00016
59,N,-0.0053,0.0004,0.01,-0.01,7e-05
60,P,0.0059,0.0021,0.003,0.003,1e-05
61,N,-0.0078,0.002,0.01,0.002,-0.00022
62,P,0.0065,0.0002,0.004,-0.014,0.00018
63,P,0.0084,0.0023,0.004,0.002,4e-05
64,N,0.0042,0.0028,0.009,0.017,-0.00028
65,N,-0.0046,0.0026,0.018,0.015,-0.00016
66,N,-0.0022,0.002,0.001,-0.01,-2e-05
67,P,0.004,0.0013,0.004,-0.007,0.00011
68,N,-0.0031,0.0012,0.016,-0.01,0.0
69,P,0.0048,-0.0009,0.01,-0.007,0.00018
70,N,-0.0059,0.0008,0.009,-0.014,-3e-05
71,P,0.0045,0.0003,0.005,-0.024,0.00022
72,P,0.0077,0.0005,0.003,-0.007,4e-05
73,P,0.0056,0.0018,0.005,0.011,-0.00012
74,P,0.0055,0.0001,0.01,0.013,9e-05
75,P,-0.0003,0.0005,0.012,0.027,-0.00013
76,P,0.0033,0.0002,0.006,0.028,1e-05
77,N,-0.0051,0.0007,0.006,-0.01,7e-05
78,P,0.009,0.0012,0.004,0.004,0.00014
79,N,-0.0042,0.0028,0.018,0.024,-0.00019
80,P,0.0039,-0.0007,0.009,0.007,0.00013
81,N,-0.0051,0.0007,0.008,-0.01,7e-05
82,P,0.0055,0.0025,0.005,-0.002,3e-05
83,P,0.0002,0.0019,0.01,0.01,-0.00016
84,N,-0.0045,0.0021,0.013,0.005,-0.00018
85,P,0.004,0.0004,0.01,-0.008,0.00017
86,P,0.0039,0.0007,0.01,0.011,-4e-05
87,N,-0.0047,0.0009,0.011,0.008,-0.00011
88,N,-0.0007,0.0006,0.01,-0.01,0.0001
89,P,0.0031,-0.0005,0.006,-0.007,0.00014
90,N,-0.003,0.001,0.006,-0.012,0.0
91,P,0.0068,0.0006,0.004,0.004,7e-05
92,N,-0.0071,0.0004,0.012,0.001,-7e-05
93,N,-0.0052,0.0006,0.011,-0.013,0.00018
94,P,0.0065,0.0005,0.009,-0.008,0.00016
95,P,0.008,0.0029,0.011,0.005,3e-05
96,N,-0.0077,0.0,0.015,0.007,-8e-05
97,N,-0.0112,0.0004,0.02,-0.009,-0.00011
98,P,0.0065,0.0011,0.013,-0.006,0.0
99,P,0.0045,0.0004,0.012,0.01,-9e-05
100,N,-0.0048,0.0003,0.016,0.011,-0.00028
101,P,0.0043,-0.0005,0.013,-0.003,3e-05
102,N,-0.0037,0.0016,0.015,0.0,-0.00011
103,N,-0.0036,0.0016,0.016,-0.01,3e-05
104,P,0.0051,0.0018,0.01,-0.005,0.0001
105,P,0.0021,0.0033,0.019,0.01,-0.00014
106,N,-0.0054,-0.0003,0.017,0.005,-0.00023
107,N,-0.0012,0.0001,0.014,-0.01,0.0002
108,P,0.0047,-0.0009,0.01,-0.006,0.00027
109,P,0.0084,0.0014,0.011,0.018,3e-05
110,P,0.0071,-0.0002,0.013,0.033,-9e-05
111,P,0.0021,0.0,0.011,0.046,-0.0002
112,N,-0.0056,0.0004,0.011,0.041,-0.00026
113,P,-0.0009,0.0004,0.007,-0.009,0.00018
114,P,0.0045,0.0022,0.01,-0.004,0.0002
115,P,0.0063,0.0017,0.013,0.012,1e-05
116,P,0.0042,0.0009,0.015,0.031,-8e-05
117,N,-0.0068,-0.0005,0.011,0.015,-6e-05
118,N,0.0,-0.0004,0.002,-0.009,0.00012
119,P,0.0027,0.0022,0.005,-0.007,0.00013
120,N,-0.0042,0.0035,0.016,-0.007,-0.00017
121,N,0.0052,-0.0016,0.002,-0.009,5e-05
122,P,0.0069,0.0023,0.005,0.005,6e-05
123,P,0.0052,0.0025,0.01,0.024,-0.0001
124,N,-0.0049,0.0007,0.016,0.017,-6e-05
125,N,-0.0043,0.0006,0.01,-0.002,-6e-05
126,P,0.0035,0.0017,0.011,0.012,-5e-05
127,P,0.0035,-0.0002,0.012,-0.009,0.00017
128,N,-0.0039,0.0015,0.008,-0.011,0.0
129,P,0.0059,0.0004,0.009,0.015,-2e-05
130,P,-0.0036,0.0007,0.01,0.021,-0.00016
131,N,-0.0066,-0.0005,0.008,0.012,-0.00015
132,N,-0.0018,0.0008,0.002,-0.01,0.00014
133,P,0.0047,0.0021,0.006,-0.006,0.00022
134,N,-0.0049,-0.0011,0.009,0.022,-0.00014
135,P,0.0023,-0.0008,0.001,0.011,0.00015
136,N,-0.0056,0.0017,0.016,0.004,-4e-05
137,N,-0.0042,-0.0002,0.013,-0.013,7e-05
138,P,0.007,-0.0006,0.007,-0.005,0.00013
139,P,0.0057,0.0016,0.009,0.017,-9e-05
140,N,-0.0075,-0.0001,0.01,-0.013,4e-05
141,N,-0.0042,0.0007,0.009,-0.03,0.00018
142,N,0.0071,0.0018,0.007,-0.022,0.00018
143,P,0.0104,0.0043,0.014,-0.003,0.00011
144,P,0.0057,0.0009,0.02,0.025,-0.00022
145,N,-0.0059,0.0057,0.005,0.005,-0.00015
146,N,0.0046,0.0001,0.016,-0.013,0.00029
147,P,0.0088,-0.0025,0.013,-0.004,0.00031
148,P,0.0101,-0.0013,0.009,0.016,-4e-05
149,N,0.0004,-0.0008,0.004,0.037,-0.00034
150,N,-0.0048,0.0008,0.005,0.029,-0.00013
151,N,-0.0048,0.0051,0.01,0.021,-0.0002
152,N,-0.0066,-0.0005,0.01,0.007,-3e-05
153,P,0.0039,0.0021,0.01,-0.007,0.00014
154,N,-0.0022,0.0031,0.006,-0.011,-4e-05
155,P,0.0073,0.0026,0.007,0.006,3e-05
156,N,-0.0075,-0.0016,0.007,0.014,-0.0002
157,P,0.0049,-0.0019,0.003,0.014,-9e-05
158,N,-0.0084,0.0024,0.01,0.005,-0.00022
159,N,-0.0088,-0.0003,0.008,-0.013,6e-05
