,climbRate_num,Altitude_num,RollRate_num,curRoll_num,diffClb_num,diffDiffClb_num,Se_num
0,2.0,-50.0,-0.0048,-0.001,0.2,0.0,-0.001
1,6.5,-40.0,-0.001,-0.009,0.2,0.0,0.003
2,-5.9,-10.0,-0.0033,-0.004,-0.1,0.0,-0.001
3,-6.2,-30.0,-0.0022,-0.011,0.1,0.0,-0.002
4,-0.2,-40.0,0.0059,-0.005,0.1,0.0,0.001
5,-2.0,10.0,0.0051,-0.023,-0.1,0.0,-0.001
6,-5.6,0.0,0.0046,0.0,-0.1,0.0,-0.002
7,-3.9,-30.0,-0.0025,0.005,0.0,0.0,-0.001
8,-1.7,-60.0,0.0053,0.013,-0.1,0.0,0.001
9,-2.9,-60.0,0.0024,0.019,-0.1,0.0,-0.001
10,1.8,-70.0,-0.0069,-0.008,0.1,0.0,0.001
11,-0.7,-50.0,0.0033,-0.02,-0.2,0.0,-0.001
12,-6.1,-70.0,0.0006,-0.011,-0.1,0.0,-0.005
13,1.0,-80.0,0.0023,-0.007,0.3,0.0,0.002
14,6.3,-70.0,0.0002,-0.003,0.1,0.0,0.001
15,8.3,-40.0,-0.0032,-0.01,0.0,0.0,-0.001
16,9.3,-20.0,-0.0012,-0.014,0.1,0.0,0.003
17,-2.2,10.0,0.001,0.002,-0.2,0.0,-0.002
18,-4.6,0.0,-0.0021,0.0,-0.1,0.0,-0.001
19,3.3,-10.0,0.0007,-0.019,0.2,0.0,0.002
20,-2.1,10.0,-0.0028,0.007,-0.1,-0.01,-0.002
21,1.7,0.0,0.0028,0.004,0.1,0.0,0.001
22,-3.9,0.0,-0.0019,0.017,-0.2,0.0,-0.001
23,-5.4,-10.0,-0.0037,0.012,0.0,0.0,-0.002
24,-5.4,-10.0,-0.005,0.006,0.1,0.0,-0.002
25,3.3,-20.0,0.0014,-0.002,0.3,0.0,0.002
26,6.4,-10.0,0.0047,0.005,0.1,0.01,0.002
27,5.3,0.0,0.006,0.015,-0.2,0.02,0.001
28,-5.5,0.0,-0.0035,0.021,-0.2,0.0,-0.003
29,-7.1,-20.0,-0.0061,0.005,0.0,0.0,-0.001
30,2.3,-40.0,0.004,-0.007,0.1,0.0,0.001
31,-1.9,-30.0,0.0055,-0.013,0.0,0.0,-0.001
32,-1.2,-40.0,0.0051,0.01,-0.1,0.01,-0.001
33,-1.3,-40.0,0.0029,0.017,0.0,-0.01,0.001
34,-0.4,-50.0,-0.0065,0.007,0.1,-0.01,0.001
35,4.9,-20.0,0.0053,-0.002,0.0,0.0,0.001
36,-3.0,-10.0,-0.0056,0.007,-0.2,0.0,-0.003
37,-1.5,-10.0,-0.0064,-0.013,0.2,0.0,-0.001
38,5.5,-10.0,-0.0014,-0.022,0.3,0.0,0.002
39,9.2,10.0,0.0038,-0.018,0.0,0.01,0.001
40,-4.4,40.0,-0.0088,-0.009,-0.1,0.0,-0.002
41,4.6,40.0,0.0086,-0.008,0.1,0.0,0.001
42,-4.6,10.0,0.0036,-0.003,-0.1,0.0,-0.001
43,7.7,20.0,0.0043,-0.007,0.1,0.0,0.001
44,-8.9,10.0,-0.0047,-0.008,0.0,0.0,-0.001
45,-1.2,-30.0,0.0063,0.014,0.1,0.0,0.001
46,-2.5,-40.0,0.0019,0.027,-0.1,0.0,0.001
47,-4.0,-50.0,-0.0052,0.023,0.0,-0.01,-0.001
48,-3.4,-60.0,-0.0071,0.009,0.0,0.01,-0.001
49,6.2,-50.0,0.0002,-0.014,0.2,0.0,0.001
50,8.8,-30.0,0.0036,-0.01,0.1,0.0,0.001
51,6.4,10.0,-0.0001,0.004,-0.1,0.0,0.001
52,1.8,20.0,0.0007,-0.017,0.1,0.0,0.001
53,-5.2,10.0,-0.0033,0.001,0.0,0.0,-0.001
54,1.4,-10.0,0.0039,0.01,0.1,0.0,0.001
55,-1.7,-10.0,-0.0029,0.015,-0.1,0.0,-0.001
56,6.0,10.0,0.0057,-0.001,0.1,0.0,0.001
57,5.4,20.0,0.0047,0.01,-0.1,0.0,0.001
58,-0.3,30.0,-0.0078,0.002,-0.1,0.0,-0.002
59,5.3,50.0,0.0072,-0.011,0.1,0.0,0.001
60,-8.3,50.0,-0.0046,0.015,-0.2,0.0,-0.002
61,-5.0,-20.0,0.0021,-0.009,0.1,0.0,-0.001
62,-2.9,-30.0,0.0016,-0.001,0.0,0.0,-0.001
63,6.6,-20.0,-0.0015,-0.003,0.1,0.0,0.001
64,8.0,10.0,-0.0021,-0.009,0.0,0.0,0.001
65,3.2,60.0,0.001,0.002,-0.1,0.0,0.001
66,-6.3,50.0,-0.0028,-0.005,-0.2,0.0,-0.002
67,-6.1,30.0,-0.0001,-0.014,0.1,0.0,-0.001
68,-1.5,10.0,0.0048,-0.007,0.2,0.0,0.001
69,5.9,40.0,0.0079,-0.004,0.0,0.0,0.001
70,-4.8,50.0,-0.0037,0.013,-0.2,0.0,-0.001
71,-1.2,20.0,0.0055,0.013,0.1,0.0,0.001
72,6.2,60.0,0.0042,-0.013,0.1,0.0,0.001
73,5.8,80.0,0.0094,0.008,0.0,0.0,0.001
74,-7.6,70.0,-0.0038,0.025,-0.2,0.0,-0.002
75,-8.8,40.0,-0.0042,0.009,0.1,0.0,-0.001
76,4.2,50.0,0.0051,-0.006,0.0,0.0,0.001
77,2.9,10.0,0.0036,-0.006,0.1,0.0,0.001
78,4.3,90.0,0.002,0.019,-0.1,0.0,0.001
79,-2.0,90.0,-0.0062,0.007,-0.1,0.0,-0.001
80,0.2,80.0,0.0073,-0.004,0.0,0.0,0.002
81,-5.6,70.0,0.0052,0.02,-0.2,0.0,-0.002
82,-8.5,30.0,-0.0038,0.026,0.0,0.0,-0.001
83,-7.0,10.0,-0.0077,0.007,0.1,0.0,-0.001
84,2.9,0.0,-0.0021,-0.02,0.2,0.0,0.001
85,5.8,0.0,0.0006,-0.021,0.1,0.01,0.001
86,7.1,20.0,0.0036,-0.017,0.0,0.0,0.001
87,-4.0,-20.0,-0.0112,-0.009,0.0,0.0,-0.001
88,1.3,-20.0,0.0065,-0.006,0.0,0.0,-0.001
89,2.1,-20.0,0.0045,0.01,0.0,0.0,0.002
90,-1.4,-20.0,-0.0064,0.007,0.0,0.02,-0.001
91,3.1,-10.0,-0.0016,-0.016,0.1,0.0,0.002
92,-1.6,0.0,0.0027,-0.013,-0.2,0.0,-0.004
93,-2.8,-10.0,-0.0036,-0.01,-0.1,0.0,-0.004
94,2.7,-10.0,0.0019,-0.014,0.2,0.0,0.004
95,3.0,0.0,0.0051,-0.005,-0.1,0.0,0.002
96,-4.6,0.0,0.0024,0.01,-0.3,0.0,-0.005
97,1.7,-30.0,0.0052,-0.005,0.2,0.0,0.003
98,0.4,-20.0,0.008,0.026,-0.1,-0.01,-0.001
99,1.9,-20.0,-0.0077,0.022,0.0,0.0,-0.001
100,4.3,0.0,-0.0009,-0.009,0.0,0.0,0.001
101,-1.1,10.0,0.0063,0.012,-0.1,0.0,0.001
102,-3.1,0.0,0.0044,0.03,0.0,0.0,0.001
103,-4.8,-10.0,-0.0004,0.036,-0.1,0.0,-0.003
104,8.2,0.0,0.0,-0.009,0.1,0.0,0.003
105,6.9,20.0,0.0025,-0.007,-0.2,0.02,-0.001
106,-4.5,30.0,-0.0046,-0.007,-0.3,0.0,-0.003
107,-7.1,10.0,-0.0033,-0.019,0.0,0.0,-0.001
108,-5.9,0.0,-0.0007,-0.024,0.1,0.0,-0.002
109,6.9,0.0,0.005,-0.011,0.2,0.0,0.004
110,-2.9,30.0,0.0018,0.03,-0.2,0.0,-0.003
111,-5.5,0.0,-0.005,0.016,0.0,0.0,-0.001
112,3.0,-10.0,0.001,-0.001,0.1,0.0,0.002
113,3.2,0.0,0.0045,-0.006,0.0,0.0,0.001
114,-4.6,0.0,-0.0021,-0.008,-0.1,0.0,-0.001
115,-5.6,-10.0,-0.0014,-0.011,0.0,-0.01,-0.001
116,4.0,-20.0,-0.0018,0.005,0.1,0.0,0.002
117,-2.5,-10.0,0.0007,-0.023,-0.1,0.0,-0.001
118,1.3,-20.0,-0.0072,0.009,0.1,0.0,0.001
119,6.2,-10.0,-0.0027,-0.009,0.1,0.0,0.001
120,-3.7,10.0,0.0051,0.015,-0.2,0.0,-0.002
121,-5.2,-10.0,0.0004,0.03,0.0,0.0,-0.002
122,0.0,-30.0,-0.0054,0.02,0.2,0.0,0.001
123,7.7,-10.0,0.0023,0.011,0.1,0.0,0.001
124,10.1,10.0,0.003,0.017,0.1,0.0,0.002
125,9.1,30.0,0.0011,0.021,-0.1,0.01,0.002
126,-1.6,50.0,-0.0037,0.016,-0.3,0.0,-0.002
127,-6.2,40.0,-0.0056,0.004,-0.1,0.0,-0.002
128,2.2,0.0,0.007,-0.005,0.1,0.0,0.002
129,-4.6,0.0,-0.0014,0.025,-0.1,0.0,-0.002
130,-1.0,-20.0,-0.0075,-0.013,0.1,0.0,0.001
131,2.0,-20.0,0.0059,-0.026,0.0,0.0,0.001
132,-2.0,-10.0,0.01,-0.007,-0.4,0.02,-0.001
133,-11.1,-40.0,0.0057,0.025,-0.1,0.0,-0.003
134,9.8,-60.0,-0.0033,0.022,0.5,0.0,0.003
135,14.9,-40.0,-0.0024,0.017,0.2,0.02,0.001
136,7.5,10.0,-0.0059,0.005,-0.6,0.02,-0.001
137,-3.6,10.0,-0.0048,-0.006,-0.5,0.0,-0.004
138,-7.1,-20.0,0.0046,-0.013,0.1,0.0,-0.002
139,4.9,-20.0,0.0004,0.037,0.1,0.0,0.002
140,5.3,10.0,-0.0013,0.013,0.0,0.0,0.003
141,-7.7,20.0,-0.0003,0.012,-0.4,0.0,-0.002
142,-12.5,0.0,0.0003,0.011,-0.2,-0.02,-0.002
143,-9.1,-40.0,0.0013,0.015,0.2,0.0,-0.003
144,9.2,-40.0,0.0023,0.023,0.5,0.0,0.005
145,1.2,0.0,-0.0048,0.021,-0.5,0.0,-0.006
146,0.4,0.0,-0.0054,-0.002,0.1,0.0,0.001
147,-7.8,-10.0,0.0008,0.002,-0.3,0.0,-0.003
148,-8.5,-20.0,-0.0005,0.002,0.1,-0.01,-0.002
149,5.8,-40.0,-0.0014,-0.005,0.3,0.0,0.002
150,8.4,-20.0,-0.0016,-0.007,0.1,0.02,0.004
151,-2.4,-10.0,-0.0006,-0.014,-0.4,0.01,-0.006
152,1.8,-20.0,0.0065,-0.002,0.2,0.0,0.003
153,-2.9,-10.0,0.0012,0.026,-0.2,0.0,-0.002
154,-3.6,-20.0,-0.0019,0.026,0.1,-0.02,-0.002
155,1.1,-20.0,-0.0075,0.014,0.2,0.0,0.001
156,3.9,-20.0,-0.0072,0.003,0.2,0.01,0.003
157,-3.2,-10.0,0.0022,-0.011,-0.3,0.01,-0.007
158,5.7,-10.0,0.0049,0.014,0.3,0.0,0.005
159,-0.5,10.0,-0.0084,0.005,-0.2,0.0,-0.004
160,2.5,10.0,-0.0064,-0.023,0.2,0.0,0.003
161,-1.8,20.0,0.0056,-0.026,-0.3,0.0,-0.001
162,-8.3,0.0,0.007,-0.006,-0.2,0.0,-0.003
163,-8.3,-20.0,0.0046,0.011,0.1,0.0,-0.003
164,8.4,-30.0,-0.0024,0.017,0.3,0.0,0.005
165,5.8,10.0,-0.0046,-0.002,-0.1,0.0,0.001
166,-6.1,0.0,0.0026,0.001,-0.1,0.0,-0.002
167,2.7,-40.0,-0.0026,-0.011,0.3,-0.01,0.002
168,8.4,-10.0,0.0033,-0.01,0.1,0.0,0.004
169,-3.9,0.0,0.0002,0.006,-0.4,0.0,-0.005
170,-6.9,-10.0,-0.005,0.0,0.0,-0.01,-0.002
171,-0.9,-20.0,-0.0023,-0.011,0.3,0.0,0.001
172,3.5,-20.0,0.0012,-0.012,0.2,0.0,0.003
173,-4.6,-10.0,-0.0001,0.007,-0.2,0.0,-0.002
174,3.5,-40.0,0.0,0.003,0.3,0.01,0.001
175,9.3,-10.0,0.0035,0.01,0.1,0.0,0.005
176,-1.8,10.0,-0.0036,0.013,-0.4,0.0,-0.006
177,-1.8,0.0,-0.0096,-0.011,0.1,0.0,0.001
178,3.1,0.0,0.0004,-0.041,0.2,0.0,0.005
179,-5.6,0.0,0.0094,-0.018,-0.3,0.0,-0.003
180,-5.7,-20.0,0.0101,0.027,0.1,0.0,-0.002
181,-0.6,-30.0,0.0023,0.046,0.2,0.0,0.001
182,2.6,-30.0,-0.0075,0.041,0.1,0.0,0.001
183,4.1,-20.0,-0.0061,0.006,0.0,0.0,0.002
184,1.4,-10.0,-0.0001,-0.001,-0.2,-0.01,0.001
185,-6.0,-20.0,0.0053,0.009,-0.2,0.0,-0.003
186,-8.5,-40.0,0.0024,0.026,-0.1,0.0,-0.002
187,-7.4,-60.0,-0.0009,0.027,0.1,-0.02,-0.001
188,-3.5,-70.0,-0.0062,0.019,0.2,0.0,0.001
189,6.9,-60.0,-0.001,-0.007,0.2,0.0,0.004
190,0.7,-40.0,0.0009,-0.005,-0.2,0.0,-0.004
191,8.9,-20.0,0.0064,0.013,0.2,0.0,0.003
192,7.2,10.0,-0.0018,0.023,-0.1,0.0,0.003
193,-0.9,20.0,-0.0089,0.009,-0.4,0.0,0.001
194,-7.6,10.0,-0.01,-0.004,-0.5,0.01,-0.002
195,-1.9,-30.0,0.0101,0.0,0.1,0.0,0.001
196,0.1,-30.0,0.0105,0.023,0.1,0.0,-0.002
197,5.2,-20.0,0.0011,0.044,0.2,0.0,0.001
198,7.3,-20.0,-0.006,0.041,0.1,0.0,0.001
199,9.4,0.0,-0.0099,0.025,0.2,0.0,0.002
200,6.7,30.0,-0.0052,-0.008,-0.1,0.0,0.003
201,-0.9,40.0,-0.0008,-0.015,-0.4,0.0,-0.005
202,1.9,30.0,0.0006,-0.001,0.1,0.0,0.005
203,-2.8,30.0,-0.0038,-0.006,-0.3,-0.01,-0.001
204,-10.4,10.0,-0.0035,-0.018,-0.2,0.0,-0.004
205,1.8,-30.0,0.0066,0.012,0.2,0.0,0.004
206,-2.5,-30.0,-0.0024,0.02,-0.2,0.0,-0.006
207,0.7,-30.0,-0.0072,0.006,0.3,0.01,0.001
208,7.5,10.0,0.0064,-0.006,0.0,0.0,0.002
209,6.6,30.0,-0.0021,-0.008,0.3,0.0,0.002
210,9.7,50.0,0.0029,-0.008,0.1,0.02,0.006
211,-10.8,40.0,-0.0054,0.016,-0.2,0.0,-0.002
212,-10.3,10.0,-0.0023,0.004,0.1,0.0,-0.002
213,-6.3,0.0,0.0006,0.003,0.3,-0.01,-0.001
214,0.7,-10.0,0.0012,0.005,0.3,0.0,0.004
215,-4.7,-10.0,-0.0007,0.008,-0.2,0.0,-0.003
216,5.5,-10.0,-0.0001,0.002,0.1,0.0,0.001
217,7.0,0.0,0.0,0.002,0.0,0.0,0.004
218,-7.8,10.0,-0.0011,-0.001,-0.4,0.0,-0.006
