,binaryClass_cat,climbRate_num,Altitude_num,RollRate_num,curRoll_num,diffClb_num,diffDiffClb_num
0,P,2.0,-50.0,-0.0048,-0.001,0.2,0.0
1,N,6.5,-40.0,-0.001,-0.009,0.2,0.0
2,P,-5.9,-10.0,-0.0033,-0.004,-0.1,0.0
3,P,-6.2,-30.0,-0.0022,-0.011,0.1,0.0
4,N,-0.2,-40.0,0.0059,-0.005,0.1,0.0
5,P,-2.0,10.0,0.0051,-0.023,-0.1,0.0
6,P,-5.6,0.0,0.0046,0.0,-0.1,0.0
7,P,-3.9,-30.0,-0.0025,0.005,0.0,0.0
8,N,-1.7,-60.0,0.0053,0.013,-0.1,0.0
9,P,-2.9,-60.0,0.0024,0.019,-0.1,0.0
10,N,1.8,-70.0,-0.0069,-0.008,0.1,0.0
11,P,-0.7,-50.0,0.0033,-0.02,-0.2,0.0
12,P,-6.1,-70.0,0.0006,-0.011,-0.1,0.0
13,N,1.0,-80.0,0.0023,-0.007,0.3,0.0
14,N,6.3,-70.0,0.0002,-0.003,0.1,0.0
15,P,8.3,-40.0,-0.0032,-0.01,0.0,0.0
16,N,9.3,-20.0,-0.0012,-0.014,0.1,0.0
17,P,-2.2,10.0,0.001,0.002,-0.2,0.0
18,P,-4.6,0.0,-0.0021,0.0,-0.1,0.0
19,N,3.3,-10.0,0.0007,-0.019,0.2,0.0
20,P,-2.1,10.0,-0.0028,0.007,-0.1,-0.01
21,N,1.7,0.0,0.0028,0.004,0.1,0.0
22,P,-3.9,0.0,-0.0019,0.017,-0.2,0.0
23,P,-5.4,-10.0,-0.0037,0.012,0.0,0.0
24,P,-5.4,-10.0,-0.005,0.006,0.1,0.0
25,N,3.3,-20.0,0.0014,-0.002,0.3,0.0
26,N,6.4,-10.0,0.0047,0.005,0.1,0.01
27,N,5.3,0.0,0.006,0.015,-0.2,0.02
28,P,-5.5,0.0,-0.0035,0.021,-0.2,0.0
29,P,-7.1,-20.0,-0.0061,0.005,0.0,0.0
30,N,2.3,-40.0,0.004,-0.007,0.1,0.0
31,P,-1.9,-30.0,0.0055,-0.013,0.0,0.0
32,P,-1.2,-40.0,0.0051,0.01,-0.1,0.01
33,N,-1.3,-40.0,0.0029,0.017,0.0,-0.01
34,N,-0.4,-50.0,-0.0065,0.007,0.1,-0.01
35,N,4.9,-20.0,0.0053,-0.002,0.0,0.0
