,col_5_num,col_1_num,col_2_num,col_3_num,col_4_num
0,4.3,1,2.2,5.5,2.4
1,4.6,2,2.2,4.5,2.4
2,4.7,3,2.3,5.1,2.4
3,4.1,4,2.0,5.5,2.2
4,4.1,5,1.6,5.7,2.1
5,5.2,6,1.4,5.1,1.5
6,5.0,7,1.8,4.3,2.3
7,4.4,8,2.2,4.8,2.3
8,4.2,9,2.9,5.6,2.5
9,5.1,10,2.6,5.9,2.0
10,5.1,11,2.4,6.0,1.9
11,4.7,12,2.1,5.1,1.7
12,4.4,13,3.0,5.2,2.2
13,3.9,14,2.5,4.4,1.8
14,5.4,15,2.7,5.5,3.2
15,5.9,16,2.2,5.4,3.2
16,4.2,17,2.4,4.1,2.7
17,4.1,18,2.7,4.4,2.2
18,4.1,19,3.1,4.7,2.2
19,3.6,20,2.5,4.6,1.9
20,3.1,21,2.4,6.0,1.9
21,4.8,22,2.3,5.6,1.8
22,5.1,23,2.4,5.1,2.7
23,5.1,24,1.9,4.7,3.0
24,4.5,25,3.3,4.8,2.3
25,4.6,26,3.8,5.5,2.0
26,5.8,27,3.7,5.1,2.0
27,5.0,28,3.5,5.2,2.9
28,5.1,29,3.1,5.0,2.9
29,4.5,30,2.7,4.0,2.7
30,4.2,31,4.1,3.7,2.7
31,6.0,32,4.0,4.8,2.3
32,5.6,33,3.4,5.9,2.6
33,5.4,34,3.2,5.5,2.4
34,5.0,35,3.7,4.9,1.8
35,4.4,36,3.6,4.4,1.7
36,4.6,37,4.1,4.7,1.5
37,5.7,38,2.0,4.2,1.4
38,5.2,39,4.6,5.5,2.1
39,5.0,40,4.1,4.9,3.3
40,4.4,41,3.2,4.8,3.5
41,5.7,42,2.9,4.5,3.5
42,5.7,43,2.7,4.9,3.1
43,4.8,44,3.0,4.9,2.6
44,3.4,45,0.0,4.5,2.1
45,5.5,46,0.0,4.2,3.4
46,5.5,47,0.0,4.9,3.0
47,5.6,48,0.0,5.9,2.9
