,col_9_num,col_1_cat,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num,col_7_num,col_8_num
0,0.1585,76,33,33,262.0,307.0,1.1718,5.5683,5.7268
1,0.1668,76,34,34,259.0,306.0,1.1815,5.5568,5.7236
2,0.1745,76,35,35,257.0,306.0,1.1907,5.5491,5.7236
3,0.1553,76,36,36,262.0,306.0,1.1679,5.5683,5.7236
4,0.1477,76,37,37,264.0,306.0,1.1591,5.5759,5.7236
5,0.1552,76,38,38,268.0,313.0,1.1679,5.591,5.7462
6,0.1448,76,39,39,276.0,319.0,1.1558,5.6204,5.7652
7,0.1353,76,40,40,283.0,324.0,1.1449,5.6454,5.7807
8,0.1352,76,41,41,290.0,332.0,1.1448,5.6699,5.8051
9,0.1123,76,42,42,286.0,320.0,1.1189,5.656,5.7683
10,0.1053,76,43,43,288.0,320.0,1.1111,5.663,5.7683
11,0.0934,76,44,44,286.0,314.0,1.0979,5.656,5.7494
12,0.0924,76,45,45,279.0,306.0,1.0968,5.6312,5.7236
13,0.0956,76,46,46,279.0,307.0,1.1004,5.6312,5.7268
14,0.0953,76,47,47,280.0,308.0,1.1,5.6348,5.7301
15,0.1091,76,48,48,321.0,358.0,1.1153,5.7714,5.8805
16,0.0875,76,49,49,328.0,358.0,1.0915,5.793,5.8805
17,0.075,76,50,50,334.0,360.0,1.0778,5.8111,5.8861
18,0.081,77,2,54,332.0,360.0,1.0843,5.8051,5.8861
19,0.0865,77,3,55,332.0,362.0,1.0904,5.8051,5.8916
20,0.102,77,4,56,326.0,361.0,1.1074,5.7869,5.8889
21,0.1087,77,5,57,322.0,359.0,1.1149,5.7746,5.8833
22,0.1026,77,6,58,324.0,359.0,1.108,5.7807,5.8833
23,0.1087,77,7,59,322.0,359.0,1.1149,5.7746,5.8833
24,0.122,77,8,60,316.0,357.0,1.1297,5.7557,5.8777
25,0.1283,77,9,61,314.0,357.0,1.1369,5.7494,5.8777
26,0.122,77,10,62,316.0,357.0,1.1297,5.7557,5.8777
27,0.122,77,11,63,316.0,357.0,1.1297,5.7557,5.8777
28,0.1251,77,12,64,315.0,357.0,1.1333,5.7526,5.8777
29,0.1255,77,13,65,314.0,356.0,1.1338,5.7494,5.8749
30,0.1231,77,16,68,313.0,354.0,1.131,5.7462,5.8693
31,0.1263,77,17,69,312.0,354.0,1.1346,5.743,5.8693
32,0.1425,77,18,70,307.0,354.0,1.1531,5.7268,5.8693
33,0.149,77,19,71,305.0,354.0,1.1607,5.7203,5.8693
34,0.149,77,20,72,305.0,354.0,1.1607,5.7203,5.8693
35,0.1689,77,21,73,299.0,354.0,1.1839,5.7004,5.8693
36,0.1756,77,22,74,297.0,354.0,1.1919,5.6937,5.8693
37,0.1655,77,23,75,300.0,354.0,1.18,5.7038,5.8693
38,0.1655,77,24,76,300.0,354.0,1.18,5.7038,5.8693
39,0.1589,77,25,77,302.0,354.0,1.1722,5.7104,5.8693
40,0.1655,77,26,78,300.0,354.0,1.18,5.7038,5.8693
41,0.1749,77,33,85,293.0,349.0,1.1911,5.6802,5.8551
42,0.1749,77,34,86,293.0,349.0,1.1911,5.6802,5.8551
43,0.1691,77,35,87,293.0,347.0,1.1843,5.6802,5.8493
44,0.1589,77,36,88,296.0,347.0,1.1723,5.6904,5.8493
45,0.1623,77,37,89,295.0,347.0,1.1763,5.687,5.8493
46,0.1556,77,38,90,297.0,347.0,1.1684,5.6937,5.8493
47,0.1522,77,39,91,298.0,347.0,1.1644,5.6971,5.8493
48,0.146,77,40,92,299.0,346.0,1.1572,5.7004,5.8464
49,0.1422,77,41,93,301.0,347.0,1.1528,5.7071,5.8493
50,0.1319,77,42,94,305.0,348.0,1.141,5.7203,5.8522
51,0.1254,77,43,95,307.0,348.0,1.1336,5.7268,5.8522
52,0.1228,77,44,96,306.0,346.0,1.1307,5.7236,5.8464
53,0.1298,77,45,97,303.0,345.0,1.1386,5.7137,5.8435
54,0.1265,77,46,98,304.0,345.0,1.1349,5.717,5.8435
55,0.1298,77,47,99,303.0,345.0,1.1386,5.7137,5.8435
56,0.1397,77,48,100,300.0,345.0,1.15,5.7038,5.8435
57,0.1431,77,49,101,299.0,345.0,1.1538,5.7004,5.8435
58,0.1498,77,50,102,297.0,345.0,1.1616,5.6937,5.8435
59,0.1498,78,2,106,297.0,345.0,1.1616,5.6937,5.8435
60,0.1498,78,3,107,297.0,345.0,1.1616,5.6937,5.8435
