,Species_cat,Length1_num,Length2_num,Length3_num,Height_num,Width_num,Sex_cat,class_num
0,1,23.2,25.4,30.0,38.4,13.4,,242.0
1,1,24.0,26.3,31.2,40.0,13.8,,290.0
2,1,23.9,26.5,31.1,39.8,15.1,,340.0
3,1,26.3,29.0,33.5,38.0,13.3,,363.0
4,1,26.5,29.0,34.0,36.6,15.1,,430.0
5,1,26.8,29.7,34.7,39.2,14.2,,450.0
6,1,26.8,29.7,34.5,41.1,15.3,,500.0
7,1,27.6,30.0,35.0,36.2,13.4,,390.0
8,1,27.6,30.0,35.1,39.9,13.8,,450.0
9,1,28.5,30.7,36.2,39.3,13.7,,500.0
10,1,28.4,31.0,36.2,39.4,14.1,,475.0
11,1,28.7,31.0,36.2,39.7,13.3,,500.0
12,1,29.1,31.5,36.4,37.8,12.0,,500.0
13,1,29.4,32.0,37.2,40.2,13.9,1,600.0
14,1,29.4,32.0,37.2,41.5,15.0,,600.0
15,1,30.4,33.0,38.3,38.8,13.8,1,700.0
16,1,30.4,33.0,38.5,38.8,13.5,,700.0
17,1,30.9,33.5,38.6,40.5,13.3,,610.0
18,1,31.0,33.5,38.7,37.4,14.8,,650.0
19,1,31.3,34.0,39.5,38.3,14.1,1,575.0
20,1,31.4,34.0,39.2,40.8,13.7,,685.0
21,1,31.5,34.5,39.7,39.1,13.3,,620.0
22,1,31.8,35.0,40.6,38.1,15.1,,680.0
23,1,31.9,35.0,40.5,40.1,13.8,,700.0
24,1,31.8,35.0,40.9,40.0,14.8,1,725.0
25,1,32.0,35.0,40.6,40.3,15.0,,720.0
26,1,32.7,36.0,41.5,39.8,14.1,,714.0
27,1,32.8,36.0,41.6,40.6,14.9,,850.0
28,1,33.5,37.0,42.6,44.5,15.5,0,1000.0
29,1,35.0,38.5,44.1,40.9,14.3,0,920.0
30,1,35.0,38.5,44.0,41.1,14.3,,955.0
31,1,36.2,39.5,45.3,41.4,14.9,1,925.0
32,1,37.4,41.0,45.9,40.6,14.7,0,975.0
33,1,38.0,41.0,46.5,37.9,13.7,,950.0
34,2,23.6,26.0,28.7,29.2,14.8,,270.0
35,2,24.1,26.5,29.3,27.8,14.5,,270.0
36,2,25.6,28.0,30.8,28.5,15.2,,306.0
37,2,28.5,31.0,34.0,31.6,19.3,,540.0
38,2,33.7,36.4,39.6,29.7,16.6,0,800.0
39,2,37.3,40.0,43.5,28.4,15.0,,1000.0
40,3,12.9,14.1,16.2,25.6,14.0,,40.0
41,3,16.5,18.2,20.3,26.1,13.9,,69.0
42,3,17.5,18.8,21.2,26.3,13.7,,78.0
43,3,18.2,19.8,22.2,25.3,14.3,,87.0
44,3,18.6,20.0,22.2,28.0,16.1,,120.0
45,3,19.0,20.5,22.8,28.4,14.7,,0.0
46,3,19.1,20.8,23.1,26.7,14.7,0,110.0
47,3,19.4,21.0,23.7,25.8,13.9,0,120.0
48,3,20.4,22.0,24.7,23.5,15.2,0,150.0
49,3,20.5,22.0,24.3,27.3,14.6,0,145.0
50,3,20.5,22.5,25.3,27.8,15.1,0,160.0
51,3,21.0,22.5,25.0,26.2,13.3,,140.0
52,3,21.1,22.5,25.0,25.6,15.2,0,160.0
53,3,22.0,24.0,27.2,27.7,14.1,,169.0
54,3,22.0,23.4,26.7,25.9,13.6,,161.0
55,3,22.1,23.5,26.8,27.6,15.4,0,200.0
56,3,23.6,25.2,27.9,25.4,14.0,,180.0
57,3,24.0,26.0,29.2,30.4,15.4,,290.0
58,3,25.0,27.0,30.6,28.0,15.6,0,272.0
59,3,29.5,31.7,35.0,27.1,15.3,,390.0
60,4,13.5,14.7,16.5,41.5,14.1,,55.0
61,4,14.3,15.5,17.4,37.8,13.3,1,60.0
62,4,16.3,17.7,19.8,37.4,13.5,1,90.0
