,binaryClass_cat,PARTNERS_cat,TYPE_cat,THORAX_num,SLEEP_num
0,P,8,0,35.0,0.64
1,P,8,0,37.0,0.68
2,N,8,0,49.0,0.68
3,P,8,0,46.0,0.72
4,P,8,0,63.0,0.72
5,N,8,0,39.0,0.76
6,P,8,0,46.0,0.76
7,P,8,0,56.0,0.76
8,P,8,0,63.0,0.76
9,N,8,0,65.0,0.76
10,P,8,0,56.0,0.8
11,P,8,0,65.0,0.8
12,N,8,0,70.0,0.8
13,N,8,0,63.0,0.84
14,N,8,0,65.0,0.84
15,P,8,0,70.0,0.84
16,P,8,0,77.0,0.84
17,P,8,0,81.0,0.84
18,P,8,0,86.0,0.84
19,N,8,0,70.0,0.88
20,P,8,0,70.0,0.88
21,N,8,0,77.0,0.92
22,N,8,0,77.0,0.92
23,N,8,0,81.0,0.92
24,N,8,0,77.0,0.94
25,P,0,9,40.0,0.64
26,P,0,9,37.0,0.7
27,P,0,9,44.0,0.72
28,P,0,9,47.0,0.72
29,P,0,9,47.0,0.72
30,P,0,9,47.0,0.76
31,N,0,9,68.0,0.78
32,P,0,9,47.0,0.8
33,N,0,9,54.0,0.84
34,P,0,9,61.0,0.84
35,P,0,9,71.0,0.84
36,P,0,9,75.0,0.84
37,P,0,9,89.0,0.84
38,N,0,9,58.0,0.88
39,N,0,9,59.0,0.88
40,P,0,9,62.0,0.88
41,N,0,9,79.0,0.88
42,N,0,9,96.0,0.88
43,N,0,9,58.0,0.92
44,P,0,9,62.0,0.92
45,N,0,9,70.0,0.92
46,P,0,9,72.0,0.92
47,P,0,9,75.0,0.92
48,P,0,9,96.0,0.92
49,N,0,9,75.0,0.94
50,P,1,0,46.0,0.64
51,P,1,0,42.0,0.68
52,P,1,0,65.0,0.72
53,N,1,0,46.0,0.76
54,P,1,0,58.0,0.76
55,N,1,0,42.0,0.8
56,N,1,0,48.0,0.8
57,N,1,0,58.0,0.8
58,P,1,0,50.0,0.82
59,P,1,0,80.0,0.82
60,P,1,0,63.0,0.84
61,P,1,0,65.0,0.84
62,P,1,0,70.0,0.84
63,P,1,0,70.0,0.84
64,N,1,0,72.0,0.84
65,P,1,0,97.0,0.84
66,P,1,0,46.0,0.88
67,N,1,0,56.0,0.88
68,P,1,0,70.0,0.88
69,P,1,0,70.0,0.88
70,N,1,0,72.0,0.88
71,P,1,0,76.0,0.88
72,P,1,0,90.0,0.88
73,N,1,0,76.0,0.92
74,N,1,0,92.0,0.92
75,P,1,1,21.0,0.68
76,N,1,1,40.0,0.68
77,N,1,1,44.0,0.72
78,P,1,1,54.0,0.76
79,P,1,1,36.0,0.78
80,N,1,1,40.0,0.8
81,P,1,1,56.0,0.8
82,N,1,1,60.0,0.8
83,P,1,1,48.0,0.84
84,N,1,1,53.0,0.84
85,P,1,1,60.0,0.84
86,P,1,1,60.0,0.84
87,P,1,1,65.0,0.84
88,N,1,1,68.0,0.84
89,P,1,1,60.0,0.88
90,P,1,1,81.0,0.88
91,P,1,1,81.0,0.88
92,N,1,1,48.0,0.9
93,P,1,1,48.0,0.9
94,P,1,1,56.0,0.9
95,N,1,1,68.0,0.9
96,P,1,1,75.0,0.9
97,P,1,1,81.0,0.9
98,N,1,1,48.0,0.92
99,P,1,1,68.0,0.92
100,N,8,1,16.0,0.64
101,P,8,1,19.0,0.64
102,P,8,1,19.0,0.68
103,P,8,1,32.0,0.72
104,N,8,1,33.0,0.72
105,N,8,1,33.0,0.74
106,P,8,1,30.0,0.76
107,N,8,1,42.0,0.76
108,P,8,1,42.0,0.76
109,N,8,1,33.0,0.78
110,P,8,1,26.0,0.8
111,N,8,1,30.0,0.8
112,P,8,1,40.0,0.82
113,P,8,1,54.0,0.82
114,P,8,1,34.0,0.84
115,N,8,1,34.0,0.84
116,N,8,1,47.0,0.84
117,P,8,1,47.0,0.84
118,N,8,1,42.0,0.88
119,N,8,1,47.0,0.88
120,N,8,1,54.0,0.88
121,P,8,1,54.0,0.88
122,P,8,1,56.0,0.88
123,P,8,1,60.0,0.88
124,P,8,1,44.0,0.92
