,treatment_4_num,control_1_num,control_2_num,control_3_num,control_4_num,treatment_1_num,treatment_2_num,treatment_3_num
0,36,100.0,100.0,23.0,17.0,125,126,25
1,37,105.0,103.0,18.0,12.0,120,127,35
2,40,114.0,115.0,21.0,24.0,135,135,28
3,34,115.0,116.0,28.0,27.0,135,135,24
4,30,123.0,126.0,25.0,29.0,100,113,26
5,26,126.0,121.0,26.0,27.0,110,115,24
6,42,105.0,110.0,35.0,33.0,122,123,22
7,37,105.0,102.0,33.0,24.0,122,125,24
8,29,120.0,123.0,25.0,30.0,124,126,29
9,31,123.0,118.0,22.0,27.0,124,135,28
10,38,95.0,96.0,20.0,36.0,113,120,22
11,34,112.0,120.0,26.0,30.0,122,120,12
12,35,108.0,113.0,27.0,30.0,130,138,30
13,27,111.0,109.0,15.0,14.0,105,130,30
14,42,108.0,111.0,26.0,25.0,123,127,33
15,40,81.0,111.0,14.0,13.0,125,129,34
16,27,114.0,121.0,22.0,24.0,123,128,18
17,32,112.0,120.0,26.0,26.0,126,128,26
18,40,103.0,110.0,36.0,41.0,115,120,20
19,40,105.0,111.0,33.0,36.0,125,120,22
20,20,113.0,118.0,32.0,35.0,120,135,7
21,28,112.0,115.0,27.0,31.0,105,127,10
22,28,116.0,120.0,36.0,30.0,120,130,25
23,26,113.0,121.0,4.0,2.0,110,120,25
24,39,,,,,127,135,35
25,29,,,,,125,130,25
26,43,,,,,128,138,30
27,45,,,,,124,136,33
28,34,,,,,115,124,26
29,42,,,,,116,124,40
30,21,,,,,106,110,20
31,17,,,,,111,116,16
32,12,,,,,113,114,10
33,14,,,,,105,115,11
34,23,,,,,100,105,14
35,10,,,,,99,88,2
36,50,,,,,113,119,48
37,35,,,,,126,126,35
38,30,,,,,102,110,22
39,24,,,,,94,115,13
40,25,,,,,116,111,22
41,25,,,,,112,114,20
42,35,,,,,122,128,30
43,35,,,,,122,128,33
44,30,,,,,118,127,22
45,27,,,,,115,124,25
46,39,,,,,115,125,32
47,25,,,,,118,127,12
48,34,,,,,78,121,35
49,32,,,,,77,126,30
50,44,,,,,129,129,36
51,25,,,,,127,132,33
52,15,,,,,127,127,10
53,36,,,,,132,139,39
