,Quality_num,Age_cat,Gender_cat,Location_cat,Coherence_num,Maturity_num,Delay_num,Prosecute_cat
0,34.11,0,0,3,3.81,3.62,45,0
1,36.59,0,1,2,1.63,1.61,27,0
2,37.23,0,0,1,3.54,3.63,102,0
3,39.65,0,1,2,4.21,4.11,39,0
4,42.07,0,0,3,3.3,3.12,41,0
5,44.91,0,1,3,2.32,2.13,70,1
6,45.23,0,1,4,4.51,4.31,72,0
7,47.53,0,1,2,3.18,3.08,41,0
8,45.81,0,0,1,2.66,2.72,13,0
9,49.38,0,1,3,4.7,4.98,39,0
10,49.53,0,0,2,4.31,4.21,39,1
11,47.51,0,1,3,3.46,3.54,47,0
12,50.54,0,1,2,3.42,3.33,31,1
13,51.25,0,0,1,3.08,3.07,82,0
14,51.63,0,1,4,4.04,4.12,29,0
15,52.02,1,0,3,3.12,3.01,51,1
16,52.39,0,1,3,3.23,3.08,71,0
17,54.49,0,0,1,2.63,2.62,81,0
18,54.64,1,0,3,3.02,3.0,71,0
19,55.27,0,1,2,3.62,3.53,43,0
20,55.47,1,0,1,1.54,1.21,55,1
21,55.56,0,0,3,2.79,2.74,45,0
22,56.47,1,0,1,2.76,2.71,27,0
23,56.72,1,1,1,4.63,4.66,74,0
24,57.07,0,0,3,3.35,3.07,88,1
25,57.76,0,1,1,2.63,2.82,29,0
26,57.87,1,1,2,2.77,2.71,56,1
27,58.33,1,0,4,3.26,3.91,55,1
28,58.73,0,0,1,2.99,2.87,75,0
29,58.84,0,0,3,3.59,3.09,61,0
30,59.19,1,1,2,2.43,2.39,76,1
31,59.64,1,0,4,2.41,2.38,45,0
32,59.86,1,0,1,2.37,3.36,90,1
33,59.97,1,0,2,3.92,3.98,92,0
34,60.81,0,0,3,3.63,3.72,44,0
35,60.88,0,1,1,2.3,2.21,45,1
36,61.83,1,1,4,1.56,1.92,12,0
37,61.98,1,1,2,2.92,2.81,23,1
38,62.09,1,1,3,4.11,1.72,63,1
39,62.54,0,1,1,2.49,2.51,97,0
40,62.84,0,1,2,2.41,2.04,55,0
41,63.38,1,1,3,2.56,2.65,66,1
42,63.67,1,0,1,1.95,2.03,8,1
43,64.34,1,0,2,2.52,2.49,75,0
44,64.37,1,1,3,2.15,2.09,71,1
45,65.07,0,0,4,2.78,2.79,9,1
46,65.77,0,1,1,2.95,3.01,39,0
47,65.93,1,0,4,1.89,3.45,68,1
48,66.6,1,1,3,3.62,3.56,36,1
49,67.08,1,1,2,2.16,2.91,4,0
50,68.33,1,0,1,3.65,3.91,52,1
51,68.44,1,0,4,2.32,2.33,19,1
52,68.9,1,0,1,1.34,1.42,77,0
53,69.59,1,1,1,2.02,2.11,25,1
54,69.89,1,0,4,1.76,1.72,86,0
55,70.45,0,1,4,1.78,1.77,45,1
56,70.71,1,1,2,2.52,2.54,2,1
57,71.4,1,0,4,1.83,1.73,29,1
58,71.83,1,0,4,1.51,1.73,45,1
59,72.3,1,1,3,3.08,2.08,14,0
60,72.61,0,1,4,1.03,0.98,25,1
61,73.99,1,1,1,1.76,1.65,21,0
62,74.18,1,0,4,2.0,1.94,17,1
63,75.38,1,0,4,2.9,2.94,19,1
64,76.01,1,0,2,3.24,3.43,22,1
65,76.28,1,0,2,2.9,2.87,14,0
66,77.59,0,1,4,3.11,3.01,26,1
67,78.47,1,1,3,2.86,2.93,57,0
68,80.67,1,1,2,1.94,1.99,46,1
69,83.15,1,0,4,1.89,1.87,15,1
