,Type_school_cat,Sex_cat,DVRT_num,Educational_level_cat,Leaving_Certificate_cat,Prestige_score_num
0,secondary,male,113,Junior_cycle_incomplete-secondary_school,not_taken,28.0
1,primary_terminal_leaver,male,101,Primary_terminal_leaver,not_taken,28.0
2,secondary,male,110,Senior_cycle_terminal_leaver-secondary_school,taken,69.0
3,secondary,male,121,Junior_cycle_terminal_leaver-secondary_school,not_taken,57.0
4,vocational,male,82,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
5,vocational,male,85,Junior_cycle_terminal_leaver-vocational_school,not_taken,28.0
6,primary_terminal_leaver,male,84,Primary_terminal_leaver,not_taken,
7,vocational,male,98,Junior_cycle_incomplete-vocational_school,not_taken,43.0
8,vocational,male,92,Junior_cycle_terminal_leaver-vocational_school,not_taken,33.0
9,primary_terminal_leaver,male,90,Primary_terminal_leaver,not_taken,18.0
10,vocational,male,88,Junior_cycle_terminal_leaver-vocational_school,not_taken,28.0
11,vocational,male,84,Junior_cycle_terminal_leaver-vocational_school,not_taken,18.0
12,secondary,male,114,3rd_level_complete,taken,18.0
13,vocational,male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,57.0
14,secondary,male,109,Senior_cycle_terminal_leaver-secondary_school,taken,40.0
15,vocational,male,83,Junior_cycle_terminal_leaver-vocational_school,not_taken,43.0
16,vocational,male,108,Junior_cycle_terminal_leaver-vocational_school,not_taken,69.0
17,secondary,male,95,Junior_cycle_incomplete-secondary_school,not_taken,43.0
18,vocational,male,90,Junior_cycle_terminal_leaver-vocational_school,not_taken,28.0
19,secondary,male,107,Senior_cycle_terminal_leaver-secondary_school,taken,28.0
20,primary_terminal_leaver,male,86,Primary_terminal_leaver,not_taken,18.0
21,vocational,male,70,Junior_cycle_incomplete-vocational_school,not_taken,43.0
22,secondary,male,114,Senior_cycle_terminal_leaver-secondary_school,taken,
23,secondary,male,117,Senior_cycle_terminal_leaver-secondary_school,taken,42.0
24,secondary,male,112,Senior_cycle_terminal_leaver-secondary_school,taken,43.0
25,secondary,male,88,3rd_level_complete,taken,
26,secondary,male,106,3rd_level_complete,taken,42.0
27,secondary,male,125,3rd_level_complete,taken,28.0
28,secondary,male,94,Senior_cycle_terminal_leaver-secondary_school,taken,
29,secondary,male,103,Junior_cycle_terminal_leaver-secondary_school,not_taken,
30,secondary,male,123,Senior_cycle_terminal_leaver-secondary_school,taken,46.0
31,vocational,male,100,Junior_cycle_terminal_leaver-vocational_school,not_taken,35.0
32,secondary,male,90,Junior_cycle_incomplete-secondary_school,not_taken,27.0
33,vocational,male,70,Junior_cycle_terminal_leaver-vocational_school,not_taken,51.0
34,secondary,male,90,Junior_cycle_incomplete-secondary_school,not_taken,46.0
35,secondary,male,99,Junior_cycle_incomplete-secondary_school,not_taken,
