,binaryClass_cat,buoy_cat,day_cat,latitude_num,longitude_num,zon_winds_num,mer_winds_num,humidity_num,air_temp_num
0,P,1,1,8.96,-140.32,-6.3,-6.4,83.5,27.32
1,P,1,2,8.95,-140.32,-5.7,-3.6,86.4,26.7
2,P,1,3,8.96,-140.32,-6.2,-5.8,83.0,27.36
3,P,1,4,8.96,-140.34,-6.4,-5.3,82.2,27.32
4,P,1,5,8.96,-140.33,-4.9,-6.2,87.3,27.09
5,P,1,6,8.96,-140.33,-6.3,-4.9,91.5,26.82
6,P,1,7,8.97,-140.32,-6.7,-3.7,94.1,26.62
7,P,1,8,8.96,-140.33,-6.3,-4.8,92.0,26.89
8,P,1,9,8.97,-140.33,-6.3,-4.9,86.9,27.44
9,P,1,10,8.97,-140.32,-4.2,-2.5,87.3,26.62
10,P,1,11,8.96,-140.32,-6.8,-2.4,86.0,27.6
11,P,1,12,8.96,-140.33,-7.1,-3.2,82.2,27.87
12,P,1,13,8.96,-140.33,-6.7,-4.7,81.3,27.75
13,N,2,1,4.93,-139.87,-2.9,-1.2,87.6,26.84
14,N,2,2,4.92,-139.86,0.4,-1.6,82.3,27.3
15,N,2,3,4.92,-139.87,-4.0,-4.6,83.0,28.0
16,N,2,4,4.92,-139.88,-6.3,-3.2,87.6,27.61
17,N,2,5,4.93,-139.87,-4.1,3.3,84.6,27.69
18,N,2,6,4.93,-139.87,-5.4,1.9,81.9,27.96
19,N,2,7,4.93,-139.86,-4.7,0.9,80.3,28.08
20,N,2,8,4.92,-139.87,-2.5,-0.9,84.2,27.61
21,N,2,9,4.93,-139.87,-5.1,2.0,84.6,27.42
22,N,2,10,4.93,-139.86,-1.3,0.7,80.0,27.65
23,N,2,11,4.93,-139.85,-5.4,-1.2,83.4,27.89
24,N,2,12,4.93,-139.86,-6.2,-4.0,82.7,27.77
25,N,2,13,4.93,-139.87,-4.8,2.6,82.3,27.42
26,P,3,1,2.0,-139.95,-0.3,3.2,86.8,27.1
27,P,3,2,2.0,-139.96,-1.6,1.1,83.6,27.42
28,P,3,3,1.99,-139.97,-3.9,-2.5,87.5,27.3
29,P,3,4,1.98,-139.96,-4.7,1.4,88.3,26.98
30,P,3,5,1.99,-139.97,-5.3,2.5,82.5,27.14
31,P,3,6,2.0,-139.97,-6.8,0.5,82.8,27.46
32,P,3,7,2.0,-139.97,-5.6,0.5,84.0,27.02
33,P,3,8,2.0,-139.96,-3.4,2.0,87.2,26.55
34,P,3,9,2.0,-139.97,-4.5,2.3,82.1,25.59
35,P,3,10,2.0,-139.96,-4.1,0.4,79.3,25.47
36,P,3,11,1.99,-139.97,-5.8,0.7,83.2,26.27
37,P,3,12,2.0,-139.97,-7.2,2.8,83.2,26.23
38,P,3,13,2.0,-139.98,-5.8,0.5,78.1,25.79
39,P,3,14,2.0,-139.99,-5.4,-0.4,77.8,25.91
40,P,4,1,-0.01,-139.94,0.7,0.3,93.1,26.54
41,P,4,2,-0.02,-139.93,-1.5,-0.4,92.3,26.51
42,P,4,3,-0.01,-139.94,-3.4,-1.4,92.3,26.53
43,P,4,4,-0.02,-139.94,-4.3,1.3,92.3,26.18
44,P,4,5,-0.02,-139.94,-3.7,0.4,92.3,25.79
45,P,4,6,-0.01,-139.94,-5.1,-2.5,92.3,26.03
46,P,4,7,-0.02,-139.94,-5.4,-2.1,88.1,25.5
47,P,4,8,-0.02,-139.94,-3.6,-0.6,90.4,25.04
48,P,4,9,-0.02,-139.94,-3.3,0.3,88.8,24.63
