,duration_num,wage-increase-first-year_num,wage-increase-second-year_num,wage-increase-third-year_num,cost-of-living-adjustment_cat,working-hours_num,pension_cat,standby-pay_num,shift-differential_num,education-allowance_cat,statutory-holidays_num,vacation_cat,longterm-disability-assistance_cat,contribution-to-dental-plan_cat,bereavement-assistance_cat,contribution-to-health-plan_cat,class_cat
0,1.0,5.0,,,,40.0,,,2.0,,11.0,average,,,yes,,good
1,2.0,4.5,5.8,,,35.0,ret_allw,,,yes,11.0,below_average,,full,,full,good
2,,,,,,38.0,empl_contr,,5.0,,11.0,generous,yes,half,yes,half,good
3,3.0,3.7,4.0,5.0,tc,,,,,yes,,,,,yes,,good
4,3.0,4.5,4.5,5.0,,40.0,,,,,12.0,average,,half,yes,half,good
5,2.0,2.0,2.5,,,35.0,,,6.0,yes,12.0,average,,,,,good
6,3.0,4.0,5.0,5.0,tc,,empl_contr,,,,12.0,generous,yes,none,yes,half,good
7,3.0,6.9,4.8,2.3,,40.0,,,3.0,,12.0,below_average,,,,,good
8,2.0,3.0,7.0,,,38.0,,12.0,25.0,yes,11.0,below_average,yes,half,yes,,good
9,1.0,5.7,,,none,40.0,empl_contr,,4.0,,11.0,generous,yes,full,,,good
10,3.0,3.5,4.0,4.6,none,36.0,,,3.0,,13.0,generous,,,yes,full,good
11,2.0,6.4,6.4,,,38.0,,,4.0,,15.0,,,full,,,good
12,2.0,3.5,4.0,,none,40.0,,,2.0,no,10.0,below_average,no,half,,half,bad
13,3.0,3.5,4.0,5.1,tcf,37.0,,,4.0,,13.0,generous,,full,yes,full,good
14,1.0,3.0,,,none,36.0,,,10.0,no,11.0,generous,,,,,good
15,2.0,4.5,4.0,,none,37.0,empl_contr,,,,11.0,average,,full,yes,,good
16,1.0,2.8,,,,35.0,,,2.0,,12.0,below_average,,,,,good
17,1.0,2.1,,,tc,40.0,ret_allw,2.0,3.0,no,9.0,below_average,yes,half,,none,bad
18,1.0,2.0,,,none,38.0,none,,,yes,11.0,average,no,none,no,none,bad
19,2.0,4.0,5.0,,tcf,35.0,,13.0,5.0,,15.0,generous,,,,,good
20,2.0,4.3,4.4,,,38.0,,,4.0,,12.0,generous,,full,,full,good
21,2.0,2.5,3.0,,,40.0,none,,,,11.0,below_average,,,,,bad
22,3.0,3.5,4.0,4.6,tcf,27.0,,,,,,,,,,,good
23,2.0,4.5,4.0,,,40.0,,,4.0,,10.0,generous,,half,,full,good
24,1.0,6.0,,,,38.0,,8.0,3.0,,9.0,generous,,,,,good
25,3.0,2.0,2.0,2.0,none,40.0,none,,,,10.0,below_average,,half,yes,full,bad
26,2.0,4.5,4.5,,tcf,,,,,yes,10.0,below_average,yes,none,,half,good
27,2.0,3.0,3.0,,none,33.0,,,,yes,12.0,generous,,,yes,full,good
28,2.0,5.0,4.0,,none,37.0,,,5.0,no,11.0,below_average,yes,full,yes,full,good
29,3.0,2.0,2.5,,,35.0,none,,,,10.0,average,,,yes,full,bad
30,3.0,4.5,4.5,5.0,none,40.0,,,,no,11.0,average,,half,,,good
31,3.0,3.0,2.0,2.5,tc,40.0,none,,5.0,no,10.0,below_average,yes,half,yes,full,bad
32,2.0,2.5,2.5,,,38.0,empl_contr,,,,10.0,average,,,,,bad
33,2.0,4.0,5.0,,none,40.0,none,,3.0,no,10.0,below_average,no,none,,none,bad
34,3.0,2.0,2.5,2.1,tc,40.0,none,2.0,1.0,no,10.0,below_average,no,half,yes,full,bad
35,2.0,2.0,2.0,,none,40.0,none,,,no,11.0,average,yes,none,yes,full,bad
36,1.0,2.0,,,tc,40.0,ret_allw,4.0,0.0,no,11.0,generous,no,none,no,none,bad
37,1.0,2.8,,,none,38.0,empl_contr,2.0,3.0,no,9.0,below_average,yes,half,,none,bad
38,3.0,2.0,2.5,2.0,,37.0,empl_contr,,,,10.0,average,,,yes,none,bad
39,2.0,4.5,4.0,,none,40.0,,,4.0,,12.0,average,yes,full,yes,half,good
40,1.0,4.0,,,none,,none,,,yes,11.0,average,no,none,no,none,bad
41,2.0,2.0,3.0,,none,38.0,empl_contr,,,yes,12.0,generous,yes,none,yes,full,bad
42,2.0,2.5,2.5,,tc,39.0,empl_contr,,,,12.0,average,,,yes,,bad
43,2.0,2.5,3.0,,tcf,40.0,none,,,,11.0,below_average,,,yes,,bad
44,2.0,4.0,4.0,,none,40.0,none,,3.0,,10.0,below_average,no,none,,none,bad
45,2.0,4.5,4.0,,,40.0,,,2.0,no,10.0,below_average,no,half,,half,bad
46,2.0,4.5,4.0,,none,40.0,,,5.0,,11.0,average,,full,yes,full,good
47,2.0,4.6,4.6,,tcf,38.0,,,,,,,yes,half,,half,good
48,2.0,5.0,4.5,,none,38.0,,14.0,5.0,,11.0,below_average,yes,,,full,good
49,2.0,5.7,4.5,,none,40.0,ret_allw,,,,11.0,average,yes,full,yes,full,good
50,2.0,7.0,5.3,,,,,,,,11.0,,yes,full,,,good
51,3.0,2.0,3.0,,tcf,,empl_contr,,,yes,,,yes,half,yes,,good
52,3.0,3.5,4.0,4.5,tcf,35.0,,,,,13.0,generous,,,yes,full,good
53,3.0,4.0,3.5,,none,40.0,empl_contr,,6.0,,11.0,average,yes,full,,full,good
54,3.0,5.0,4.4,,none,38.0,empl_contr,10.0,6.0,,11.0,generous,yes,,,full,good
55,3.0,5.0,5.0,5.0,,40.0,,,,,12.0,average,,half,yes,half,good
56,3.0,6.0,6.0,4.0,,35.0,,,14.0,,9.0,generous,yes,full,yes,full,good
