,vertical_ocean_shear_num
0,1.46118
1,1.40511
2,1.31948
3,1.28795
4,1.28196
5,1.24797
6,1.2348
7,1.23082
8,1.24425
9,1.26937
10,1.2638
11,1.24549
12,1.2617
13,1.25816
14,1.2017
15,1.18982
16,1.18364
17,1.2064
18,1.20387
19,1.16415
20,1.17468
21,1.20062
22,1.17919
23,1.16893
24,1.16084
25,1.18156
26,1.21766
27,1.28453
28,1.40796
29,1.34392
30,1.27303
31,1.36247
32,1.33302
33,1.30689
34,1.30961
35,1.29005
36,1.2575
37,1.21263
38,1.19175
39,1.1228
40,1.0587
41,1.05003
42,1.00022
43,0.911276
44,0.828633
45,0.741446
46,0.645545
47,0.569291
48,0.53231
49,0.520499
50,0.508933
51,0.486919
52,0.454351
53,0.422506
54,0.382182
55,0.425529
56,0.484927
57,0.427203
58,0.441177
59,0.42637
60,0.417784
61,0.447074
62,0.502864
63,0.547525
64,0.60315
65,0.700727
66,0.761352
67,0.856534
68,0.981326
69,1.07734
70,1.23371
71,1.37649
72,1.54112
73,1.67342
74,1.77361
75,1.82492
76,1.81006
77,1.73034
78,1.76512
79,1.78473
80,1.80744
81,1.82962
82,1.88872
83,1.97621
84,2.00332
85,2.00854
86,2.00031
87,2.01294
88,2.02479
89,2.06783
90,2.14591
91,2.16765
92,2.1683
93,2.17827
94,2.2059
95,2.15496
96,2.11535
97,2.13878
98,2.17845
99,2.1733
100,2.20294
101,2.25542
102,2.32352
103,2.37612
104,2.38404
105,2.43881
106,2.48868
107,2.54837
108,2.56924
109,2.57136
110,2.58209
111,2.62196
112,2.67203
113,2.70118
114,2.81168
115,2.8689
116,2.9324
117,2.9362
118,3.00158
119,3.10189
120,3.14582
121,3.18959
122,3.30676
123,3.36919
124,3.44759
125,3.52761
126,3.57577
127,3.6122
128,3.59728
129,3.7557
130,3.96247
131,4.00626
132,4.10649
133,4.21785
134,4.27954
135,4.36463
136,4.45924
137,4.58603
138,4.64524
139,4.74843
140,4.8374
141,4.86868
142,4.90073
143,4.98659
144,5.04621
145,5.07977
146,5.12887
147,5.11609
148,5.1422
149,5.14792
150,5.11202
151,5.08432
152,5.06199
153,5.07804
154,5.06645
155,5.03502
156,5.02691
157,4.98185
158,4.91153
159,4.9046
160,4.88087
161,4.8576
162,4.76838
163,4.71951
164,4.57141
165,4.46288
166,4.36743
167,4.24752
168,4.11926
169,4.02912
170,3.82653
171,3.71845
172,3.50423
173,3.35869
174,3.30745
175,3.27488
176,3.21435
177,3.18951
178,3.14775
179,3.12784
180,3.03679
181,3.03541
182,3.00548
183,2.89853
184,2.81008
185,2.82307
186,2.83172
187,2.80381
188,2.75664
189,2.72237
190,2.64009
191,2.58652
192,2.55546
193,2.51038
194,2.44046
195,2.47293
196,2.52515
197,2.50295
198,2.50628
199,2.52386
200,2.52913
201,2.51237
202,2.49749
203,2.50451
204,2.51572
205,2.4806
206,2.43515
207,2.39379
208,2.3531
209,2.3378
210,2.32165
211,2.30702
212,2.25784
213,2.24531
214,2.2009
215,2.1855
216,2.12946
217,2.07784
218,2.01353
219,1.94784
220,1.9114
221,1.87499
222,1.80536
223,1.7555
224,1.66848
225,1.56135
226,1.47183
227,1.36708
228,1.26914
229,1.18361
230,1.08547
231,0.996378
232,0.884575
233,0.700004
234,0.588724
235,0.504985
236,0.427146
237,0.333217
238,0.275618
239,0.222071
240,0.139461
241,0.10111
242,0.0867471
243,0.0215679
244,0.0215814
245,0.0472426
246,-0.00885278
247,-0.00935197
248,-0.0321969
249,-0.0291362
250,-0.00976175
251,0.01636
252,0.0507161
253,0.113261
254,0.185147
255,0.269434
256,0.30033
257,0.346828
258,0.376052
259,0.365834
260,0.361812
261,0.341651
262,0.39373
263,0.400688
264,0.488381
265,0.523111
266,0.535077
267,0.562459
268,0.589561
269,0.574844
270,0.627483
271,0.570777
272,0.623225
273,0.62318
274,0.600871
275,0.613141
276,0.606684
277,0.601329
278,0.59205
279,0.588261
280,0.616957
281,0.582749
282,0.581808
283,0.581722
284,0.605661
285,0.549351
286,0.515549
287,0.515069
288,0.507046
289,0.478406
290,0.423272
291,0.403117
292,0.402926
293,0.395037
294,0.360502
295,0.285274
296,0.203654
297,0.156948
298,0.0904679
299,0.0282124
300,-0.0144407
301,-0.079146
302,-0.169958
303,-0.244436
304,-0.299421
305,-0.334997
306,-0.394775
307,-0.469345
308,-0.505774
309,-0.539905
310,-0.587542
311,-0.66115
312,-0.726919
313,-0.731137
314,-0.777474
315,-0.882901
316,-0.925298
317,-0.955001
318,-0.999902
319,-1.024
320,-1.07592
321,-1.15231
322,-1.17069
323,-1.24607
324,-1.26916
325,-1.28257
326,-1.3341
327,-1.36564
328,-1.38057
329,-1.40478
330,-1.44287
331,-1.48161
332,-1.48044
333,-1.44681
334,-1.44689
335,-1.45594
336,-1.49134
337,-1.53187
338,-1.53431
339,-1.57384
340,-1.59356
341,-1.61056
342,-1.63004
343,-1.65812
344,-1.73541
345,-1.75799
346,-1.72827
347,-1.71856
348,-1.75376
349,-1.76724
350,-1.74989
351,-1.75299
352,-1.75911
353,-1.79738
354,-1.88267
355,-1.9506
356,-1.94918
357,-1.94691
358,-1.94507
359,-1.97586
360,-1.97998
361,-1.9264
362,-1.9728
363,-1.96761
364,-1.95282
365,-2.00023
366,-1.94328
367,-1.93777
368,-1.92231
369,-1.91356
370,-1.90942
371,-1.88387
372,-1.8713
373,-1.85439
374,-1.83429
375,-1.82558
376,-1.81556
377,-1.82634
378,-1.77539
379,-1.7395
380,-1.73075
381,-1.72827
382,-1.73741
383,-1.70061
384,-1.6501
385,-1.60466
386,-1.57432
387,-1.55164
388,-1.54303
389,-1.52086
390,-1.46425
391,-1.4333
392,-1.39624
393,-1.38337
394,-1.34459
395,-1.2916
396,-1.24366
397,-1.21791
398,-1.18725
399,-1.16697
400,-1.13238
401,-1.09076
402,-1.01442
403,-1.0006
404,-0.952409
405,-0.936128
406,-0.864853
407,-0.816566
408,-0.788367
409,-0.784262
410,-0.766902
411,-0.759013
412,-0.741395
413,-0.748774
414,-0.725137
415,-0.649995
416,-0.588311
417,-0.553624
418,-0.521632
419,-0.513525
420,-0.474834
421,-0.441097
422,-0.449604
423,-0.398685
424,-0.409859
425,-0.437231
426,-0.398836
427,-0.414304
428,-0.420311
429,-0.409082
430,-0.422676
431,-0.399657
432,-0.38799
433,-0.360268
434,-0.34014
435,-0.328609
436,-0.28881
437,-0.241895
438,-0.2487
439,-0.248119
440,-0.222762
441,-0.22075
442,-0.233534
443,-0.198193
444,-0.159842
445,-0.190243
446,-0.23915
447,-0.25323
448,-0.237514
449,-0.237347
450,-0.237049
451,-0.240286
452,-0.278382
453,-0.309169
454,-0.281626
455,-0.270504
456,-0.307615
457,-0.317815
458,-0.306526
459,-0.273906
460,-0.272731
461,-0.283967
462,-0.247055
463,-0.239587
464,-0.265646
465,-0.201184
466,-0.244957
467,-0.228325
468,-0.225525
469,-0.214918
470,-0.192377
471,-0.193708
472,-0.226471
473,-0.237279
474,-0.260964
475,-0.277123
476,-0.262499
477,-0.22189
478,-0.257783
479,-0.301823
480,-0.285181
481,-0.307758
482,-0.324902
483,-0.345349
484,-0.385618
485,-0.401798
486,-0.428554
487,-0.43337
488,-0.41223
489,-0.436918
490,-0.477059
491,-0.493304
492,-0.557418
493,-0.559819
494,-0.576657
495,-0.586997
496,-0.619216
497,-0.654016
498,-0.668232
499,-0.704002
500,-0.746904
501,-0.810479
502,-0.879529
503,-0.917973
504,-0.973657
505,-1.00874
506,-1.08251
507,-1.10365
508,-1.11018
509,-1.14087
510,-1.21335
511,-1.26168
512,-1.27576
513,-1.29461
514,-1.38599
515,-1.48727
516,-1.59112
517,-1.66327
518,-1.7072
519,-1.74099
520,-1.77075
521,-1.81133
522,-1.81347
523,-1.81799
524,-1.81604
525,-1.83957
526,-1.85248
527,-1.81053
528,-1.78087
529,-1.81181
530,-1.84183
531,-1.8785
532,-1.92047
533,-1.94723
534,-1.96403
535,-2.02914
536,-2.08596
537,-2.16525
538,-2.20239
539,-2.27734
540,-2.37706
541,-2.48304
542,-2.55058
543,-2.64396
544,-2.70169
545,-2.7205
546,-2.76045
547,-2.79861
548,-2.81408
549,-2.83641
550,-2.89508
551,-2.93101
552,-2.91552
