,binaryClass_cat,sex_cat,GMAT_num
0,P,0,590.0
1,N,0,550.0
2,N,1,680.0
3,P,0,520.0
4,P,0,560.0
5,N,0,540.0
6,P,1,500.0
7,P,1,600.0
8,P,0,440.0
9,N,0,680.0
10,N,0,520.0
11,N,0,610.0
12,P,0,490.0
13,P,0,620.0
14,P,0,580.0
15,P,0,600.0
16,P,1,420.0
17,N,0,590.0
18,N,0,570.0
19,N,0,640.0
20,N,0,540.0
21,N,0,530.0
22,N,0,660.0
23,N,0,540.0
24,N,0,570.0
25,N,0,710.0
26,P,0,450.0
27,P,1,480.0
28,P,0,650.0
29,N,0,580.0
30,P,1,630.0
31,N,0,590.0
32,P,1,550.0
33,P,1,590.0
34,P,1,610.0
35,P,0,490.0
36,N,0,600.0
37,P,0,570.0
38,P,0,580.0
39,N,0,520.0
40,N,0,610.0
41,N,0,620.0
42,P,0,530.0
43,N,0,670.0
44,N,0,550.0
45,P,0,530.0
46,P,1,500.0
47,N,0,570.0
48,P,0,570.0
49,N,1,640.0
50,N,0,600.0
51,N,0,550.0
52,N,0,720.0
53,P,1,570.0
54,P,0,570.0
55,N,1,610.0
56,P,0,530.0
57,N,0,720.0
58,N,0,580.0
59,P,0,610.0
60,N,0,470.0
