,class_num,DS_Name_cat,T_num,N_num,p_num,k_num,Bin_num,Cost_num,SDratio_num,correl_num,cancor1_num,cancor2_num,fract1_num,fract2_num,skewness_num,kurtosis_num,Hc_num,Hx_num,MCx_num,EnAtr_num,NSRatio_num,Alg_Name_cat
0,3.893,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Ac2
1,5.45,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Alloc80
2,1.791,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BackProp
3,1.557,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Bayes
4,3.114,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,BayesTree
5,1.868,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,C4_5
6,1.09,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,CART
7,0.0,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cal5
8,67.655,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cascade
9,1.324,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Castle
10,5.683,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Cn2
11,24.057,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Default
12,0.779,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Dipol92
13,0.779,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Discrim
14,0.467,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,ITrule
15,1.635,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,IndCART
16,3.893,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,KNN
17,67.655,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Kohonen
18,5.138,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LVQ
19,0.779,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LogDisc
20,3.893,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,NewId
21,5.917,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,QuaDisc
22,1.09,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,RBF
23,2.102,Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Smart
24,9.035,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Ac2
25,9.939,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Alloc80
26,2.711,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BackProp
27,20.781,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Bayes
28,7.228,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,BayesTree
29,1.807,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,C4_5
30,885.438,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,CART
31,2.711,BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Cal5
