,NFL_Rating_num,Passing_Attempts_num,Passing_Completions_num,Passing_Yards_num,Touchdowns_by_Passing_num,Interceptions_num
0,96.8,2429,1546,19869,140,68
1,92.3,5391,3409,40551,273,139
2,88.2,6049,3604,45173,328,185
3,85.8,3942,2397,29527,201,143
4,83.4,2958,1685,22700,153,109
5,83.0,4390,2562,32114,231,166
6,82.7,3153,1817,22771,136,90
7,82.63,4262,2433,32224,255,189
8,82.56,3741,2136,28711,239,183
9,82.2,1580,983,10412,70,53
10,81.9,4475,2654,32838,197,160
11,81.82,3225,1896,22394,120,82
12,81.78,1505,864,10985,54,38
13,81.7,2950,1761,21959,155,132
14,81.64,4291,2440,31874,207,153
15,81.62,2281,1424,16303,82,78
16,80.5,3149,1808,24718,152,138
17,80.44,3602,2110,25094,128,98
18,80.35,6467,3686,47003,342,266
19,80.3,5147,3003,37949,214,185
20,80.2,5604,3297,43040,254,242
21,79.7,1564,911,11142,61,51
22,79.4,3241,1805,22272,147,100
23,79.3,2335,1303,16622,105,78
24,79.0,3817,2193,27613,164,141
25,86.6,2626,1464,23584,174,135
