,binaryClass_cat,no2_concentration_num,cars_per_hour_num,temperature_at_2m_num,wind_speed_num,temperature_diff_2m_25m_num,wind_direction_num,hour_of_day_num
0,N,3.71844,7.6912,9.2,4.8,-0.1,74.4,20.0
1,P,3.10009,7.69894,6.4,3.5,-0.3,56.0,14.0
2,N,3.31419,4.81218,-3.7,0.9,-0.1,281.3,4.0
3,P,4.38826,6.95177,-7.2,1.7,1.2,74.0,23.0
4,P,4.3464,7.51806,-1.3,2.6,-0.1,65.0,11.0
5,N,4.16044,7.67183,2.6,1.6,0.3,224.2,19.0
6,N,4.01277,5.52545,-7.9,1.6,0.3,211.9,5.0
7,N,2.15176,4.68213,-4.1,3.8,-0.1,63.1,4.0
8,N,3.157,7.15618,-12.7,5.2,-0.1,64.5,12.0
9,N,2.37955,4.74493,-1.6,3.0,0.4,58.3,3.0
10,P,3.83298,5.81114,-3.1,1.8,0.3,78.0,2.0
11,P,4.48187,8.10892,1.0,1.2,1.5,215.0,18.0
12,N,4.0483,8.31385,12.2,4.0,-2.8,230.4,17.0
13,N,4.00186,5.22036,-1.5,2.4,0.9,82.7,5.0
14,P,3.2308,6.40853,-0.9,3.0,0.1,235.0,1.0
15,N,4.67189,7.3192,-8.5,0.8,2.9,282.4,20.0
16,P,2.73437,6.6174,6.5,4.1,0.0,88.0,24.0
17,N,3.49651,7.76938,4.2,7.1,-1.1,9.3,10.0
18,P,3.67122,6.4677,-1.1,2.5,1.0,277.0,6.0
19,P,3.67377,7.65064,0.8,3.4,-0.4,70.0,12.0
20,P,3.15274,7.75061,8.2,4.5,0.2,307.0,14.0
21,P,3.42751,5.18178,0.2,0.4,0.2,230.0,5.0
22,N,4.32413,7.63964,-2.1,4.3,-0.2,41.4,11.0
23,N,3.65584,8.00703,-2.8,6.0,-0.2,62.5,15.0
24,P,3.93183,7.75319,-5.4,2.5,1.4,83.0,20.0
25,N,2.28238,4.65396,-5.7,4.9,-0.1,58.5,4.0
26,N,4.13035,6.67582,6.6,1.6,0.4,104.5,23.0
27,P,3.77963,7.79688,5.7,4.8,-1.5,223.0,11.0
28,N,3.97968,8.02224,13.8,0.8,-0.1,201.6,17.0
29,P,3.7542,7.48829,3.2,4.2,-0.6,285.0,12.0
30,P,3.45632,7.75148,2.1,4.9,0.2,149.0,19.0
31,P,2.36085,6.12468,5.3,3.2,0.0,73.0,1.0
32,N,4.23411,7.71244,7.5,1.8,-2.7,273.9,12.0
33,P,2.2192,7.56941,10.7,3.1,-0.9,56.0,13.0
34,N,4.53475,7.35947,-9.6,1.3,0.1,64.6,21.0
35,N,2.10413,7.99564,3.2,6.5,0.0,42.8,18.0
36,N,4.5819,8.30251,3.5,0.5,-2.2,207.9,8.0
37,N,4.03247,5.95584,6.7,1.1,0.6,89.9,5.0
38,P,3.21084,6.74052,-6.4,2.8,-0.1,77.0,22.0
39,P,4.04655,6.45205,-3.0,0.6,1.7,57.0,6.0
40,P,3.94546,6.39359,-13.4,4.4,-0.1,80.0,6.0
41,P,3.89182,7.16317,1.4,0.9,0.2,274.0,10.0
42,P,3.22287,7.643,8.5,4.3,-0.2,322.0,13.0
43,P,3.3569,5.93754,-2.8,2.1,-0.2,65.0,1.0
44,N,3.31782,7.61923,16.6,4.8,-1.1,136.9,14.0
45,P,3.81551,8.34854,2.7,7.7,0.1,219.0,17.0
46,N,3.45632,8.1274,19.1,5.1,-1.2,266.6,16.0
47,P,2.66723,6.83626,7.8,7.5,0.8,220.0,21.0
48,P,3.76815,5.27811,1.5,3.3,1.6,251.0,5.0
49,N,2.87356,5.68358,0.3,2.1,1.1,220.4,5.0
50,P,3.48431,7.76004,-7.3,0.5,-0.3,176.0,13.0
51,N,2.92852,6.30079,-1.6,2.0,0.1,289.1,7.0
52,P,3.32143,5.52146,1.1,1.0,0.2,9.0,5.0
53,N,4.35543,7.79811,16.1,1.7,-0.2,246.1,19.0
54,P,3.7329,6.14419,-7.9,1.2,0.3,56.0,11.0
55,P,2.70805,6.54965,1.1,2.8,0.0,66.0,24.0
56,N,2.4248,5.64545,0.3,7.1,-0.1,69.5,2.0
57,P,3.45632,6.632,4.1,3.9,0.3,212.0,6.0
58,P,4.26127,7.64012,5.9,2.4,2.6,249.0,16.0
59,P,2.57261,6.86589,-6.8,6.9,-0.1,50.0,10.0
60,P,3.79549,6.6896,0.3,0.6,0.7,252.0,21.0
61,P,4.08429,7.36771,1.8,1.7,0.7,91.0,22.0
62,N,5.11259,7.6256,-7.9,1.0,-0.2,188.9,12.0
63,N,3.37417,5.50533,3.4,6.3,0.6,186.0,2.0
64,N,4.13035,8.06778,3.9,2.8,-0.1,43.5,18.0
65,P,4.35927,7.76345,9.2,5.7,-0.9,199.0,14.0
66,P,4.27667,8.25713,11.0,5.5,-1.0,216.0,17.0
67,N,2.69463,5.57595,-3.5,4.6,-0.1,62.3,5.0
68,N,4.04655,7.93487,9.7,1.8,-0.6,255.5,15.0
69,P,3.91202,6.32972,1.5,1.6,0.5,275.0,24.0
70,N,3.19458,4.83628,2.0,1.7,-0.1,63.1,4.0
71,N,4.01998,7.78322,3.7,2.2,0.0,40.5,19.0
72,N,3.2068,7.67276,-7.1,1.5,-0.4,53.1,15.0
73,P,3.8111,8.22013,2.0,3.5,-0.2,82.0,8.0
74,N,3.87536,7.53155,-0.7,3.3,-0.2,179.3,20.0
75,N,4.43438,7.83992,1.0,6.9,-0.3,81.7,11.0
76,P,2.85647,5.0626,2.4,2.1,0.3,216.0,4.0
77,P,4.2312,8.17245,4.2,5.9,0.3,214.0,16.0
78,P,4.11087,8.24905,0.8,1.3,0.2,215.0,8.0
79,P,3.48124,6.53088,0.5,2.1,0.0,83.0,23.0
80,N,4.10099,8.18702,-4.0,0.9,0.9,245.9,16.0
81,N,3.32504,7.81682,-3.6,4.0,0.0,43.4,18.0
82,N,4.75014,7.62462,3.8,2.0,2.8,283.1,20.0
83,P,2.62467,7.23634,5.0,3.5,-0.1,62.0,23.0
84,P,3.99268,7.98718,-1.6,5.3,0.6,227.0,18.0
85,N,3.95316,7.41156,3.3,6.8,1.0,197.2,20.0
86,P,3.89589,7.91681,-9.1,1.6,0.6,21.0,14.0
87,P,5.115,7.84463,-0.1,1.0,1.8,174.0,18.0
88,N,2.11626,4.68213,-7.6,4.4,0.1,66.2,3.0
89,N,3.71113,8.21311,1.1,9.3,0.1,213.9,17.0
90,P,4.3399,6.1506,-0.6,1.3,1.2,337.0,7.0
91,P,2.00148,6.29342,5.6,4.3,0.0,98.0,1.0
92,N,4.2312,5.8944,-1.0,1.9,2.7,164.0,1.0
93,P,3.96651,6.57088,5.5,0.8,0.1,89.0,6.0
94,P,4.14155,8.3163,6.3,1.2,1.3,265.0,17.0
95,N,4.21065,7.83003,9.5,0.8,0.1,110.7,19.0
96,P,4.54223,8.26178,1.0,3.4,1.3,248.0,8.0
97,N,3.9279,5.47227,-3.8,3.6,1.9,76.7,6.0
98,N,2.93916,6.53088,-4.2,3.8,0.1,64.3,8.0
99,P,2.5177,7.0775,4.9,4.9,-0.1,229.0,11.0
100,N,3.39786,4.77912,-3.7,0.9,-0.1,311.0,2.0
101,P,3.19458,5.7462,-6.4,5.1,-0.1,82.0,6.0
102,P,3.82864,4.77912,-1.0,1.1,2.3,291.0,3.0
103,N,1.335,5.47646,-1.0,4.4,0.4,5.8,5.0
104,P,4.44852,7.87131,5.9,1.3,-0.1,85.0,9.0
105,N,3.71601,7.19519,-2.5,5.0,0.0,66.3,22.0
106,N,1.79176,4.89035,-4.1,6.3,-0.1,45.1,6.0
107,N,4.75617,7.82724,-10.1,1.7,0.6,70.8,7.0
108,P,3.88773,5.71043,-2.1,1.0,0.5,211.0,6.0
109,P,2.95491,4.80402,2.8,5.0,-0.1,80.0,4.0
110,N,4.31482,7.93164,14.2,8.1,-2.1,209.1,14.0
111,N,4.12066,8.17527,-3.9,2.8,0.3,52.4,16.0
112,P,3.37759,5.76205,0.1,0.4,0.2,145.0,2.0
113,P,3.99083,7.02909,-16.2,2.6,0.9,73.0,22.0
114,P,4.11087,7.62217,-3.4,2.9,1.7,213.0,20.0
115,P,3.01062,7.17396,-7.0,7.8,-0.1,49.0,11.0
116,P,4.10759,7.5475,-8.0,0.3,-0.2,289.0,14.0
117,P,2.54945,5.52943,-1.5,7.5,0.3,3.0,5.0
118,P,1.50408,5.86079,6.5,3.6,0.1,49.0,2.0
119,P,3.57235,7.32778,-4.9,4.6,0.3,359.0,21.0
120,P,4.56331,8.1778,-4.2,1.4,0.2,86.0,16.0
121,P,4.38577,7.73237,-5.2,0.6,0.1,91.0,7.0
122,N,3.44042,6.79571,-4.0,3.7,-0.2,56.9,11.0
123,N,1.72277,6.06146,-4.7,4.8,-0.3,44.8,9.0
124,N,4.29729,7.6353,9.5,1.6,-5.4,226.6,11.0
125,P,3.35341,7.04925,2.3,3.1,0.7,225.0,22.0
126,N,4.3386,7.67879,4.1,4.4,0.5,297.1,10.0
127,P,2.99072,6.93925,4.2,5.5,-0.4,238.0,9.0
128,N,4.237,6.3315,-5.1,1.6,1.0,251.6,8.0
129,P,4.5819,8.26256,3.8,0.7,-0.4,161.0,8.0
130,N,4.17285,7.91498,-3.5,1.8,0.2,222.0,18.0
131,P,3.56105,6.39024,2.0,0.6,1.1,177.0,7.0
132,N,3.16548,6.34036,-4.1,2.9,-0.1,60.6,8.0
133,P,4.39198,7.91206,-5.2,4.5,-0.1,76.0,9.0
134,P,3.01062,7.96728,9.8,2.2,0.0,44.0,18.0
135,P,4.40672,7.83637,8.9,0.5,-0.6,296.0,15.0
136,P,4.29729,8.21203,2.9,2.2,-0.1,73.0,17.0
