,day_num,pm10_concentration_num,cars_per_hour_num,temperature_at_2m_num,wind_speed_num,temperature_diff_2m_25m_num,wind_direction_num,hour_of_day_num
0,116,3.66356,7.74414,-4.4,4.2,0.0,18.0,19
1,506,3.04452,8.03398,-5.7,4.8,-0.3,69.1,9
2,95,3.71357,4.70048,-13.5,4.3,0.2,80.0,3
3,161,2.94444,7.5251,1.4,3.0,0.1,177.0,22
4,80,4.06044,7.7626,4.1,5.6,1.1,287.0,7
5,33,3.68888,7.88683,5.8,2.3,-0.1,200.0,9
6,129,3.3322,7.81521,2.7,1.9,0.4,228.0,7
7,155,3.3673,7.77779,7.1,8.9,0.2,220.0,15
8,132,2.07944,6.89163,4.1,2.0,0.1,183.0,9
9,480,1.94591,7.6774,1.1,5.2,0.1,43.1,10
10,98,3.3322,5.71373,-9.0,3.4,0.0,80.0,6
11,558,3.21888,8.33471,1.6,4.4,-0.3,78.1,16
12,121,1.09861,4.65396,-0.4,5.7,0.8,267.0,3
13,122,5.3845,7.38895,-4.8,6.0,0.0,81.0,20
14,51,3.93183,7.81763,-0.9,1.4,-0.3,236.0,15
15,552,3.3673,4.96981,-0.5,0.6,1.7,341.1,4
16,150,2.83321,7.80384,-1.0,1.8,0.0,16.0,7
17,428,3.04452,7.62168,-2.3,5.2,-0.1,66.1,12
18,582,2.99573,5.21494,5.8,2.6,-0.2,68.8,3
19,538,4.21951,7.64204,5.1,2.2,1.1,199.0,18
20,579,3.04452,7.77149,10.8,2.4,-1.5,329.8,13
21,572,3.7612,8.31385,12.2,4.0,-2.8,230.4,17
22,512,3.58352,7.63964,-2.8,2.1,-1.6,210.2,11
23,604,2.48491,7.05531,11.2,3.3,2.3,302.8,23
24,602,2.48491,7.38275,13.6,0.6,-0.8,159.8,11
25,460,3.3322,7.56786,-12.3,3.7,-0.2,70.0,12
26,127,3.13549,7.92226,4.2,1.4,0.2,161.0,7
27,417,2.07944,7.38771,-2.8,4.5,0.1,53.3,21
28,477,3.68888,7.4793,3.4,7.2,0.5,209.1,12
29,87,2.99573,3.97029,-11.7,2.7,1.7,81.0,4
30,51,3.98898,8.05102,-2.5,3.2,0.1,83.0,9
31,573,3.04452,6.67834,3.9,4.8,-0.6,66.8,8
32,177,3.55535,7.34601,3.0,1.4,1.0,200.0,21
33,489,1.79176,7.54062,0.0,6.1,-0.2,207.5,19
34,530,3.04452,4.82028,-2.6,2.1,0.7,72.8,4
35,65,2.56495,7.80057,1.0,2.2,0.0,99.0,7
36,49,4.36945,7.41878,-0.2,1.1,3.2,138.0,22
37,196,3.46574,7.96032,7.7,4.8,-0.2,66.0,17
38,192,4.60517,8.23669,10.7,5.3,-0.9,205.0,17
39,212,3.09104,8.30721,9.3,7.3,-0.5,206.0,17
40,208,4.15888,8.26333,9.5,5.0,-0.9,208.0,17
41,62,1.79176,7.50329,1.6,4.5,0.1,117.0,19
42,135,2.48491,6.49527,-3.4,0.5,1.1,217.0,6
43,149,3.21888,7.74414,-1.3,4.2,-0.2,59.0,15
44,398,3.73767,6.75577,-3.2,2.6,0.6,70.5,21
45,174,4.2485,6.51915,-1.8,2.3,1.1,81.0,23
