,binaryClass_cat,pm10_concentration_num,cars_per_hour_num,temperature_at_2m_num,wind_speed_num,temperature_diff_2m_25m_num,wind_direction_num,hour_of_day_num
0,P,3.66356,7.74414,-4.4,4.2,0.0,18.0,19.0
1,N,3.04452,8.03398,-5.7,4.8,-0.3,69.1,9.0
2,P,3.71357,4.70048,-13.5,4.3,0.2,80.0,3.0
3,P,2.94444,7.5251,1.4,3.0,0.1,177.0,22.0
4,P,4.06044,7.7626,4.1,5.6,1.1,287.0,7.0
5,P,3.68888,7.88683,5.8,2.3,-0.1,200.0,9.0
6,P,3.3322,7.81521,2.7,1.9,0.4,228.0,7.0
7,P,3.3673,7.77779,7.1,8.9,0.2,220.0,15.0
8,P,2.07944,6.89163,4.1,2.0,0.1,183.0,9.0
9,N,1.94591,7.6774,1.1,5.2,0.1,43.1,10.0
10,P,3.3322,5.71373,-9.0,3.4,0.0,80.0,6.0
11,N,3.21888,8.33471,1.6,4.4,-0.3,78.1,16.0
12,P,1.09861,4.65396,-0.4,5.7,0.8,267.0,3.0
13,P,5.3845,7.38895,-4.8,6.0,0.0,81.0,20.0
14,P,3.93183,7.81763,-0.9,1.4,-0.3,236.0,15.0
15,N,3.3673,4.96981,-0.5,0.6,1.7,341.1,4.0
16,P,2.83321,7.80384,-1.0,1.8,0.0,16.0,7.0
17,N,3.04452,7.62168,-2.3,5.2,-0.1,66.1,12.0
18,N,2.99573,5.21494,5.8,2.6,-0.2,68.8,3.0
19,N,4.21951,7.64204,5.1,2.2,1.1,199.0,18.0
20,N,3.04452,7.77149,10.8,2.4,-1.5,329.8,13.0
21,N,3.7612,8.31385,12.2,4.0,-2.8,230.4,17.0
22,N,3.58352,7.63964,-2.8,2.1,-1.6,210.2,11.0
23,N,2.48491,7.05531,11.2,3.3,2.3,302.8,23.0
24,N,2.48491,7.38275,13.6,0.6,-0.8,159.8,11.0
25,N,3.3322,7.56786,-12.3,3.7,-0.2,70.0,12.0
26,P,3.13549,7.92226,4.2,1.4,0.2,161.0,7.0
27,N,2.07944,7.38771,-2.8,4.5,0.1,53.3,21.0
28,N,3.68888,7.4793,3.4,7.2,0.5,209.1,12.0
29,P,2.99573,3.97029,-11.7,2.7,1.7,81.0,4.0
30,P,3.98898,8.05102,-2.5,3.2,0.1,83.0,9.0
31,N,3.04452,6.67834,3.9,4.8,-0.6,66.8,8.0
32,P,3.55535,7.34601,3.0,1.4,1.0,200.0,21.0
33,N,1.79176,7.54062,0.0,6.1,-0.2,207.5,19.0
34,N,3.04452,4.82028,-2.6,2.1,0.7,72.8,4.0
35,P,2.56495,7.80057,1.0,2.2,0.0,99.0,7.0
36,P,4.36945,7.41878,-0.2,1.1,3.2,138.0,22.0
37,P,3.46574,7.96032,7.7,4.8,-0.2,66.0,17.0
38,P,4.60517,8.23669,10.7,5.3,-0.9,205.0,17.0
39,P,3.09104,8.30721,9.3,7.3,-0.5,206.0,17.0
40,P,4.15888,8.26333,9.5,5.0,-0.9,208.0,17.0
41,P,1.79176,7.50329,1.6,4.5,0.1,117.0,19.0
42,P,2.48491,6.49527,-3.4,0.5,1.1,217.0,6.0
43,P,3.21888,7.74414,-1.3,4.2,-0.2,59.0,15.0
44,N,3.73767,6.75577,-3.2,2.6,0.6,70.5,21.0
45,P,4.2485,6.51915,-1.8,2.3,1.1,81.0,23.0
46,N,3.8712,4.77068,-0.5,0.5,0.7,358.0,4.0
47,P,4.00733,7.88721,7.6,4.0,-0.6,180.0,13.0
48,N,2.94444,5.42053,3.4,2.9,0.4,74.7,3.0
49,P,3.09104,3.80666,7.4,3.2,-0.1,225.0,3.0
50,N,1.94591,4.8752,-3.5,3.8,-0.1,60.5,3.0
51,P,3.52636,8.25088,19.8,4.8,-1.9,260.0,17.0
52,N,3.8712,7.85516,16.3,3.4,-0.1,225.3,20.0
53,N,2.99573,8.25427,-7.3,5.0,0.0,60.0,8.0
54,N,4.07754,7.36201,-0.6,0.8,1.1,88.3,21.0
55,N,3.21888,7.59388,-0.4,4.5,-0.2,64.6,13.0
56,N,3.49651,8.35208,17.8,5.0,-2.5,219.6,16.0
57,P,3.2581,4.62497,-1.9,2.2,2.2,268.0,4.0
58,N,2.99573,7.39879,-10.0,3.8,-0.1,78.4,20.0
59,N,2.70805,6.48616,-1.3,2.9,0.7,63.3,24.0
60,N,3.09104,6.20456,4.7,1.5,1.1,104.4,1.0
61,P,4.06044,7.64348,0.3,1.5,-0.3,172.0,13.0
62,N,3.61092,7.59337,8.8,2.2,0.0,186.0,21.0
63,N,2.56495,6.43455,-9.3,3.6,0.1,71.2,9.0
64,N,1.60944,7.00033,-2.4,5.8,0.0,61.0,22.0
65,N,5.0876,7.49499,2.9,1.2,2.1,271.1,21.0
