,Overtime_cat,Home/Away_cat,Favorite_Points_num,Underdog_Points_num,Pointspread_num,Favorite_Name_cat,Underdog_name_cat,Year_num,Week_num,Weekday_cat
0,,away,27,24,4.0,BUF,MIA,89,1,
1,,at_home,17,14,3.0,CHI,CIN,89,1,
2,,away,51,0,2.5,CLE,PIT,89,1,
3,,at_home,28,0,5.5,NO,DAL,89,1,
4,,at_home,38,7,5.5,MIN,HOU,89,1,
5,,at_home,34,20,6.0,DEN,KC,89,1,
6,,away,31,21,6.0,LAN,ATL,89,1,
7,,at_home,24,27,2.5,NYJ,NE,89,1,
8,,away,16,13,1.5,PHX,DET,89,1,
9,,at_home,40,14,3.5,LAA,SD,89,1,
10,,away,30,24,3.0,SF,IND,89,1,
11,,at_home,31,7,5.5,PHA,SEA,89,1,
12,,at_home,21,23,3.0,GB,TB,89,1,
13,,at_home,24,27,4.0,WAS,NYG,89,1,Monday_Night
14,,at_home,27,21,1.5,ATL,DAL,89,2,
15,,at_home,24,14,11.0,NYG,DET,89,2,
16,,away,34,27,4.0,HOU,SD,89,2,
17,,at_home,31,17,6.0,LAN,IND,89,2,
18,,at_home,24,19,2.0,KC,LAA,89,2,
19,,at_home,10,24,6.0,NE,MIA,89,2,
20,,at_home,38,7,0.0,CHI,MIN,89,2,
21,,away,34,35,4.5,NO,GB,89,2,
22,,at_home,38,24,7.0,CLE,NYJ,89,2,
23,,at_home,37,42,3.0,WAS,PHA,89,2,
24,,at_home,24,34,7.0,SEA,PHX,89,2,
25,,at_home,41,10,10.0,CIN,PIT,89,2,
26,,away,20,16,7.5,SF,TB,89,2,
27,,at_home,14,28,6.5,BUF,DEN,89,2,Monday_Night
28,,at_home,13,9,7.5,IND,ATL,89,3,
29,yes,at_home,41,47,3.5,HOU,BUF,89,3,
30,,away,47,27,7.0,CHI,DET,89,3,
31,,at_home,41,38,10.0,LAN,GB,89,3,
32,,at_home,21,6,2.5,SD,KC,89,3,
33,,at_home,31,21,6.5,DEN,LAA,89,3,
34,,away,14,27,8.5,MIN,PIT,89,3,
35,,away,10,20,2.5,NO,TB,89,3,
36,,at_home,33,40,4.0,MIA,NYJ,89,3,
37,,at_home,35,7,7.5,NYG,PHX,89,3,
38,,at_home,28,38,1.5,PHA,SF,89,3,
39,,at_home,3,24,3.5,NE,SEA,89,3,
40,,away,30,7,4.5,WAS,DAL,89,3,
41,,at_home,21,14,4.0,CIN,CLE,89,3,Monday_Night
42,,at_home,23,21,7.0,GB,ATL,89,4,
43,,away,21,17,5.0,CIN,KC,89,4,
44,,at_home,16,13,5.5,CLE,DEN,89,4,
45,,at_home,10,17,3.0,NYJ,IND,89,4,
46,,at_home,12,13,5.0,SF,LAN,89,4,
47,,at_home,39,7,7.0,HOU,MIA,89,4,
48,,at_home,31,10,7.0,BUF,NE,89,4,
49,,away,30,13,7.0,NYG,DAL,89,4,
50,,at_home,3,23,2.5,DET,PIT,89,4,
51,,at_home,13,24,4.0,PHX,SD,89,4,
52,,at_home,20,24,1.0,LAA,SEA,89,4,
53,,at_home,17,3,8.0,MIN,TB,89,4,
54,,away,16,14,1.5,WAS,NO,89,4,
55,,at_home,27,13,3.5,CHI,PHA,89,4,Monday_Night
56,,at_home,26,14,10.5,LAN,ATL,89,5,
57,,away,14,37,0.0,BUF,IND,89,5,
58,,away,35,42,4.5,CHI,TB,89,5,
59,,away,26,16,4.0,CIN,PIT,89,5,
60,,away,10,13,3.5,CLE,MIA,89,5,
61,,at_home,31,13,7.0,GB,DAL,89,5,
62,,at_home,24,17,12.0,MIN,DET,89,5,
63,,away,13,23,4.0,HOU,NE,89,5,
64,,at_home,16,20,7.0,SEA,KC,89,5,
65,,away,24,20,4.0,SF,NO,89,5,
66,,at_home,21,19,3.0,PHA,NYG,89,5,
67,,at_home,30,28,9.5,WAS,PHX,89,5,
68,,at_home,16,10,7.0,DEN,SD,89,5,
69,,at_home,7,14,3.0,NYJ,LAA,89,5,Monday_Night
70,,at_home,16,17,6.0,TB,DET,89,6,
71,,at_home,26,14,6.5,MIN,GB,89,6,
72,,at_home,28,33,7.0,CHI,HOU,89,6,
73,,at_home,14,3,5.0,DEN,IND,89,6,
74,,at_home,20,14,3.0,LAA,KC,89,6,
75,,at_home,13,20,7.5,CIN,MIA,89,6,
76,,at_home,16,15,2.5,ATL,NE,89,6,
77,,at_home,29,14,5.5,NO,NYJ,89,6,
78,,away,17,5,3.5,PHA,PHX,89,6,
79,,at_home,7,17,9.0,CLE,PIT,89,6,
80,,away,31,14,14.0,SF,DAL,89,6,
81,,at_home,16,17,0.0,SD,SEA,89,6,
82,,at_home,20,17,3.0,NYG,WAS,89,6,
83,,away,20,23,3.5,LAN,BUF,89,6,Monday_Night
84,,at_home,34,20,2.0,PHX,ATL,89,7,
85,,at_home,36,28,9.0,KC,DAL,89,7,
86,,at_home,21,24,3.0,SEA,DEN,89,7,
87,,at_home,23,20,3.0,MIA,GB,89,7,
88,,at_home,12,23,6.5,CIN,IND,89,7,
89,,at_home,10,7,6.5,PHA,LAA,89,7,
90,,away,20,7,7.5,MIN,DET,89,7,
91,,at_home,37,20,11.0,SF,NE,89,7,
92,,at_home,21,40,7.0,LAN,NO,89,7,
93,,away,20,13,4.0,NYG,SD,89,7,
94,,at_home,34,3,7.0,BUF,NYJ,89,7,
95,,at_home,27,0,10.0,HOU,PIT,89,7,
96,,at_home,32,28,8.0,WAS,TB,89,7,
97,,at_home,27,7,1.0,CLE,CHI,89,7,Monday_Night
98,,at_home,20,13,7.0,NO,ATL,89,8,
99,yes,at_home,23,20,6.5,GB,DET,89,8,
100,,at_home,28,17,2.5,CLE,HOU,89,8,
101,,at_home,23,17,2.0,PIT,KC,89,8,
102,,at_home,20,10,2.5,CHI,LAN,89,8,
103,,at_home,31,17,4.0,BUF,MIA,89,8,
