,binaryClass_cat,a1_num,a2_num,a3_num,a4_num,a5_num,a6_num,a7_num,a8_num,a9_num,a10_num
0,P,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0
1,P,1.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0
2,N,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-1.0,1.0
3,N,-1.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0
4,P,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,1.0,0.0
5,N,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-1.0,-1.0
6,N,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.0
7,N,-1.0,-1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0
8,P,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0
9,P,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0
10,P,-1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-1.0
11,N,-1.0,0.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,-1.0
12,N,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-1.0
13,P,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,-1.0,-1.0
14,N,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,1.0
15,P,1.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,1.0,-1.0
16,P,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0
17,N,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,1.0
18,P,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
19,P,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0
20,N,-1.0,-1.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0
21,P,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0
22,N,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0
23,P,1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0
24,N,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0
25,P,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,0.0
26,N,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0
27,N,-1.0,1.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0
28,P,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,0.0,1.0
29,N,-1.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0
30,P,1.0,0.0,1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.0
31,N,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
32,P,-1.0,0.0,-1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,-1.0
33,P,1.0,1.0,1.0,-1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0
34,P,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0
35,P,1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,1.0
