,binaryClass_cat,col_1_num,col_2_num,col_3_num,col_4_num,col_5_num,col_6_num
0,P,27.0,41.3,2948.0,26.2,51.7,42.7
1,P,22.9,66.7,4644.0,3.0,45.7,41.8
2,P,26.3,58.1,3665.0,3.0,50.8,38.5
3,P,29.1,39.9,2878.0,18.3,51.5,38.8
4,N,28.1,62.6,4493.0,7.0,50.8,39.7
5,N,26.2,63.9,3855.0,3.0,50.7,31.1
6,P,29.1,56.0,4917.0,6.0,51.5,45.5
7,N,26.8,54.6,4524.0,14.3,51.3,41.3
8,N,28.4,55.2,5079.0,71.1,53.5,32.6
9,N,32.3,52.6,3738.0,15.3,51.8,43.8
10,P,25.9,40.6,3354.0,25.9,51.4,35.8
11,P,25.0,61.9,4623.0,1.0,48.0,36.7
12,P,26.4,59.5,3290.0,0.3,50.1,33.6
13,N,28.6,52.6,4507.0,12.8,51.5,41.4
14,N,27.2,52.9,3772.0,6.9,51.3,32.2
15,P,28.8,59.0,3751.0,1.2,51.4,38.5
16,P,28.7,59.9,3853.0,4.8,51.0,38.9
17,N,27.5,38.5,3112.0,7.2,50.9,30.1
18,P,24.8,42.2,3090.0,29.8,51.4,39.3
19,N,28.6,54.7,3302.0,0.3,51.3,38.8
20,N,27.1,52.3,4309.0,17.8,51.1,34.2
21,N,29.0,58.5,4340.0,3.1,52.2,41.0
22,N,26.3,52.8,4180.0,11.2,51.0,39.2
23,P,26.8,57.6,3859.0,0.9,51.0,40.1
24,P,25.1,41.0,2626.0,36.8,51.6,37.5
25,P,29.4,48.8,3781.0,10.3,51.8,36.8
26,P,27.1,59.2,3500.0,0.3,50.0,34.7
27,P,28.6,59.3,3789.0,2.7,51.2,34.7
28,N,27.8,65.2,4563.0,5.7,49.3,44.0
29,N,28.0,57.6,3737.0,0.3,51.1,34.1
30,P,30.1,52.5,4701.0,10.8,51.6,41.7
31,P,23.9,55.2,3077.0,1.9,50.7,41.7
32,P,30.3,52.7,4712.0,11.9,52.2,41.7
33,N,26.5,38.5,3252.0,22.2,51.0,29.4
34,P,26.4,50.3,3086.0,0.4,49.5,38.9
35,N,27.7,53.2,4020.0,9.1,51.5,38.1
36,P,29.4,51.6,3387.0,6.7,51.3,39.8
37,N,29.0,60.0,3719.0,1.3,51.0,29.0
38,P,30.7,50.2,3971.0,8.0,52.0,44.7
39,N,29.2,46.4,3959.0,2.7,50.9,40.2
40,P,24.8,37.8,2990.0,30.5,50.9,34.3
41,P,27.4,53.3,3123.0,0.3,50.3,38.5
42,P,28.1,41.8,3119.0,15.8,51.6,41.6
43,P,26.4,47.4,3606.0,12.5,51.0,42.0
44,P,23.1,67.3,3227.0,0.6,50.6,36.6
45,N,26.8,57.1,3468.0,0.2,51.1,39.5
46,N,26.8,47.8,3712.0,18.5,50.6,30.2
47,P,27.5,63.5,4053.0,2.1,50.3,40.3
48,P,30.0,41.6,3061.0,3.9,51.6,41.6
49,P,27.2,54.5,3812.0,2.9,50.9,40.2
50,N,27.2,62.9,3815.0,0.8,50.0,34.4
