,col_3_num,col_1_num,col_2_num
0,48,50,5
1,36,40,5
2,27,30,5
3,17,20,5
4,5,10,5
5,-5,0,5
6,-15,-10,5
7,-25,-20,5
8,-35,-30,5
9,-46,-40,5
10,-56,-50,5
11,-66,-60,5
12,40,50,10
13,29,40,10
14,18,30,10
15,5,20,10
16,-8,10,10
17,-20,0,10
18,-30,-10,10
19,-43,-20,10
20,-55,-30,10
21,-68,-40,10
22,-80,-50,10
23,-93,-60,10
24,35,50,15
25,23,40,15
26,10,30,15
27,-5,20,15
28,-18,10,15
29,-29,0,15
30,-42,-10,15
31,-55,-20,15
32,-70,-30,15
33,-83,-40,15
34,-97,-50,15
35,-112,-60,15
36,32,50,20
37,18,40,20
38,4,30,20
39,-10,20,20
40,-23,10,20
41,-34,0,20
42,-50,-10,20
43,-64,-20,20
44,-79,-30,20
45,-94,-40,20
46,-108,-50,20
47,-121,-60,20
48,30,50,25
49,15,40,25
50,-1,30,25
51,-15,20,25
52,-28,10,25
53,-38,0,25
54,-55,-10,25
55,-72,-20,25
56,-88,-30,25
57,-105,-40,25
58,-118,-50,25
59,-130,-60,25
60,28,50,30
61,13,40,30
62,-5,30,30
63,-18,20,30
64,-33,10,30
65,-44,0,30
66,-60,-10,30
67,-76,-20,30
68,-92,-30,30
69,-109,-40,30
70,-124,-50,30
71,-134,-60,30
72,27,50,35
73,11,40,35
74,-6,30,35
75,-20,20,35
76,-35,10,35
77,-48,0,35
78,-65,-10,35
79,-80,-20,35
80,-96,-30,35
81,-113,-40,35
82,-130,-50,35
83,-137,-60,35
84,26,50,40
85,10,40,40
86,-7,30,40
87,-21,20,40
88,-37,10,40
89,-52,0,40
90,-68,-10,40
91,-83,-20,40
92,-100,-30,40
93,-117,-40,40
94,-135,-50,40
95,-140,-60,40
96,25,50,45
97,9,40,45
98,-8,30,45
99,-22,20,45
100,-39,10,45
101,-54,0,45
102,-70,-10,45
103,-86,-20,45
104,-103,-30,45
105,-120,-40,45
106,-139,-50,45
107,-143,-60,45
108,25,50,50
109,8,40,50
110,-9,30,50
111,-23,20,50
112,-40,10,50
113,-55,0,50
114,-72,-10,50
115,-88,-20,50
116,-105,-30,50
117,-123,-40,50
118,-142,-50,50
119,-145,-60,50
