,col_5_num,col_2_num,col_3_num,col_4_cat
0,13876,1,1,1
1,11608,1,3,0
2,18701,1,3,1
3,11283,1,2,0
4,11767,1,3,0
5,20872,2,2,1
6,11772,2,2,0
7,10535,2,1,0
8,12195,2,3,0
9,12313,3,2,0
10,14975,3,1,1
11,21371,3,2,1
12,19800,3,3,1
13,11417,4,1,0
14,20263,4,3,1
15,13231,4,3,0
16,12884,4,2,0
17,13245,5,2,0
18,13677,5,3,0
19,15965,5,1,1
20,12336,6,1,0
21,21352,6,3,1
22,13839,6,2,0
23,22884,6,2,1
24,16978,7,1,1
25,14803,8,2,0
26,17404,8,1,1
27,22184,8,3,1
28,13548,8,1,0
29,14467,10,1,0
30,15942,10,2,0
31,23174,10,3,1
32,23780,10,2,1
33,25410,11,2,1
34,14861,11,1,0
35,16882,12,2,0
36,24170,12,3,1
37,15990,13,1,0
38,26330,13,2,1
39,17949,14,2,0
40,25685,15,3,1
41,27837,16,2,1
42,18838,16,2,0
43,17483,16,1,0
44,19207,17,2,0
45,19346,20,1,0
