,Particulates_num,Total_Mortality_num,Respiratory_Mortality_num,Cardiovascular_Mortality_num,Temperature_num,Relative_Humidity_num,Carbon_Monoxide_num,Sulfur_Dioxideglm.LAshumway_num,Nitrogen_Dioxide_num,Hydrocarbons_num,Ozone_num
0,72.72,183.63,11.9,97.85,72.38,29.2,11.51,3.37,9.64,45.79,6.69
1,49.6,191.05,10.75,104.64,67.19,67.51,8.92,2.59,10.05,43.9,6.83
2,55.68,180.09,9.33,94.36,62.94,61.42,9.48,3.29,7.8,32.18,4.98
3,55.16,184.67,9.54,98.05,72.49,58.99,10.28,3.04,13.39,40.43,9.25
4,66.02,173.6,8.27,95.85,74.25,34.8,10.57,3.39,11.9,48.53,9.15
5,44.01,183.73,7.55,95.98,67.88,66.78,7.99,2.57,10.11,48.61,8.8
6,47.83,171.79,9.12,88.63,74.2,35.16,10.51,2.35,9.49,38.76,7.42
7,43.6,177.95,7.76,90.85,74.88,55.86,9.84,3.38,10.72,45.19,10.68
8,24.99,180.01,7.47,92.06,64.17,52.68,6.61,1.5,5.77,31.65,5.85
9,40.41,163.71,7.44,88.75,67.09,50.94,7.9,2.56,7.43,40.2,7.63
10,51.93,179.59,8.91,94.6,78.29,32.73,10.74,3.04,12.18,48.69,8.51
11,32.26,174.43,9.73,92.86,68.07,55.73,5.89,2.64,7.39,32.93,7.86
12,73.65,187.41,9.86,98.02,86.7,37.86,12.7,5.14,20.7,72.22,15.69
13,30.15,163.37,8.04,87.64,69.43,63.45,4.82,2.87,7.86,37.39,9.52
14,41.1,182.37,10.73,97.4,75.22,62.61,7.1,3.54,10.01,41.79,11.32
15,41.53,156.69,6.73,83.24,77.29,65.41,6.29,2.67,10.12,34.38,13.42
16,29.46,174.64,7.77,86.6,69.96,63.21,5.03,1.55,4.78,32.71,4.64
17,51.13,174.84,8.23,90.69,79.35,63.68,7.81,2.93,11.06,42.56,14.55
18,41.37,165.49,10.31,82.86,82.94,52.8,7.97,3.64,13.27,52.34,12.72
