,binaryClass_cat,vote_cat,tax_rate_num,budget_num,budget_change_num,tax_rate_change_num
0,P,1,47.18,47532280.0,4.0,6.3
1,P,1,21.64,11637417.0,3.3,4.1
2,P,1,24.05,59856099.0,3.4,2.5
3,P,1,20.93,26926416.0,9.4,7.5
4,P,1,19.32,11686005.0,11.1,5.2
5,P,1,26.2,38641360.0,4.5,-0.23
6,P,1,20.09,13882048.0,4.7,1.7
7,P,0,42.16,40298680.0,5.9,4.9
8,N,1,29.11,35400375.0,3.0,3.5
9,P,0,45.96,30314067.0,3.8,3.7
10,P,1,21.56,15418131.0,1.9,3.8
11,P,1,15.55,11997930.0,6.6,8.1
12,P,1,23.77,17130165.0,6.0,8.1
13,P,1,27.64,10502721.0,4.8,7.5
14,N,0,28.12,33616668.0,8.9,7.7
15,P,0,36.74,53999209.0,3.6,5.3
16,P,1,40.48,48119900.0,0.0,1.9
17,P,1,21.83,68400604.0,5.5,4.0
18,P,1,20.05,15919780.0,8.3,10.4
19,P,1,20.86,9499412.0,4.4,4.5
20,P,1,19.99,12635368.0,2.9,3.5
21,N,1,11.74,2862323.0,4.3,4.4
22,N,1,17.71,5670720.0,4.9,3.6
23,P,1,6.35,76466312.0,1.9,4.6
24,P,1,41.79,7649906.0,4.2,4.5
25,P,1,28.25,13926965.0,5.0,6.2
26,N,0,36.18,13162830.0,4.6,5.9
27,P,1,80.7,23056816.0,4.8,6.6
28,P,0,99.56,23640880.0,7.4,8.6
29,P,0,87.97,85184456.0,9.9,29.3
30,P,1,71.57,20281917.0,-0.2,-0.2
31,P,1,87.53,25719696.0,4.0,3.8
32,N,1,5.07,866746.0,18.9,1.6
33,P,1,7.71,36263806.0,3.5,4.9
34,N,1,15.49,4606127.0,5.9,17.5
35,N,1,13.4,21729978.0,6.6,4.7
36,N,1,28.07,8785345.0,4.8,3.8
37,N,0,30.23,7543792.0,9.6,7.0
