,binaryClass_cat,brain_num,liver_num,time_num,treat_cat,days_cat,sex_cat,weight_num,loss_num
0,N,41081.0,1456164.0,0.5,BD,10,F,239.0,5.9
1,N,44286.0,1602171.0,0.5,BD,10,F,225.0,4.0
2,P,102926.0,1601936.0,0.5,BD,10,F,224.0,-4.9
3,P,25927.0,1776411.0,0.5,BD,10,F,184.0,9.8
4,P,42643.0,1351184.0,0.5,BD,10,F,250.0,6.0
5,N,31342.0,1790863.0,0.5,NS,10,F,196.0,7.7
6,P,22815.0,1633386.0,0.5,NS,10,F,200.0,0.5
7,N,16629.0,1618757.0,0.5,NS,10,F,273.0,4.0
8,P,22315.0,1567602.0,0.5,NS,10,F,216.0,2.8
9,P,77961.0,1060057.0,3.0,BD,10,F,267.0,2.6
10,P,73178.0,715581.0,3.0,BD,10,F,263.0,1.1
11,P,76167.0,620145.0,3.0,BD,10,F,228.0,0.0
12,N,123730.0,1068423.0,3.0,BD,9,F,261.0,3.4
13,P,25569.0,721436.0,3.0,NS,9,F,253.0,5.9
14,N,33803.0,1019352.0,3.0,NS,10,F,234.0,0.1
15,P,24512.0,667785.0,3.0,NS,10,F,238.0,0.8
16,P,50545.0,961097.0,3.0,NS,9,F,230.0,7.0
17,N,50690.0,1220677.0,3.0,NS,10,F,207.0,1.5
18,P,84616.0,48815.0,24.0,BD,10,F,254.0,3.9
19,N,55153.0,16885.0,24.0,BD,10,M,256.0,-4.7
20,P,48829.0,22395.0,24.0,BD,10,M,247.0,-2.8
21,N,89454.0,83504.0,24.0,BD,11,F,198.0,4.2
22,N,37928.0,20323.0,24.0,NS,10,F,237.0,2.5
23,P,12816.0,15985.0,24.0,NS,10,M,293.0,3.1
24,N,23734.0,25895.0,24.0,NS,10,M,288.0,9.7
25,N,31097.0,33224.0,24.0,NS,11,F,236.0,5.9
26,P,35395.0,4142.0,72.0,BD,11,F,251.0,4.1
27,P,18270.0,2364.0,72.0,BD,10,F,223.0,4.0
28,P,5625.0,1979.0,72.0,BD,10,M,298.0,12.8
29,N,7497.0,1659.0,72.0,BD,10,M,260.0,7.3
30,N,6250.0,928.0,72.0,NS,10,M,272.0,11.0
31,P,11519.0,2423.0,72.0,NS,11,F,226.0,2.2
32,N,3184.0,1608.0,72.0,NS,10,M,249.0,-4.4
33,P,1334.0,3242.0,72.0,NS,10,F,240.0,6.7
