,prec_num,country_cat,discharge_num,runoff_num,area_num,density_num,no3_num,export_num,dep_num,nprec_num
0,84.8,Italy,223.0,18.3,1220,102.0,67.0,1224.7,1237.5,46.0
1,181.1,S_America,175000.0,24.8,7050000,1.0,3.0,74.5,120.6,2.1
2,104.9,Ireland,7.29,45.6,160,7.15,3.6,164.0,86.5,2.6
3,99.1,USA,7900.0,11.8,670000,10.0,26.6,313.6,62.8,2.0
4,57.9,Rumania,6500.0,8.1,805000,90.0,46.0,371.4,826.4,45.0
5,107.4,USA,336.0,19.1,17600,100.0,61.0,1167.2,851.7,25.0
6,145.8,Canada,3550.0,16.1,220000,2.0,6.4,103.3,739.7,16.0
7,160.0,India,16000.0,14.9,1070000,300.0,91.3,1361.4,294.3,5.8
8,68.3,Norway,706.0,16.9,41770,12.0,24.0,405.7,975.0,45.0
9,32.3,China,1470.0,2.0,750000,200.0,139.0,272.6,286.4,28.0
10,107.4,USA,560.0,16.1,34700,150.0,47.8,771.4,851.7,25.0
11,27.4,Canada,1900.0,6.1,312000,0.4,1.1,6.7,60.9,7.0
12,33.3,Canada,10600.0,5.9,1787000,0.15,5.7,33.8,73.9,7.0
13,106.2,Columbia,7500.0,31.3,240000,30.0,17.0,531.3,87.5,2.6
14,139.2,SE_Asia,15000.0,19.2,783000,43.0,17.0,325.7,334.1,7.6
15,100.3,England,21.0,17.5,1200,200.0,156.0,2730.0,919.4,28.9
16,65.0,Nthlnds/Belgium,317.0,9.1,34900,250.0,230.0,2089.1,742.3,36.0
17,114.8,USA,16100.0,5.0,3220000,30.0,63.0,315.0,691.7,19.0
18,53.6,Australia,318.2,0.3,1073000,1.5,15.0,4.4,74.8,4.4
19,37.3,Canada,2370.0,2.2,1070000,2.0,5.0,11.1,248.6,21.0
20,181.6,W_Africa,7000.0,6.2,1125000,20.0,7.0,43.6,555.2,9.6
21,15.7,NE_Africa,950.0,0.3,2960000,50.0,20.0,6.4,50.9,10.2
22,18.1,S_Africa,170.0,0.2,1020000,20.0,50.0,8.3,154.9,23.0
23,97.3,Venezuela,33900.0,33.9,1000000,2.0,6.0,203.4,92.5,3.0
24,75.8,Argentina,15900.0,5.7,2800000,10.0,14.2,80.6,216.2,9.9
25,84.8,Italy,1470.0,22.0,66700,232.0,102.0,2247.3,1237.5,46.0
26,86.6,Europe,2200.0,11.9,185300,300.0,286.0,3395.6,1647.9,60.0
27,73.2,France,1700.0,17.7,96000,100.0,57.2,1012.9,695.9,30.0
28,92.7,Ireland,190.0,13.5,14000,35.0,54.0,727.7,252.8,8.6
29,242.1,Canada/USA,1100.0,22.0,50000,1.0,6.1,134.2,76.8,1.0
30,101.1,Canada/USA,10700.0,10.4,1025000,15.0,16.0,167.0,673.2,21.0
31,103.6,USA,1100.0,15.1,73000,100.0,66.0,994.5,821.5,25.0
32,58.2,England,50.0,27.7,1806,100.0,75.0,2076.5,608.7,33.0
33,58.2,England,78.0,7.8,9950,400.0,520.0,4076.4,1125.1,61.0
34,84.8,Italy,230.0,13.5,17000,262.0,100.0,1352.9,1237.5,46.0
35,86.1,S_America,3850.0,10.5,365000,10.0,29.0,305.9,355.6,13.7
36,55.9,Poland,1100.0,5.5,200000,120.0,70.5,387.8,832.8,47.0
37,36.8,Russia,8200.0,6.1,1350000,50.0,30.0,182.2,151.8,13.0
38,116.8,China,29000.0,15.4,1900000,200.0,58.2,897.0,370.5,10.0
39,78.5,Canada,6180.0,7.4,831000,0.4,9.3,69.2,185.4,7.8
40,147.3,Zaire,39730.0,10.4,3820000,11.7,6.0,62.4,467.2,10.0
41,51.8,SE_Africa,3200.0,2.5,1300000,15.0,9.3,22.9,138.5,8.4
