,binaryClass_cat,sv_cat,ag_cat,tl_num,ae_num,wt_num,bh_num,hl_num,fl_num,tt_num,sk_num
0,P,1,1,154.0,241.0,24.5,31.2,0.687,0.668,1.022,0.587
1,P,1,1,160.0,252.0,26.9,30.8,0.736,0.709,1.18,0.602
2,P,1,1,155.0,243.0,26.9,30.6,0.733,0.704,1.151,0.602
3,P,1,1,154.0,245.0,24.3,31.7,0.741,0.688,1.146,0.584
4,P,1,1,156.0,247.0,24.1,31.5,0.715,0.706,1.129,0.575
5,N,1,1,161.0,253.0,26.5,31.8,0.78,0.743,1.144,0.607
6,N,1,1,157.0,251.0,24.6,31.1,0.741,0.736,1.153,0.61
7,P,1,1,159.0,247.0,24.2,31.4,0.728,0.718,1.126,0.609
8,P,1,1,158.0,247.0,23.6,29.8,0.703,0.673,1.079,0.602
9,N,1,1,158.0,252.0,26.2,32.0,0.749,0.739,1.153,0.614
10,N,1,1,160.0,252.0,26.2,32.0,0.741,0.723,1.129,0.624
11,N,1,1,162.0,253.0,24.8,32.3,0.766,0.752,1.134,0.633
12,N,1,1,161.0,243.0,25.4,31.8,0.721,0.722,1.126,0.597
13,P,1,1,160.0,250.0,23.7,29.8,0.73,0.703,1.103,0.59
14,N,1,1,159.0,247.0,25.7,31.4,0.729,0.717,1.141,0.592
15,N,1,1,158.0,253.0,25.7,31.9,0.743,0.699,1.15,0.6
16,N,1,1,159.0,247.0,26.5,31.6,0.733,0.714,1.155,0.611
17,N,1,1,166.0,253.0,26.7,32.5,0.767,0.765,1.23,0.6
18,P,1,1,159.0,247.0,23.9,31.4,0.752,0.723,1.113,0.602
19,P,1,1,160.0,248.0,24.7,31.3,0.752,0.737,1.176,0.603
20,N,1,1,161.0,252.0,28.0,31.8,0.77,0.731,1.19,0.59
21,N,1,1,163.0,251.0,27.9,31.9,0.769,0.745,1.168,0.622
22,N,1,1,156.0,242.0,25.9,32.0,0.723,0.711,1.116,0.609
23,N,1,1,165.0,251.0,25.7,32.2,0.751,0.742,1.161,0.613
24,P,1,1,160.0,247.0,26.6,32.4,0.728,0.707,1.108,0.59
25,N,1,1,158.0,244.0,23.2,31.6,0.73,0.713,1.142,0.585
26,P,1,1,160.0,242.0,25.7,31.6,0.709,0.705,1.124,0.62
27,P,1,1,157.0,245.0,26.3,32.2,0.741,0.726,1.143,0.595
28,P,1,1,159.0,244.0,24.3,31.5,0.723,0.698,1.107,0.615
29,N,1,1,160.0,253.0,26.7,32.1,0.739,0.714,1.117,0.592
30,N,1,1,158.0,245.0,24.9,31.4,0.726,0.703,1.119,0.58
31,P,1,1,161.0,247.0,23.8,31.4,0.735,0.694,1.101,0.602
32,N,1,1,160.0,247.0,25.6,32.3,0.756,0.745,1.135,0.607
33,N,1,1,160.0,247.0,27.0,32.0,0.755,0.736,1.174,0.631
34,N,1,1,153.0,241.0,24.7,32.2,0.728,0.68,1.092,0.592
35,P,2,1,165.0,249.0,26.5,31.0,0.738,0.704,1.095,0.606
36,P,2,1,160.0,245.0,26.1,32.0,0.736,0.709,1.109,0.611
37,P,2,1,161.0,249.0,25.6,32.3,0.743,0.718,1.128,0.602
38,N,2,1,162.0,246.0,25.9,32.3,0.738,0.709,1.135,0.607
39,N,2,1,163.0,250.0,25.5,32.5,0.752,0.731,1.197,0.623
40,N,2,1,162.0,247.0,27.6,31.8,0.731,0.719,1.113,0.597
41,P,2,1,163.0,246.0,25.8,31.4,0.689,0.662,1.073,0.604
42,P,2,1,161.0,246.0,24.9,30.5,0.739,0.726,1.138,0.58
43,P,2,1,160.0,242.0,26.0,31.0,0.745,0.713,1.105,0.6
44,P,2,1,162.0,246.0,26.5,31.5,0.72,0.696,1.092,0.606
