,binaryClass_cat,company1_num,company2_num,company3_num,company4_num,company5_num,company6_num,company7_num,company8_num,company9_num
0,P,17.219,50.5,18.75,43.0,60.875,26.375,67.75,19.0,48.75
1,P,17.891,51.375,19.625,44.0,62.0,26.125,68.125,19.125,48.75
2,P,18.438,50.875,19.875,43.875,61.875,27.25,68.5,18.25,49.0
3,P,18.672,51.5,20.0,44.0,62.625,27.875,69.375,18.375,49.625
4,P,17.438,49.0,20.0,41.375,59.75,25.875,63.25,16.5,47.5
5,P,18.109,49.0,19.5,41.875,59.625,26.625,66.25,17.125,47.75
6,P,18.563,49.375,19.125,42.5,60.75,27.25,65.75,16.875,47.875
7,P,18.672,50.125,19.25,43.0,61.75,28.0,66.0,16.875,47.25
8,P,18.563,49.75,19.0,43.25,61.75,29.0,65.75,17.125,47.0
9,P,19.063,50.5,19.125,43.875,61.875,29.625,66.875,17.75,47.375
10,P,19.0,50.25,19.625,44.0,62.125,30.0,66.5,17.375,47.75
11,P,19.063,49.75,20.0,44.375,61.25,29.875,66.5,16.875,48.0
12,P,18.719,49.25,19.0,43.5,60.375,29.0,65.875,16.5,48.0
13,P,18.438,49.25,18.375,43.375,60.375,29.0,65.0,16.5,47.5
14,P,19.063,50.25,18.375,43.5,60.375,29.125,65.75,16.375,47.875
15,P,20.0,50.25,18.125,44.0,60.75,30.0,67.0,16.75,49.0
16,P,19.891,50.125,18.25,44.625,60.875,30.0,66.25,17.0,48.125
17,P,19.563,50.125,18.625,46.0,61.25,29.75,66.5,16.875,48.75
18,P,19.891,51.0,18.75,46.5,61.875,31.375,67.375,17.625,49.0
19,P,20.328,52.25,18.875,47.0,63.5,32.125,67.625,17.875,49.25
20,P,20.563,52.625,18.875,46.5,63.375,32.125,67.0,18.0,49.0
21,P,20.438,53.25,19.25,46.125,63.625,32.125,66.375,18.25,48.875
22,P,20.5,53.75,19.25,46.0,63.25,30.75,66.5,18.0,47.75
23,P,20.563,53.75,19.125,45.75,63.25,30.0,67.375,18.25,47.5
24,P,20.328,53.5,19.0,45.5,62.375,30.0,67.375,18.375,46.0
25,P,19.891,52.875,18.875,45.0,61.375,29.25,67.375,17.625,44.5
26,P,20.391,52.5,19.0,45.125,61.625,29.25,67.5,18.0,46.0
27,P,20.891,52.75,19.25,45.25,62.0,29.5,68.375,18.0,46.75
28,P,20.891,52.125,19.0,46.0,62.0,29.875,68.5,17.625,47.0
29,P,21.063,52.5,19.125,47.25,62.25,29.875,68.875,18.125,47.25
30,P,21.281,52.75,19.125,46.875,62.0,29.375,69.25,18.25,47.125
31,P,21.219,53.375,18.875,46.125,61.625,28.875,69.0,18.25,47.75
32,P,20.891,52.375,18.625,46.375,61.375,28.875,68.375,17.75,47.75
33,P,21.281,52.75,19.0,46.125,62.25,28.75,69.75,18.375,47.375
34,P,21.328,53.0,19.125,46.375,63.0,29.125,70.5,18.875,48.25
35,P,21.219,53.125,20.0,46.875,63.25,28.75,70.0,18.625,48.0
36,P,21.281,52.625,19.875,46.75,63.5,28.375,69.875,18.125,48.5
37,P,21.328,52.25,19.25,46.375,63.25,27.625,69.5,18.125,49.125
38,P,21.109,52.25,19.375,45.75,63.375,27.5,69.625,18.375,49.5
39,P,21.109,52.5,19.25,46.875,63.5,28.125,70.625,18.625,49.875
40,P,20.891,52.75,19.625,46.75,63.25,29.25,70.625,18.375,49.0
41,P,20.438,52.875,19.5,46.875,62.875,29.5,70.25,18.125,47.75
42,P,20.672,53.375,19.5,47.0,63.0,30.375,70.125,18.0,48.375
