,n_num,obs_num,z_num
0,1,1,0
1,1,2,0
2,1,3,0
3,1,4,1
4,1,5,0
5,2,6,0
6,2,7,0
7,2,8,0
8,2,9,0
9,2,10,0
10,2,11,0
11,2,12,1
12,2,13,1
13,3,14,1
14,3,15,1
15,3,16,0
16,3,17,1
17,4,18,0
18,4,19,2
19,4,20,1
20,4,21,0
21,6,22,3
22,6,23,2
23,6,24,4
24,7,25,2
25,7,26,0
26,7,27,1
27,8,28,4
28,8,29,0
29,8,30,1
30,9,31,1
31,9,32,0
32,9,33,2
33,9,34,0
34,9,35,0
35,9,36,2
36,9,37,4
37,10,38,0
38,10,39,0
39,10,40,2
40,10,41,1
41,11,42,1
42,11,43,0
43,12,44,0
44,12,45,1
45,13,46,3
46,13,47,0
47,14,48,0
48,14,49,1
49,15,50,0
50,15,51,2
51,15,52,3
52,15,53,0
53,16,54,0
54,16,55,3
55,16,56,1
56,17,57,1
57,17,58,1
58,17,59,1
59,17,60,4
60,17,61,3
61,17,62,3
62,17,63,1
63,18,64,0
64,18,65,2
65,18,66,2
66,18,67,4
67,19,68,4
68,20,69,3
69,20,70,2
70,20,71,4
71,21,72,1
72,21,73,3
73,22,74,0
74,24,75,4
75,24,76,1
76,25,77,2
77,25,78,3
78,25,79,4
79,26,80,4
80,26,81,2
81,27,82,2
82,27,83,4
83,28,84,2
84,28,85,3
85,32,86,0
86,33,87,0
87,33,88,2
88,33,89,5
89,33,90,5
90,35,91,1
91,35,92,1
92,35,93,3
93,37,94,1
94,38,95,1
95,38,96,3
96,38,97,1
97,40,98,2
98,40,99,6
99,40,100,0
100,41,101,2
101,42,102,2
102,43,103,1
103,43,104,2
104,44,105,8
105,45,106,6
106,45,107,1
107,47,108,6
108,47,109,4
109,48,110,1
110,51,111,3
111,51,112,5
112,56,113,2
113,57,114,4
114,60,115,3
115,61,116,4
116,61,117,5
117,61,118,2
118,68,119,6
119,69,120,8
120,69,121,5
121,73,122,0
122,74,123,6
123,75,124,8
124,75,125,7
125,79,126,3
126,91,127,3
127,99,128,9
128,104,129,7
129,133,130,18
130,152,131,17
